Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,F. Vera,Corinthians,Argentinos Juniors,"DMF, RDMF",DMF,7,23,8000000,2026-12-31,14,973,Argentina,Argentina,right,180,74,no,11.01,1.758792,8.694741,4.532574,0.83,0.7393199999999999,0.46,1.11,5.91639,ARG1,Testing,2020,0.2014947763650995,0.1569417960079461,0.1792182861865228
1,A. Calello,Quilmes,Huracán,"DMF, LDMF, LCMF",DMF,7,35,50000,2023-12-31,15,1004,Argentina,"Argentina, Italy",right,177,71,no,14.43,1.2544,7.439614999999999,2.956664999999999,0.36,1.79073,0.27,0.36,2.062423,ARG1,Testing,2020,0.2706858966616909,0.2292439761941304,0.2499649364279106
2,M. Fritzler,,Colón,"DMF, LCMF",DMF,7,36,0,,13,1086,Argentina,"Argentina, Germany",right,179,73,no,11.1,1.244578,8.288085,4.2296,1.08,1.49147,0.8262910000000001,0.41,3.64588,ARG1,Testing,2020,0.100806365711729,0.04299154358642038,0.07189895464907467
3,L. Maciel,Central Córdoba SdE,Aldosivi,"DMF, RCMF",DMF,7,27,500000,2023-12-31,16,1141,Argentina,Argentina,right,180,72,no,10.33,2.604501,7.811712,5.443875999999999,1.1,1.736229,0.633862,0.47,3.471552,ARG1,Testing,2020,0.1448547647172207,0.1479190826538023,0.1463869236855115
4,G. Gil Romero,Guaraní,Aldosivi,DMF,DMF,7,29,400000,,18,1335,Argentina,Argentina,right,177,79,no,14.29,2.02383,8.154295999999999,3.840375,0.74,1.953894,0.537724,0.34,2.966815,ARG1,Testing,2020,0.3923708114785561,0.3740554605487892,0.3832131360136726
5,F. Moyano,Argentinos Juniors,Argentinos Juniors,"DMF, RDMF, LDMF",DMF,7,25,1500000,2025-12-31,19,1386,Argentina,Argentina,right,171,70,no,9.74,2.206777,8.247983999999999,3.438316,0.84,1.235052,0.520026,0.58,4.9324,ARG1,Testing,2020,0.0,0.0,0.0
6,M. Díaz,Audax Italiano,Racing Club,DMF,DMF,7,36,150000,2025-12-31,16,1391,Chile,Chile,right,167,68,no,7.51,4.20585,14.88399,7.825663,0.84,1.48925,0.582,1.1,7.312852,ARG1,Testing,2020,0.5920927071842288,0.57473081014379,0.5834117586640093
7,F. Lértora,Club Tijuana,Colón,"DMF, RCMF",DMF,7,32,1700000,2025-06-30,17,1412,Argentina,"Argentina, Italy",right,185,79,no,13.19,0.701705,7.774862999999999,2.865594,0.83,1.657449,0.5743240000000001,0.64,2.48536,ARG1,Testing,2020,0.2396927821712135,0.1895808925280069,0.2146368373496101
8,E. Kalinski,Central Córdoba SdE,Estudiantes,"DMF, LDMF, LCMF",DMF,7,35,125000,2023-12-31,16,1428,Argentina,Argentina,right,184,84,no,12.23,2.521695,10.710528,5.611865,1.64,1.955597,0.945,0.82,4.78674,ARG1,Testing,2020,0.548202250507162,0.5224602882689003,0.5353312693880311
9,L. Vera,Orenburg,Lanús,"RDMF, RCMF, LCMF",RDMF,7,25,2500000,2024-06-30,20,1571,Argentina,Argentina,right,164,55,yes,6.59,3.66626,13.29302,8.877519000000001,4.41,4.926396,2.752134,3.04,7.791018,ARG1,Testing,2020,0.6717885146574204,0.7016604472848207,0.6867244809711205
10,G. Giménez,Chicago Fire,Vélez Sarsfield,"DMF, LCB, LDMF",DMF,7,31,2000000,2023-12-31,19,1595,Argentina,"Argentina, Paraguay",left,180,78,no,10.44,3.496269,11.733392,5.810765,1.41,2.654208,1.127868,2.09,5.922593999999999,ARG1,Testing,2020,0.4666322973486418,0.4639715679820779,0.4653019326653598
11,E. Pérez,River Plate,River Plate,DMF,DMF,7,36,1500000,2023-12-31,18,1625,Argentina,Argentina,right,178,77,no,13.07,2.76912,16.50266,9.805503,0.89,1.881195,0.500625,1.22,8.5284,ARG1,Testing,2020,1.0,1.0,1.0
12,G. Poblete,Al Wasl,San Lorenzo,"DMF, RCMF, RDMF",DMF,7,30,500000,2023-06-30,19,1678,Argentina,"Argentina, Chile",right,176,71,no,11.1,1.61124,9.330344,3.488957999999999,1.23,2.25029,1.124484,0.59,3.75232,ARG1,Testing,2020,0.135132948457637,0.1023706270355398,0.1187517877465884
13,F. Mac Allister,Rosario Central,Argentinos Juniors,"LDMF, LCMF, RCMF",LDMF,7,27,450000,2024-12-31,21,1709,Argentina,Argentina,right,176,71,no,13.48,2.053043,7.901452000000001,4.264236,1.32,1.31688,0.475,0.37,4.952324,ARG1,Testing,2020,0.4456514994756408,0.4259492411416305,0.4358003703086356
14,L. Romero,León,Independiente,"DMF, LCMF, LDMF",DMF,7,28,3200000,2025-12-31,19,1718,Argentina,Argentina,right,170,68,no,13.15,2.725275,13.0462,5.3448,1.73,2.515752,0.9959039999999999,0.42,7.12404,ARG1,Testing,2020,0.6274528012709389,0.7044102399792493,0.6659315206250941
15,L. Piovi,LDU Quito,Arsenal,"DMF, RCMF",DMF,7,30,1000000,2025-12-31,20,1779,Argentina,Argentina,right,171,70,no,14.06,3.740212,14.824107,9.457918000000001,1.01,1.415844,0.25,0.3,6.88207,ARG1,Testing,2020,0.9928666213432152,0.9821171878989,0.9874919046210575
16,C. Vega,Colón,Central Córdoba SdE,"DMF, RCMF, LCMF",DMF,7,29,400000,2024-12-31,20,1814,Argentina,Argentina,right,178,79,no,14.49,3.524345,10.719297,5.855871,1.84,2.282769,1.238016,0.3,5.407492,ARG1,Testing,2020,0.8647513383728876,0.8458878700439986,0.855319604208443
17,F. Quignón,Dallas,Lanús,"DMF, LDMF",DMF,7,29,2000000,2023-12-31,20,1921,Argentina,Argentina,left,178,75,no,15.74,1.922325,10.820976,4.640414999999999,1.12,1.50114,0.7487999999999999,0.94,3.045351,ARG1,Testing,2020,0.5210428266804022,0.5981496222623908,0.5595962244713965
18,J. Fernández,Lanús,Newell's Old Boys,"DMF, LDMF",DMF,7,27,0,,22,2113,Argentina,Argentina,right,174,73,yes,14.44,1.406329,9.836346999999998,4.38867,0.68,1.2354,0.258,0.04,2.680384,ARG1,Testing,2020,0.3769816759446499,0.3733524203974319,0.3751670481710409
0,M. Ballini,Cobreloa,Villa Dálmine,DMF,DMF,7,34,125000,,11,945,Argentina,"Argentina, Italy",right,173,75,no,11.14,1.236762,9.235512,4.473648,1.05,1.429281,0.572,0.38,3.620181,ARG2,Testing,2020,0.1803321294060798,0.1885748999173624,0.1844535146617211
1,G. Farré,,Club Atlético Mitre,"DMF, LCMF",DMF,7,42,0,,13,963,Argentina,Argentina,right,177,74,no,12.04,3.319683,10.813838,6.54,0.47,0.38,0.0,0.47,6.25625,ARG2,Testing,2020,0.6367897567840664,0.6334043794427138,0.6350970681133901
2,F. Juárez,Audax Italiano,Agropecuario,"DMF, RAMF, RCMF",DMF,7,24,200000,2023-12-31,14,1010,Argentina,Argentina,right,177,67,yes,12.39,1.606136,7.931132000000002,4.273584,1.43,2.314465,0.8009999999999999,0.27,3.116453,ARG2,Testing,2020,0.2703471988834137,0.3065599841792266,0.2884535915313202
3,A. Frezzotti,Bisceglie,Gimnasia Jujuy,"DMF, RCMF, LCMF",DMF,7,39,0,,11,1031,Argentina,"Argentina, Italy",right,177,75,no,9.18,1.625907,7.075944000000001,4.399467,0.48,0.5752269999999999,0.288,0.1,3.732313,ARG2,Testing,2020,0.0,0.0,0.0
4,B. Benítez,Kalamata,Almagro,"LDMF, LCMF",LDMF,7,27,200000,2024-06-30,12,1067,Argentina,Argentina,right,175,73,no,10.04,4.695,11.3325,6.9996,2.86,4.512048,2.028852,1.57,7.830649999999999,ARG2,Testing,2020,0.5966680280297447,0.6259340458576816,0.6113010369437132
5,M. Ladrón,All Boys,All Boys,"RDMF, RCMF",RDMF,7,24,100000,2023-12-31,14,1097,Argentina,Argentina,right,181,71,no,10.83,2.378246,8.037094,4.59316,1.07,1.7215,0.65532,0.57,4.432698,ARG2,Testing,2020,0.1827044838240887,0.2212991022529257,0.2020017930385072
6,D. Stefanatto,,All Boys,"DMF, LDMF, LCMF",DMF,7,38,0,,14,1114,Argentina,Argentina,right,180,75,no,11.8,1.050801,13.16616,4.604090999999999,0.24,0.7272,0.16,0.08,4.850659,ARG2,Testing,2020,0.3217543426888984,0.3449104434562668,0.3333323930725826
7,A. Altuna,Flandria,Quilmes,"DMF, LCMF, LDMF",DMF,7,31,75000,2023-12-31,13,1163,Argentina,Argentina,right,182,72,no,12.61,1.623674,9.282810000000001,3.867731,0.62,1.39373,0.46669,0.23,2.940147,ARG2,Testing,2020,0.3184235177165485,0.3354466264098428,0.3269350720631957
8,C. Arce,Barracas Central,Barracas Central,"DMF, RCMF",DMF,7,32,0,,16,1259,Argentina,Argentina,right,169,72,no,8.85,2.46562,8.465048,4.308459,0.69,1.076644,0.3875,0.23,3.925248,ARG2,Testing,2020,0.08217248162659527,0.1119728079032427,0.09707264476491895
9,J. Blanco,San Martín San Juan,Agropecuario,DMF,DMF,7,36,25000,2023-12-31,14,1348,Argentina,Argentina,right,186,81,no,15.42,2.602397,9.21213,5.478192,1.54,2.068515,1.069131,0.6,5.140868999999999,ARG2,Testing,2020,0.8267784845980202,0.8220218521309037,0.824400168364462
10,G. Iturra,,Deportivo Santamarina,"DMF, LCMF, RCMF",DMF,7,24,250000,,17,1390,Argentina,Argentina,right,167,57,no,11.28,2.14869,8.165591999999998,4.288872,0.9,2.216324,0.6928710000000001,0.35,3.25119,ARG2,Testing,2020,0.1764600770543484,0.2074576422126218,0.1919588596334851
11,J. Alessandroni,Club Atlético Mitre,Club Atlético Mitre,"DMF, RCMF, LCMF",DMF,7,34,75000,2023-12-31,16,1482,Argentina,Argentina,right,179,71,no,12.48,3.166669,8.208630000000001,5.369448,0.71,1.03521,0.323736,0.58,4.005402,ARG2,Testing,2020,0.5182398560303452,0.5094234791246626,0.5138316675775039
12,G. Bottino,Estudiantes Caseros,Estudiantes Río Cuarto,"DMF, RCB, LDMF",DMF,7,36,25000,2023-12-31,18,1559,Argentina,Argentina,right,184,76,no,11.08,5.48418,11.89432,7.159022000000001,2.14,2.540547,1.32825,1.33,5.485971000000001,ARG2,Testing,2020,0.6391190644843701,0.6998373147882611,0.6694781896363156
13,I. Antonio,Gimnasia Mendoza,Instituto,"RDMF, RCMF, DMF",RDMF,7,28,200000,2023-12-31,18,1564,Argentina,Argentina,right,173,70,no,10.3,2.185184,8.34475,4.370184,1.32,2.472316,1.15159,0.52,4.318225999999999,ARG2,Testing,2020,0.09329882561638045,0.1482877773774747,0.1207933014969276
14,H. Bernardello,,Belgrano,"DMF, LCMF, RCMF",DMF,7,36,0,,18,1703,Argentina,"Argentina, Italy",right,174,74,no,13.9,3.80759,9.035496,6.026517,1.27,2.01,0.791316,0.69,5.022108,ARG2,Testing,2020,0.7835817616876396,0.7783626286401032,0.7809721951638714
