Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
7,M. Benkhemassa,MC Alger,MC Alger,"LDMF, RDMF, DMF",LDMF,7,30,200000,2025-06-30,13,1202,Algeria,Algeria,left,176,70,no,11.53,6.1347,0.8458200000000001,2.115289,11.634492,4.970784,0.95,1.905549,0.524979,0.53,4.440222,ALG,Testing,2023,1.0,1.0,1.0
8,A. Benamara,MC Oran,MC Oran,"RDMF, RCMF",RDMF,7,28,225000,,15,1354,Algeria,Algeria,right,173,65,no,15.24,8.623555,0.1175,2.24562,7.556436,3.659524,1.06,2.36,0.7113929999999999,0.59,4.250722,ALG,Testing,2023,0.7419529385284701,0.7935441402876829,0.7677485394080764
1,Z. Messibah,CS Constantine,CS Constantine,"RDMF, DMF, LCMF",RDMF,7,28,300000,,12,972,Algeria,Algeria,right,166,70,no,7.57,3.784326,0.6,2.588616,9.758,5.178013,0.2,1.195,0.2,0.4,4.776814,ALG,Testing,2023,0.5328047444359189,0.7537002115214254,0.643252477978672
4,A. Boussaid,ASO Chlef,ASO Chlef,"RDMF, LDMF, RCMF",RDMF,7,31,225000,,12,1040,Algeria,Algeria,right,0,0,no,9.52,6.144988,1.19067,1.386875,12.092652,4.755,0.79,1.982688,0.5925,0.79,7.332021000000001,ALG,Testing,2023,0.5391823712034637,0.6303744289381765,0.58477840007082
0,M. Yettou,ES Sétif,ES Sétif,"LDMF, DMF, LCMF",LDMF,7,31,350000,,10,937,Algeria,Algeria,right,177,75,no,7.05,2.584953000000001,1.643064,2.347298,9.754766,3.873500999999999,0.59,3.174,0.58331,0.23,3.761719,ALG,Testing,2023,0.5218305822289581,0.6084601275004484,0.5651453548647032
6,O. Chita,USM Alger,USM Alger,"DMF, LDMF, LCMF",DMF,7,27,350000,2025-06-30,14,1113,Algeria,Algeria,left,185,78,no,9.45,3.596364,2.260264,1.198125,10.519605,4.5305,1.2,2.665,1.061858,0.67,4.261978,ALG,Testing,2023,0.3806670332984959,0.5433278810091429,0.4619974571538193
5,S. Boukhenchouche,JS Kabylie,JS Kabylie,"RDMF, DMF, RCMF",RDMF,7,32,450000,,12,1091,Algeria,Algeria,right,187,82,no,8.82,6.208451999999999,2.125152,1.7985,5.063415,2.613366,0.98,1.960049,0.325698,0.0,2.937338,ALG,Testing,2023,0.3358181796617455,0.5034070955552701,0.4196126376085078
3,D. Belalem,El Bayadh,El Bayadh,"LDMF, DMF",LDMF,7,30,100000,2024-06-30,11,1032,Algeria,Algeria,right,175,68,no,8.01,4.007512,3.391605,1.386849,9.398225000000002,3.696,0.46,1.388262,0.308,0.92,3.080154,ALG,Testing,2023,0.3397904467435432,0.4646400893706737,0.4022152680571084
2,N. Benzid,El Bayadh,El Bayadh,"RDMF, RCMF",RDMF,7,22,0,,11,972,Algeria,Algeria,,0,0,no,8.0,4.594412999999999,1.700068,1.02,3.233412,2.549898,2.21,2.719728,1.360034,0.68,1.870272,ALG,Testing,2023,0.0,0.0,0.0
35,J. Rodríguez,Estudiantes,Estudiantes,"DMF, RCMF",DMF,7,28,3500000,2024-12-31,39,3589,Argentina,Argentina,right,179,80,no,10.58,4.084157,2.283819,3.835756,15.926932,8.898582000000001,0.7,1.454548,0.375,0.95,7.096064999999999,ARG1,Testing,2023,0.9429230548833156,1.0,1.0
29,E. Pérez,River Plate,River Plate,"DMF, LDMF, RDMF",DMF,7,37,1500000,2023-12-31,33,2677,Argentina,Argentina,right,178,77,no,10.19,4.404028,2.048449,3.12356,20.06883,9.180024000000001,0.97,1.683,0.606,0.74,8.672566,ARG1,Testing,2023,0.9128107961383778,0.9745133778044353,0.9713838997376859
14,I. Miramón,Lille,Lille,"RDMF, DMF, RCMF",RDMF,7,20,3000000,2025-12-31,21,1874,Argentina,Argentina,right,173,68,no,11.81,5.669091999999999,1.202,4.804796,9.652019999999998,6.004827000000001,3.36,4.899375,2.595894,0.82,5.523657000000001,ARG1,Testing,2023,1.0,0.8395398594410755,0.9467898663395865
25,A. Moreno,Racing Club,Racing Club,"DMF, LDMF, LCMF",DMF,7,24,8000000,2025-12-31,25,2393,Argentina,Argentina,right,177,73,no,10.61,4.7752,1.655,3.157465,12.334656,7.707805,1.43,1.690803,0.790528,0.98,8.803831999999998,ARG1,Testing,2023,0.9208857089505855,0.8707229338019742,0.9221202240868756
