Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,S. Sosa,San Lorenzo Res.,San Lorenzo,"LDMF, RDMF, DMF",LDMF,7,19,0,,17,971,Argentina,Argentina,right,175,66,no,8.16,3.705504000000001,0.835,1.76022,5.378505000000001,2.226819,0.28,1.019898,0.185,0.19,2.40958,ARG1,Testing,2024,0.08334704895837691,0.08848568807390034,0.08652874731231935
1,Gabriel Neves,Estudiantes,Estudiantes,"LDMF, LCMF, RDMF",LDMF,7,27,1800000,2027-12-31,18,978,Uruguay,Uruguay,right,171,70,no,9.29,4.322616,0.91875,4.695,13.806012,7.088634,0.37,0.368852,0.186676,0.37,8.099112,ARG1,Testing,2024,0.6019222315637052,0.5953899305141426,0.6110720170687962
2,R. Villagra,River Plate,River Plate,"DMF, LDMF",DMF,7,23,7000000,2027-12-31,14,1013,Argentina,Argentina,right,178,77,no,8.97,4.61774,2.484858,1.953431,7.908491000000001,4.08342,0.53,1.954722,0.356631,0.89,4.172476,ARG1,Testing,2024,0.4041073654281948,0.3927315817908121,0.4062258500551483
3,A. Gamarra,Argentinos Juniors,Argentinos Juniors,"DMF, LCMF",DMF,7,21,0,,18,1063,Argentina,"Argentina, Paraguay",right,175,68,no,11.51,5.844960000000001,2.201164,2.373452,9.141404999999999,5.42088,0.93,2.286375,0.5100000000000001,0.42,5.081055000000001,ARG1,Testing,2024,0.6196028967495765,0.6176137495378702,0.6314835710347068
4,B. Zuculini,Racing Club,Racing Club,"DMF, LCMF, RCMF",DMF,7,31,700000,2025-12-31,17,1093,Argentina,"Argentina, Italy",right,182,77,no,9.14,4.447396,1.892174,1.482,9.220542,4.201305000000001,0.58,1.399362,0.4125,0.58,5.105218000000001,ARG1,Testing,2024,0.3182812895541045,0.3478351387107511,0.3393599375382138
5,M. Fernández,Gimnasia La Plata,Gimnasia La Plata,"DMF, RCMF, LCMF",DMF,7,23,425000,2025-06-30,14,1132,Uruguay,Uruguay,right,183,75,yes,6.28,2.543856,1.3532,3.262349,7.95088,4.6905,0.8,0.795375,0.16,0.8,4.847101,ARG1,Testing,2024,0.1894141467635496,0.2146256703476901,0.205305056295613
6,F. Mac Allister,Argentinos Juniors,Argentinos Juniors,DMF,DMF,7,29,325000,2026-12-31,16,1170,Argentina,"Argentina, Italy",right,176,71,no,10.69,5.770338000000001,2.693924,2.151456,12.538271,5.997816,0.54,1.001888,0.3085560000000001,0.15,5.078189999999999,ARG1,Testing,2024,0.6508142835671543,0.6392464212506882,0.6585138503087201
7,K. Ortíz,Rosario Central,Rosario Central,"RDMF, RCMF, LCMF",RDMF,7,24,0,,18,1244,Argentina,Argentina,right,176,70,no,11.65,5.354692,2.386665,1.8102,7.23656,3.3252,1.23,2.167965,0.725,0.58,2.459478,ARG1,Testing,2024,0.4729053120425186,0.4656834412491397,0.4787323333143234
8,G. Pérez,Lanús,Lanús,"LDMF, LCMF, RDMF",LDMF,7,23,500000,2027-12-31,19,1318,Uruguay,Uruguay,right,184,72,no,9.63,3.889944,1.636964,2.87,11.40276,5.395320000000001,0.14,0.410824,0.07,0.68,4.436003,ARG1,Testing,2024,0.4396613835148642,0.4349726027136119,0.4460188123869341
9,U. Ortegoza,Talleres Córdoba,Talleres Córdoba,"RDMF, DMF, LDMF",RDMF,7,27,1800000,2025-12-31,22,1342,Argentina,Argentina,right,180,80,no,10.19,5.632076000000001,0.8034180000000001,3.283824,7.977453,4.6275,1.61,2.08029,1.004388,1.14,5.570606999999999,ARG1,Testing,2024,0.4384790257711283,0.4377120351363591,0.4468152720948871
10,M. Martínez,Rosario Central,Rosario Central,"RDMF, LCB, RCMF",RDMF,7,31,600000,2026-12-31,18,1374,Argentina,Argentina,right,186,80,no,8.65,3.408094999999999,0.788532,2.622432,8.909093,3.801312,0.66,2.161096,0.458902,1.7,3.928552,ARG1,Testing,2024,0.2075277576139303,0.212483408987542,0.2134745657751989
11,J. Portilla,Talleres Córdoba,Talleres Córdoba,"LDMF, RDMF, DMF",LDMF,7,26,2500000,2026-12-31,24,1468,Colombia,Colombia,right,183,75,no,9.13,4.478936999999999,1.225,2.084676,10.730928,5.330679,1.29,1.840566,0.8568000000000001,1.41,5.090085,ARG1,Testing,2024,0.3590223035853705,0.37494055191331,0.374064082656429
12,F. Quignón,Belgrano,Belgrano,"DMF, RCMF, LCMF",DMF,7,31,1200000,2025-12-31,21,1483,Argentina,Argentina,left,178,75,no,10.32,4.61472,1.336917,1.82138,9.100436,3.457727999999999,0.79,1.152906,0.486166,0.67,3.820025,ARG1,Testing,2024,0.3155681949840722,0.3128779989220704,0.3200912253432967
13,S. González,Tigre Res.,Tigre,"RDMF, RCMF",RDMF,7,21,0,,22,1485,Argentina,Argentina,right,0,0,no,12.79,7.392659999999999,1.3317,1.271424,6.78564,3.208576,0.73,2.304504,0.4842649999999999,1.03,2.969078,ARG1,Testing,2024,0.419242216915943,0.4592348456826366,0.4479845854642519
14,E. Méndez,Sarmiento,Sarmiento,"DMF, RCMF",DMF,7,35,50000,2025-12-31,18,1490,Argentina,Argentina,right,186,82,no,10.21,4.89558,3.019108,2.175,7.069384,3.684608,0.6,1.448668,0.360018,0.24,3.01851,ARG1,Testing,2024,0.5349646784834156,0.4922827359329091,0.5240821500563777
15,D. Martínez,Independiente,Independiente,"RDMF, RCMF, LDMF",RDMF,7,20,0,2027-12-31,21,1515,Argentina,Argentina,right,170,67,no,9.09,4.933520000000001,1.188984,1.605243,6.651191,2.967758,1.13,2.674624,0.77375,0.71,2.495104,ARG1,Testing,2024,0.1835336880406713,0.2006266454573594,0.1951364960291995
16,C. Núñez,Banfield,Banfield,"LDMF, DMF, LCMF",LDMF,7,27,275000,2024-12-31,19,1556,Paraguay,Paraguay,right,166,69,no,12.67,7.459344000000001,1.50391,2.141298,7.520630000000001,3.24038,0.12,0.925888,0.11428,0.35,2.658645,ARG1,Testing,2024,0.4682165348781087,0.4724536829555914,0.4797970238289245
17,R. Fernández,Newell's Old Boys,Newell's Old Boys,"LDMF, DMF, RCMF",LDMF,7,28,1300000,2025-12-31,17,1614,Uruguay,Uruguay,right,173,74,yes,10.43,5.3,1.394556,4.406556,7.919353,4.62604,1.17,2.229345,1.060317,1.39,5.352574999999999,ARG1,Testing,2024,0.4917892685017226,0.5196489544662111,0.5159955860824816
18,F. Peña Biafore,Lanús,Lanús,"RDMF, RCMF, DMF",RDMF,7,23,3200000,2028-12-31,21,1623,Argentina,Argentina,right,180,75,no,9.09,3.771988,2.162755,4.32674,11.14374,5.93649,1.05,1.995966,0.6667000000000001,0.83,6.269247,ARG1,Testing,2024,0.533631510974825,0.5999491366116939,0.5784726921273636
19,R. Herrera,Barracas Central,Barracas Central,"RDMF, RCMF, DMF",RDMF,7,24,1200000,2025-12-31,21,1653,Argentina,Argentina,right,181,76,yes,12.74,7.130034,1.69,1.905512,6.643370999999999,2.884343,0.87,2.1255,0.598125,0.6,2.83026,ARG1,Testing,2024,0.4574396173058554,0.4866025047324909,0.4815217874990803
20,S. Rosané,Barracas Central,Barracas Central,"LDMF, LCMF",LDMF,7,24,800000,2024-12-31,26,1667,Argentina,Argentina,right,181,70,no,11.07,5.13125,1.51,2.10715,8.475072,3.616779999999999,0.7,2.427264,0.4320000000000001,0.43,3.080844,ARG1,Testing,2024,0.3834447194551293,0.3909002630398871,0.3947199558188164
21,J. Mosqueira,Unión Santa Fe,Unión Santa Fe,DMF,DMF,7,20,0,,22,1848,Argentina,Argentina,right,0,0,no,8.67,4.089536000000001,1.99576,1.753763,7.404285,3.167070000000001,0.39,0.583275,0.195536,0.73,3.606368,ARG1,Testing,2024,0.2602365446326187,0.2539990318510193,0.2616713202330168
22,F. Ibarra,Rosario Central,Rosario Central,"LDMF, LCMF, RCMF",LDMF,7,23,1800000,2024-12-31,20,1857,Argentina,"Argentina, United States",right,175,69,yes,14.39,6.444640000000001,1.355,3.536544,10.417891,5.624495999999999,1.02,3.099354,0.7275,0.29,5.624784,ARG1,Testing,2024,0.6648130116702965,0.7069764805808125,0.7003189654055664
23,F. Fattori,Huracán,Huracán,"DMF, LDMF",DMF,7,32,700000,2025-12-31,25,1857,Argentina,Argentina,right,178,70,no,12.41,5.038799999999999,0.9209899999999999,2.86,13.862685,6.54,0.68,1.11414,0.336,0.63,5.232968000000001,ARG1,Testing,2024,0.675628431796629,0.6152376937981578,0.6589258313173586
24,L. Picco,Platense,Platense,"LDMF, DMF, LCMF",LDMF,7,26,800000,2025-12-31,21,1883,Argentina,Argentina,right,188,79,yes,14.0,7.268268000000001,1.4818,1.2428,7.360157,3.44267,0.57,1.432275,0.336,0.24,2.531562,ARG1,Testing,2024,0.4261483836791445,0.4796336603162205,0.4619513641949642
25,B. Leyes,Godoy Cruz,Godoy Cruz,"DMF, LCMF",DMF,7,23,0,,23,1891,Argentina,Argentina,left,173,69,no,9.19,4.522788,1.188766,4.903754,9.185307,5.334,0.67,1.238474,0.425464,0.33,4.233165000000001,ARG1,Testing,2024,0.4134045864012274,0.4495985152447103,0.4400694953357278
26,E. Pérez,Estudiantes,Estudiantes,"LDMF, DMF, RDMF",LDMF,7,38,600000,2024-12-31,23,1928,Argentina,Argentina,right,178,77,no,10.32,3.499776,2.100126,2.704555,15.40275,6.912108,0.61,1.72676,0.4642950000000001,0.7,6.162578000000001,ARG1,Testing,2024,0.6134172665255734,0.5936895930135939,0.6160821055280625
27,S. Ascacíbar,Estudiantes,Estudiantes,"RDMF, RCMF",RDMF,7,27,6000000,2026-12-31,21,1985,Argentina,"Argentina, Italy",right,169,69,no,10.38,4.89684,2.311426,1.811256,12.51404,5.71247,1.0,1.633828,0.273306,0.68,6.391274999999999,ARG1,Testing,2024,0.5639874648955464,0.5729010348507023,0.5801646925179699
28,C. Ordoñez,Vélez Sarsfield,Vélez Sarsfield,RDMF,RDMF,7,20,0,,25,2055,Argentina,Argentina,right,177,68,no,8.23,4.070938999999999,1.226772,1.008387,7.272325,3.10726,1.36,2.715345,1.09368,1.36,3.28432,ARG1,Testing,2024,0.1378006752522281,0.1508292206343421,0.1462716949594405
29,K. Gutiérrez,Defensa y Justicia,Defensa y Justicia,"RDMF, LCMF, DMF",RDMF,7,27,3500000,2025-12-31,22,2091,Argentina,Argentina,right,168,65,no,8.69,4.088902999999999,0.171094,4.173934,16.441168,9.470414,0.86,1.33416,0.47142,1.03,8.779630000000001,ARG1,Testing,2024,0.604180415829918,0.6039937646728518,0.6166280511750002
30,I. Marcone,Independiente,Independiente,"DMF, LDMF, LCMF",DMF,7,34,1000000,2024-12-31,22,2122,Argentina,"Argentina, Italy",right,182,76,no,8.44,3.141644,1.019915,4.537044,11.110734,6.36093,0.81,2.245406,0.595,0.72,5.685563999999999,ARG1,Testing,2024,0.4553423588448473,0.4446448655044118,0.4589872543644015
31,A. Bouzat,Vélez Sarsfield,Vélez Sarsfield,"LDMF, LB",LDMF,7,30,450000,2026-12-31,24,2223,Argentina,Argentina,left,170,72,no,13.08,5.952216,0.932085,2.874735,11.984148,5.832025,0.97,1.822368,0.6068020000000001,1.34,5.344833,ARG1,Testing,2024,0.6179244018013563,0.6453477544906657,0.6448112323014018
32,A. Cardozo,Tigre,Tigre,"LDMF, LCMF, DMF",LDMF,7,27,1500000,2024-12-31,24,2321,Argentina,Argentina,right,182,79,no,7.33,3.840487,1.98,3.370371,11.667222,5.19862,0.66,2.130742,0.546,1.71,5.27,ARG1,Testing,2024,0.3856641394695732,0.4276393861964589,0.4146476512174494
33,F. Romero,Independiente Rivadavia,Independiente Rivadavia,"DMF, RCMF, LCMF",DMF,7,24,650000,2026-12-31,26,2557,Argentina,Argentina,right,177,70,no,10.98,4.25733,0.2476640000000001,2.250526,7.251736999999999,3.65876,0.67,1.829064,0.594972,0.53,3.236302000000001,ARG1,Testing,2024,0.3084069995266794,0.2992943524535354,0.3094800254024263
