Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil,A,B,C,D,E,F,G,H,I,J,K,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,Similar_StScaled_E,Similar_StScaled_F,Similar_StScaled_G,Similar_StScaled_H,Similar_StScaled_I,Similar_StScaled_J,Similar_StScaled_K,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,ID
0,J. Rodríguez,ARG1,23,J. Rodríguez,Monterrey,Monterrey,"DMF, LDMF",DMF,7,28,0,2026-12-31,22,1926,Argentina,Argentina,right,179,80,no,10.79,4.673661,2.3375,4.016751999999999,16.026408,8.874819,0.7,1.82186,0.32669,0.89,7.195999999999999,ARG1,Testing,2024,1.0,1.0,1.0,43,33,83,90,90,93,40,53,23,70,83,10.79,4.673661,2.3375,4.016751999999999,16.026408,8.874819,0.7,1.82186,0.32669,0.89,7.195999999999999,-0.268716067807301,-0.5455549392558174,1.046175380974444,1.568919288561751,1.754842322760465,1.945032453678705,-0.587502863436403,-0.2792950938947132,-0.7734573264945807,0.2071441650832996,1.208907476154143,0.394074093055069,0.292685952967598,0.852259966408629,0.9416666265911199,0.9603568589695428,0.9741144637759535,0.2784330139568828,0.3900091855264857,0.2196258871794677,0.5820513643644146,0.8866508031940374,FEDKC
1,A. Moreno,ARG1,11,A. Moreno,Palmeiras,Palmeiras,"DMF, LDMF, LCMF",DMF,7,25,0,2028-12-31,15,1450,Argentina,Argentina,right,178,73,no,11.48,4.966915,1.861942,2.484594,13.161687,8.193881999999999,1.86,1.736975,0.9285900000000001,1.37,9.49991,ARG1,Testing,2024,0.876913111165454,0.8259636416924065,0.8514383764289304,53,46,66,46,83,86,80,43,60,83,96,11.48,4.966915,1.861942,2.484594,13.161687,8.193881999999999,1.86,1.736975,0.9285900000000001,1.37,9.49991,0.0322808263275003,-0.286888414471252,0.4376851459286092,-0.06051379679951938,0.8537330532752431,1.601915054462197,0.7366616215109298,-0.3551740549430042,0.2426360984567199,1.02213760147661,2.403535154355253,0.5128759501951061,0.3870988808497854,0.6691927306228389,0.4758732138654063,0.8033735421905794,0.9454128025066019,0.7693359243849414,0.36122960020545,0.595856342917586,0.84664211065043,0.9918812971348251,KFJEG
2,K. Gutiérrez,ARG1,2,K. Gutiérrez,Defensa y Justicia,Defensa y Justicia,"DMF, RDMF, RCMF",DMF,7,26,0,2025-12-31,11,961,Argentina,Argentina,right,168,65,no,12.92,5.807427000000001,0.09375,4.215959000000001,12.926144,6.556726000000001,1.4,2.059599,1.031886,0.56,5.619996,ARG1,Testing,2024,0.8759865702700089,0.7970475160700732,0.8365170431700412,76,66,0,93,80,76,66,56,66,43,76,12.92,5.807427000000001,0.09375,4.215959000000001,12.926144,6.556726000000001,1.4,2.059599,1.031886,0.56,5.619996,0.660448257565345,0.4544904519030335,-1.824767731924703,1.780773729576036,0.7796420752489858,0.7769683871028116,0.2115619119628495,-0.06677947487298216,0.4170145440851789,-0.353163822437101,0.391714964573543,0.7455168936774349,0.6752620686778663,0.03401804360775644,0.9625252886373478,0.7821992086562914,0.7814112891310436,0.5837755867402764,0.473378631803274,0.6616661152118444,0.3619828140442201,0.6523655841082638,DEFAB
3,S. Longo,ARG1,29,S. Longo,Belgrano,Belgrano,"DMF, RCMF, RDMF",DMF,7,26,0,2024-12-31,27,2545,Argentina,"Argentina, Italy",right,176,71,no,12.62,5.873627,0.850622,3.57222,12.834808,6.61258,0.57,0.7769879999999999,0.212,0.46,4.735112,ARG1,Testing,2024,0.8963365247449158,0.7333218092952181,0.814829167020067,70,70,16,80,76,80,20,0,10,28,60,12.62,5.873627,0.850622,3.57222,12.834808,6.61258,0.57,0.7769879999999999,0.212,0.46,4.735112,0.529580042724127,0.5128825759345491,-0.8563280859096818,1.096164423657599,0.7509119768422989,0.8051126636156731,-0.7359006074391213,-1.213309369543531,-0.9670704763660952,-0.5229541216857073,-0.06711672520483865,0.7017984327742837,0.6959832687900511,0.1959081651244062,0.8634965872406271,0.7736471840497676,0.7896226656337004,0.2308955937865197,0.1125057810009081,0.1667544016643762,0.3005030900701493,0.4732443895648833,DFEAB
4,C. Núñez,ARG1,0,C. Núñez,Banfield,Banfield,"DMF, RDMF, LDMF",DMF,7,26,0,,23,918,Paraguay,Paraguay,right,166,69,no,11.67,6.961,1.47,3.039,12.253518,6.079043999999999,0.29,1.176,0.196,0.29,5.00271,ARG1,Testing,2024,0.8066372902521188,0.7602260388223816,0.7834316645372503,56,90,46,70,73,70,3,23,3,16,63,11.67,6.961,1.47,3.039,12.253518,6.079043999999999,0.29,1.176,0.196,0.29,5.00271,0.1151640290602713,1.472006731289863,-0.06381599526622873,0.5290908517568312,0.5680649186962994,0.5362691660404517,-1.055526517598822,-0.8566313227060368,-0.9940807684398962,-0.811597630408338,0.07163868513291809,0.545842445209637,0.9294904700679999,0.4745583709194837,0.7016287863538708,0.7150045562009876,0.7041137313106457,0.1455922941036593,0.1958243346388955,0.1600917736565756,0.20851127571259,0.5285552735665299,BEFDA
5,K. Ortíz,ARG1,24,K. Ortíz,Rosario Central,Rosario Central,"RDMF, LDMF, LCMF",RDMF,7,23,0,,25,2143,Argentina,Argentina,right,176,70,no,15.29,7.431109000000001,2.059244,2.727996,7.601538,3.151111,0.63,1.763937,0.421756,0.46,3.273216,ARG1,Testing,2024,0.7645938398723469,0.781164204443574,0.7728790221579606,90,93,73,60,13,16,26,46,40,28,10,15.29,7.431109000000001,2.059244,2.727996,7.601538,3.151111,0.63,1.763937,0.421756,0.46,3.273216,1.694307154810964,1.886669314920257,0.6901387695770672,0.1983415378612038,-0.8952337060074208,-0.9390872267538641,-0.6674093409763282,-0.3310726407027494,-0.6129722998515829,-0.5229541216857073,-0.8251417453885652,0.954896534148779,0.9703975913249503,0.7549465377847013,0.5786110726658067,0.1853310851144675,0.1738429809005398,0.2522553504641852,0.3702948084678676,0.2699473278187995,0.3005030900701493,0.2046455609250088,BACDH
6,A. Toledo,ARG1,7,A. Toledo,Huracán,Huracán,"LDMF, RCMF, LCMF",LDMF,7,24,0,2024-12-31,21,1305,Argentina,Argentina,right,177,70,yes,13.93,6.138579999999999,2.07156,2.413943,9.932013000000001,3.795632,0.69,0.9640000000000001,0.414,0.48,3.725075,ARG1,Testing,2024,0.7948980658506128,0.7475558636793538,0.7712269647649834,83,76,76,43,53,23,36,6,33,36,33,13.93,6.138579999999999,2.07156,2.413943,9.932013000000001,3.795632,0.69,0.9640000000000001,0.414,0.48,3.725075,1.101037914197444,0.7465860266675136,0.7058974482972745,-0.1356503538085607,-0.1621736192472875,-0.6143194886805594,-0.5989180745135352,-1.046138770927014,-0.626065538934358,-0.4889960618359861,-0.5908429802266123,0.8645599218530551,0.7723432571542312,0.7598740427324103,0.4460488483700147,0.4355845667839586,0.2695021133451582,0.2746137589137072,0.1477484835527911,0.2656359772331328,0.3124222424817984,0.2773128169476904,ABCDE
7,E. Pérez,ARG1,17,E. Pérez,Estudiantes,Estudiantes,"LDMF, RDMF, DMF",LDMF,7,38,0,2024-12-31,22,1620,Argentina,Argentina,right,178,77,no,10.33,4.50051,2.2221,2.054038,19.891708,8.778511,0.67,1.724616,0.5571540000000001,0.44,9.221150999999999,ARG1,Testing,2024,0.7446510619843879,0.767618232792272,0.75613464738833,33,20,80,33,96,90,33,40,43,21,93,10.33,4.50051,2.2221,2.054038,19.891708,8.778511,0.67,1.724616,0.5571540000000001,0.44,9.221150999999999,-0.4693806638971676,-0.6982838617358935,0.8985177385327459,-0.5184053402962133,2.970687656159855,1.896503807880718,-0.6217484966677994,-0.3662218028324526,-0.3844010794635512,-0.5569121815354287,2.258992521636239,0.3193987835128126,0.2424998448819039,0.815545203690814,0.3020877447529626,0.9985143309451995,0.971053271525827,0.2670536285731336,0.3570997871486753,0.3503406002874716,0.2887937156698483,0.9880580749669112,EKFCH
8,R. Aliendro,ARG1,5,R. Aliendro,River Plate,River Plate,"LDMF, RDMF, RCMF",LDMF,7,33,0,2026-12-31,18,1222,Argentina,Argentina,right,173,72,no,12.45,5.674466,0.7375,2.504054,14.439256,6.260924999999999,1.91,3.53595,1.25,0.44,7.81008,ARG1,Testing,2024,0.7481693994947888,0.6903241307925092,0.719246765143649,66,63,13,53,86,73,83,86,80,21,86,12.45,5.674466,0.7375,2.504054,14.439256,6.260924999999999,1.91,3.53595,1.25,0.44,7.81008,0.4554213876474369,0.3372113702813649,-1.001070961371465,-0.03981830205215625,1.255597412250154,0.6279171976305954,0.7937376768965906,1.252935198185926,0.7852222219217428,-0.5569121815354287,1.527321374539817,0.6755969443217961,0.6320212167397112,0.1583962513976055,0.4841189924372272,0.8953690149632522,0.734970907818035,0.7863259193190162,0.8948853545357603,0.7838383556677654,0.2887937156698483,0.9366594415239372,KEHGI
9,R. Villagra,ARG1,25,R. Villagra,River Plate,River Plate,"LDMF, DMF, LCMF",LDMF,7,23,0,2027-12-31,23,2206,Argentina,Argentina,right,178,77,no,8.12,4.653195999999999,1.345716,4.323352,9.625036999999999,6.038382,1.31,3.14,1.101275,1.06,6.6913,ARG1,Testing,2024,0.7187706674262827,0.7132405177016181,0.7160055925639505,3,30,40,96,50,66,60,80,73,76,80,8.12,4.653195999999999,1.345716,4.323352,9.625036999999999,6.038382,1.31,3.14,1.101275,1.06,6.6913,-1.433443179894138,-0.5636062204990956,-0.2228409730238032,1.894984997171285,-0.2587341286684485,0.515779987618746,0.10882501226866,0.8989942825109445,0.5341531163794898,0.4957876738059304,0.9472094978528645,0.07586561297355604,0.2865110762286329,0.41182963891504,0.9709528053435786,0.397920192540737,0.69699595933172,0.5433293576430183,0.8156721469609491,0.7033821984711637,0.689977888836995,0.8282339817317388,DKHIF
