Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,M. Romero,Instituto,Instituto,"RCMF, RW",RCMF,8,28,0,2024-12-31,19,915,Argentina,Argentina,right,179,71,no,11.41,1.669525,4.61871,1.38,0.58875,0.03,0.39,3.93353,0.59,0.785902,ARG1,Testing,2024,0.3972213709452903,0.4227079354321282,0.4099646531887092
1,S. Ortíz,Atlético Tucumán,Atlético Tucumán,RCMF,RCMF,8,23,0,2024-12-31,14,927,Argentina,Argentina,right,174,77,yes,9.51,1.36,2.717428,0.78,0.584,0.02,0.49,2.428416,0.49,0.6813819999999999,ARG1,Testing,2024,0.2051190444594613,0.2168397350184568,0.210979389738959
2,E. Cañete,Banfield,Banfield,RCMF,RCMF,8,24,0,2025-12-31,19,1016,Argentina,Argentina,left,175,68,yes,11.52,3.014049,3.986577,0.89,0.26664,0.06,0.53,3.722112,0.44,0.707448,ARG1,Testing,2024,0.350962373605023,0.3785186091519746,0.3647404913784988
3,M. Portillo,Talleres Córdoba,Talleres Córdoba,"LCMF, DMF, RCMF",LCMF,8,24,0,,16,1026,Argentina,Argentina,right,174,70,no,9.39,3.332448,5.791151999999999,0.88,2.190807,0.04,0.96,5.875188000000001,0.7,0.790644,ARG1,Testing,2024,0.5121904042206544,0.5406144168445316,0.526402410532593
4,M. Quiroz,Sarmiento,Sarmiento,"LCMF, RCMF, DMF",LCMF,8,22,0,,14,1028,Argentina,Argentina,right,175,68,yes,11.21,0.96403,2.189064,0.53,0.873948,0.02,0.53,2.18757,0.53,0.7875,ARG1,Testing,2024,0.256560398976162,0.2604450488859053,0.2585027239310336
5,F. Mancuello,Independiente,Independiente,"LCMF, LDMF",LCMF,8,35,0,2025-12-31,15,1062,Argentina,"Argentina, Italy",left,177,70,no,7.12,1.95,3.729121,1.36,1.102635,0.07,0.85,3.899426999999999,0.34,0.425,ARG1,Testing,2024,0.25372372119011,0.2637908485108756,0.2587572848504928
6,A. Castro,Nacional,Nacional,"LCMF, LAMF, LW",LCMF,8,29,0,2024-12-31,16,1070,Argentina,Argentina,left,183,78,no,8.75,1.933176,5.218266,1.93,2.437465,0.18,1.77,4.627123,1.01,1.010331,ARG1,Testing,2024,0.5500787115097969,0.5683593465014667,0.5592190290056318
7,M. Marín,Belgrano,Belgrano,"LCMF, AMF",LCMF,8,24,0,2026-12-31,15,1085,Chile,Chile,left,170,65,no,7.3,2.486791,4.314374999999999,0.58,0.9960000000000001,0.08,1.16,3.069711,0.91,1.493555,ARG1,Testing,2024,0.307104445582662,0.3469852825428735,0.3270448640627677
8,F. Moyano,Argentinos Juniors,Argentinos Juniors,"LCMF, DMF, RCMF",LCMF,8,26,0,2026-12-31,15,1109,Argentina,Argentina,right,171,70,no,7.39,3.242922000000001,3.81312,0.0,0.32,0.05,0.73,4.952997,0.16,0.161802,ARG1,Testing,2024,0.1965905118292527,0.2321961490543421,0.2143933304417974
9,R. Herrera,Barracas Central,Barracas Central,"RCMF, DMF, LCMF",RCMF,8,23,0,2025-12-31,14,1135,Argentina,Argentina,right,181,76,yes,13.16,2.142885,3.645310000000001,0.48,0.635492,0.0,0.32,3.725568,0.32,0.395,ARG1,Testing,2024,0.3486645181081297,0.3687527206048528,0.3587086193564912
10,S. Toloza,Independiente,Independiente,"LCMF, CF, AMF",LCMF,8,21,0,,16,1157,Argentina,Argentina,right,170,66,no,3.97,1.320411,3.11094,1.24,1.867792,0.18,1.48,3.810073,0.86,1.324812,ARG1,Testing,2024,0.2556438272846008,0.3022761408681551,0.278959984076378
11,W. Alarcón,Huracán,Huracán,"LCMF, RCMF",LCMF,8,23,0,2026-12-31,16,1169,Chile,Chile,right,182,69,no,5.54,2.772723999999999,5.385689999999999,0.31,0.231444,0.06,0.54,5.771245,0.85,1.080054,ARG1,Testing,2024,0.3156536943312194,0.3337492057959142,0.3247014500635668
12,L. Boggio,Lanús,Lanús,"LCMF, RCMF",LCMF,8,25,0,2026-12-31,21,1184,Uruguay,"Uruguay, Italy",right,175,69,no,8.13,1.21374,3.877713,0.99,1.36875,0.21,1.75,3.190344000000001,0.38,0.7611720000000001,ARG1,Testing,2024,0.3121176107823917,0.3470802320434104,0.329598921412901
13,P. De Blasis,Gimnasia La Plata,Gimnasia La Plata,"LCMF, LDMF",LCMF,8,36,0,2024-12-31,18,1219,Argentina,Argentina,right,165,65,no,11.15,3.988722,6.574040999999999,0.81,0.589113,0.16,1.48,6.347848,0.52,1.033618,ARG1,Testing,2024,0.577836905766174,0.6099650907275317,0.5939009982468528
14,J. Sosa,Estudiantes,Estudiantes,"LCMF, AMF, LWF",LCMF,8,38,0,2024-12-31,19,1255,Argentina,Argentina,right,181,78,no,6.81,2.724236,6.166237,1.22,0.6456449999999999,0.19,1.65,5.594037000000001,1.08,1.65,ARG1,Testing,2024,0.5146871714014132,0.5310246769691355,0.5228559241852743
15,F. Álvarez,Lanús,Lanús,"LCMF, RCMF",LCMF,8,31,0,2024-12-31,20,1296,Argentina,"Argentina, Italy",right,180,70,no,7.22,3.957447,6.111000000000001,0.76,1.039258,0.1,1.11,5.417992000000001,1.53,1.39,ARG1,Testing,2024,0.5086682693082181,0.5403976961457555,0.5245329827269867
16,E. Rolón,Belgrano,Belgrano,"RCMF, LCMF, RDMF",RCMF,8,29,0,2025-12-31,21,1326,Argentina,"Argentina, Poland",right,178,70,yes,10.45,1.356,3.5295,0.61,0.6128979999999999,0.02,0.27,3.12132,0.54,0.543219,ARG1,Testing,2024,0.2974543679668469,0.2980159134459535,0.2977351407064002
17,C. Arce,Barracas Central,Barracas Central,"LCMF, DMF, RCMF",LCMF,8,33,0,,18,1330,Argentina,Argentina,right,169,72,no,11.71,4.536392,6.696795000000001,0.47,0.476,0.01,0.34,6.359823,0.41,0.4732859999999999,ARG1,Testing,2024,0.5134626469058432,0.5289093037312704,0.5211859753185568
18,J. Florentín,,Vélez Sarsfield,"LCMF, LDMF",LCMF,8,27,0,,17,1333,Paraguay,Paraguay,left,184,79,no,10.67,0.9459660000000001,2.766302,1.89,0.540027,0.02,0.34,2.429973,0.34,0.269064,ARG1,Testing,2024,0.2399028067883625,0.2613122394483118,0.2506075231183371
19,N. Oroz,Argentinos Juniors,Argentinos Juniors,"LCMF, RW",LCMF,8,30,0,2027-12-31,19,1391,Argentina,Argentina,left,171,71,no,7.38,1.489472,4.0145,1.81,2.003609,0.12,1.42,4.591398000000001,1.16,0.907788,ARG1,Testing,2024,0.3769815370960023,0.4294151989818122,0.4031983680389072
20,M. Esquivel,Mamelodi Sundowns,Mamelodi Sundowns,"LCMF, RW, RWF",LCMF,8,25,0,2027-06-30,22,1392,Argentina,Argentina,left,167,64,no,8.79,2.32713,5.9466,0.91,2.521287,0.19,2.13,4.85,1.16,2.00298,ARG1,Testing,2024,0.595852426987934,0.6423256080529128,0.6190890175204233
21,N. Linares,Palestino,Palestino,"RCMF, DMF, LDMF",RCMF,8,28,0,2024-12-31,18,1396,Argentina,Argentina,right,175,72,no,10.64,1.28841,2.516822,0.64,0.386686,0.0,0.19,2.38298,0.19,0.064438,ARG1,Testing,2024,0.1831284627541236,0.1975280659993908,0.1903282643767572
22,S. Quiroga,Sarmiento,Sarmiento,"LCMF, AMF",LCMF,8,29,0,2025-06-30,24,1399,Argentina,Argentina,right,162,60,no,8.62,2.253775,3.15018,0.64,1.091656,0.11,0.9,1.675,0.71,0.7057819999999999,ARG1,Testing,2024,0.2267191649351078,0.2695132373853805,0.2481162011602441
23,E. Roldán,Unión Santa Fe,Unión Santa Fe,RCMF,RCMF,8,23,0,2025-12-31,19,1402,Argentina,Argentina,right,176,70,no,7.19,1.92708,2.888475,0.51,1.478475,0.06,0.64,3.276749999999999,0.45,0.962577,ARG1,Testing,2024,0.1959371923927451,0.2305752902153855,0.2132562413040653
24,B. Perlaza,Medellín,Medellín,"RCMF, LCMF, RDMF",RCMF,8,31,0,2024-12-31,20,1420,Colombia,Colombia,right,187,83,no,8.3,1.076768,2.533498,1.01,1.011556,0.05,0.38,2.09418,0.44,0.44157,ARG1,Testing,2024,0.1430127846966864,0.1674333193827559,0.1552230520397211
25,F. González Metilli,Belgrano,Belgrano,"RCMF, AMF, CF",RCMF,8,27,0,2026-12-31,24,1508,Argentina,Argentina,left,178,70,no,5.61,0.832584,3.703732,2.81,1.847484,0.17,1.13,2.743118,1.25,0.8945160000000001,ARG1,Testing,2024,0.3293807887947683,0.3505127093904297,0.3399467490925989
26,E. Fernández,Boca Juniors,Boca Juniors,"LCMF, DMF, AMF",LCMF,8,21,0,,20,1519,Argentina,Argentina,left,178,70,no,10.72,2.546501,6.217536,0.89,1.423911,0.06,0.47,6.101477,0.59,0.76817,ARG1,Testing,2024,0.5180124490849192,0.5412646768920772,0.5296385629884981
27,R. Loaiza,Lanús,Lanús,"RCMF, RDMF",RCMF,8,29,0,2025-12-31,19,1520,Colombia,Colombia,right,180,70,no,9.18,0.473008,2.726295000000001,0.59,0.534375,0.04,0.47,3.022919,0.65,0.594719,ARG1,Testing,2024,0.1865239277993565,0.2158037662341048,0.2011638470167306
28,G. Maroni,Tigre,Tigre,"LCMF, AMF",LCMF,8,25,0,2024-12-31,25,1523,Argentina,Argentina,right,175,69,yes,5.67,1.00665,3.010275,1.65,2.421648,0.2,1.65,3.724,0.47,0.887826,ARG1,Testing,2024,0.2564416085919994,0.2937511388690239,0.2750963737305117
29,R. Saravia,Gimnasia La Plata,Gimnasia La Plata,"RCMF, DMF, LCMF",RCMF,8,23,0,,17,1553,Uruguay,Uruguay,right,173,70,yes,9.33,2.494058,5.096232,0.35,0.8667360000000001,0.01,0.35,4.519636,0.46,0.6355440000000001,ARG1,Testing,2024,0.3581432324400768,0.3667315635984249,0.3624373980192508
30,I. Rodríguez,Banfield,Banfield,"LCMF, LW, LAMF",LCMF,8,22,0,,21,1576,Argentina,Argentina,left,166,68,no,6.85,0.913497,2.000719,1.37,2.227693,0.05,0.46,1.996705,0.4,0.7435290000000001,ARG1,Testing,2024,0.1577387161880085,0.1718835245551975,0.164811120371603
31,J. Gómez,Rosario Central,Rosario Central,"LCMF, RCMF",LCMF,8,34,0,2025-12-31,23,1578,Argentina,Argentina,right,171,71,no,6.84,1.198144,3.991507,1.03,1.027036,0.07,0.74,4.275796,0.97,0.857904,ARG1,Testing,2024,0.2627099438203908,0.2986959579968229,0.2807029509086069
32,B. Rivero,Platense,Platense,"RCMF, LCMF, DMF",RCMF,8,28,0,2025-12-31,21,1591,Argentina,Argentina,right,170,67,yes,9.11,2.997903,5.657256000000001,0.62,0.73661,0.08,0.51,6.055916999999999,0.62,0.6207820000000001,ARG1,Testing,2024,0.444953837378933,0.45942151993555,0.4521876786572414
33,I. Méndez,Vélez Sarsfield,Vélez Sarsfield,"RCMF, DMF, RDMF",RCMF,8,27,0,2025-12-31,23,1612,Argentina,"Argentina, Chile",right,177,74,no,8.49,2.12282,4.132160000000001,0.39,0.6709649999999999,0.03,0.39,4.244105999999999,0.33,0.336,ARG1,Testing,2024,0.2460075985160124,0.2636629596621951,0.2548352790891037
34,C. Ferreira,San Lorenzo,San Lorenzo,"LCMF, AMF, CF",LCMF,8,24,0,2024-12-31,21,1625,Argentina,Argentina,right,175,69,yes,4.43,1.826,3.825,1.0,2.050968,0.1,1.16,4.041323999999999,0.55,0.7217629999999999,ARG1,Testing,2024,0.2689728577743074,0.2846083981035027,0.2767906279389051
