Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,F. Watson,Lanús,Lanús,"AMF, LW, CF",AMF,9,21,0,2027-12-31,14,917,Argentina,"Argentina, Italy",right,177,74,no,1.080657,4.025175,3.039521999999999,2.258025,1.080475,0.06,0.59,1.965645,0.098,0.1,ARG1,Testing,2024,0.1239320053853609,0.1262652141263611,0.125098609755861
1,R. Carrera,Lanús,Lanús,"AMF, LW, LCMF",AMF,9,30,0,2025-12-31,13,942,Argentina,Argentina,right,182,70,no,1.911561,7.26033,4.295941,3.248066,1.62288,0.14,1.34,3.43746,0.669375,0.48,ARG1,Testing,2024,0.3295167208940205,0.3575402627480593,0.3435284918210398
2,M. Lanzini,River Plate,River Plate,"AMF, LAMF, LCMF",AMF,9,31,0,2024-06-30,15,1046,Argentina,"Argentina, Italy",right,170,69,no,1.721463,14.37035,5.93912,5.163895999999999,2.756082,0.07,0.95,7.31,0.43125,0.26,ARG1,Testing,2024,0.5789816193091711,0.5956610624804883,0.5873213408948297
3,F. Colidio,River Plate,River Plate,"AMF, CF, LAMF",AMF,9,24,0,2025-12-31,21,1098,Argentina,"Argentina, Italy",right,180,76,no,0.576195,4.344552,2.78468,4.670729,2.540223,0.05,0.82,2.132123,0.164,0.49,ARG1,Testing,2024,0.3326276955099873,0.3395377134633997,0.3360827044866935
4,A. Lescano,Argentinos Juniors,Argentinos Juniors,"AMF, RCMF, LCMF",AMF,9,22,0,2025-12-31,21,1189,Argentina,Argentina,left,182,67,no,3.251464,7.87474,5.296552,2.496626,1.0584,0.1,1.14,4.997052,0.151697,0.3,ARG1,Testing,2024,0.3170156065093312,0.3184376796646592,0.3177266430869952
5,R. Bogarín,Defensa y Justicia,Defensa y Justicia,"AMF, RCMF, LCMF",AMF,9,27,0,2024-12-31,19,1266,Paraguay,Paraguay,right,180,78,no,2.34802,7.390953999999999,3.700185,2.274501,0.923498,0.06,0.92,4.338582000000001,0.284416,0.14,ARG1,Testing,2024,0.197003729561357,0.228607103608171,0.212805416584764
6,C. Aquino,Vélez Sarsfield,Vélez Sarsfield,"AMF, LW",AMF,9,32,1500000,,16,1352,Argentina,Argentina,right,173,70,no,1.995732,9.9822,6.719335000000001,5.193724,2.460787,0.2,2.0,4.393809,0.6666799999999999,0.6,ARG1,Testing,2024,0.6198709357461872,0.5987108131335122,0.6092908744398496
7,J. Paradela,Necaxa,Necaxa,"AMF, RW, RAMF",AMF,9,25,0,2025-12-31,18,1431,Argentina,Argentina,left,179,71,yes,0.878232,6.855,4.342140000000001,7.04524,3.583762,0.19,1.13,4.594365,0.252,0.25,ARG1,Testing,2024,0.6567350251585614,0.6232709071037401,0.6400029661311507
8,R. Botta,Talleres Córdoba,Talleres Córdoba,"AMF, RCMF",AMF,9,34,0,2024-12-31,18,1656,Argentina,"Argentina, Italy",left,177,74,no,1.686223,6.686160999999999,4.618944,7.174314000000001,4.725600000000001,0.13,1.25,3.586374,0.541968,0.27,ARG1,Testing,2024,0.7194294157675997,0.6997890803377357,0.7096092480526677
9,B. Rollheiser,Benfica,Benfica,"AMF, RWF, CF",AMF,9,24,0,2025-06-30,23,1842,Argentina,Argentina,left,172,75,yes,2.004464,6.598169999999999,4.792257,4.740038999999999,2.733685,0.1,1.27,3.665707,0.4392,0.39,ARG1,Testing,2024,0.4593456659840763,0.4678792478652529,0.4636124569246646
