Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Passes_Chave_Percentil,A,B,C,D,E,F,G,H,I,J,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,Similar_StScaled_E,Similar_StScaled_F,Similar_StScaled_G,Similar_StScaled_H,Similar_StScaled_I,Similar_StScaled_J,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,ID
0,C. Aquino,ARG1,17,C. Aquino,Vélez Sarsfield,Vélez Sarsfield,AMF,AMF,9,33,1800000,2024-12-31,26,2168,Argentina,Argentina,right,173,70,no,2.903498999999999,13.44954,8.970789,5.561165999999999,2.616603,0.23,2.12,6.640332000000001,0.74712,0.42,ARG1,Testing,2024,1.0,1.0,1.0,83,94,94,66,66,86,83,88,94,66,2.903498999999999,13.44954,8.970789,5.561165999999999,2.616603,0.23,2.12,6.640332000000001,0.74712,0.42,0.9814870384592863,2.847983190545895,2.855525305074729,0.5162578164730259,0.5108484600936897,1.466666666666667,1.119652973401333,1.664355566228831,3.339395225140405,0.6010957923930915,0.8368236884464368,0.9978001375812082,0.9978517150584676,0.6971628228677953,0.6952714134529592,0.928766622586014,0.8685691639263549,0.9519793029328539,0.9995801949161424,0.7261119071513007,ICBH
1,L. Sequeira,ARG1,7,L. Sequeira,Independiente Rivadavia,Independiente Rivadavia,"AMF, LCMF",AMF,9,21,200000,2026-12-31,20,1092,Argentina,Argentina,right,172,70,yes,4.365875,9.477165,6.513100000000001,6.675333999999999,2.804802,0.13,1.32,6.594404999999999,0.2475,0.41,ARG1,Testing,2024,0.7818690924092702,0.7173964359046408,0.7496327641569555,94,83,83,77,77,30,33,83,55,58,4.365875,9.477165,6.513100000000001,6.675333999999999,2.804802,0.13,1.32,6.594404999999999,0.2475,0.41,2.42779994375262,0.9453431786915427,1.186021551065592,1.167068003732746,0.6950815722256076,-0.5333333333333329,-0.5272318904371964,1.630722219632899,0.07951458847164476,0.5299133959254885,0.9924046399954626,0.8277581494682118,0.8821931055834816,0.8784085460067559,0.7564979087299621,0.2969014286038514,0.2990162826710404,0.9485255270355504,0.5316883357848019,0.7019140110789548,AHCD
2,É. Banega,ARG1,13,É. Banega,Newell's Old Boys,Newell's Old Boys,"AMF, LW, RCMF",AMF,9,36,1300000,2025-12-31,19,1642,Argentina,"Argentina, Spain",right,174,71,no,4.108256,9.922068,6.688994,4.384836000000001,1.262417,0.16,1.81,7.12749,0.4379440000000001,0.49,ARG1,Testing,2024,0.7473364519349388,0.6593646380261012,0.70335054498052,88,88,88,38,22,55,61,94,88,80,4.108256,9.922068,6.688994,4.384836000000001,1.262417,0.16,1.81,7.12749,0.4379440000000001,0.49,2.173010693690554,1.158437423115606,1.305506031529834,-0.170862570738979,-0.8148009917390694,0.0666666666666671,0.4814850886639027,2.021112024542684,1.322108375689422,1.099372567666312,0.9851102437769226,0.8766572126697142,0.9041397026568498,0.4321659140178866,0.2075931165865131,0.5265764643003653,0.6849141124727577,0.9783659150633341,0.9069339674302896,0.8641972043827159,AHIC
3,M. Lovera,ARG1,1,M. Lovera,Rosario Central,Rosario Central,"AMF, RW, LAMF",AMF,9,25,700000,2027-12-31,18,919,Argentina,Argentina,right,170,65,no,0.783246,5.972760000000001,4.601667000000001,7.053268,4.214098,0.2,1.57,2.9349,0.294,0.49,ARG1,Testing,2024,0.7157380090286847,0.6524104417874893,0.6840742254080869,5,16,55,88,94,72,44,11,77,80,0.783246,5.972760000000001,4.601667000000001,7.053268,4.214098,0.2,1.57,2.9349,0.294,0.49,-1.11547658538773,-0.7331542367695976,-0.11241147648059,1.387827617464082,2.074679699713338,0.8666666666666673,-0.01258037048765603,-1.049213331013583,0.3829140712887804,1.099372567666312,0.1323231233773108,0.2317321817049657,0.4552485780441331,0.9174052285152725,0.9809918849846373,0.8069376628580933,0.4949812906913172,0.1470399722160233,0.6491082611431618,0.8641972043827159,EDJF
4,F. Mastantuono,ARG1,5,F. Mastantuono,River Plate,River Plate,"AMF, RAMF, CF",AMF,9,17,0,,23,1035,Argentina,Argentina,left,177,71,no,1.563472,6.348532000000001,4.347035,6.87078,3.565818,0.2,1.83,3.828624,0.086897,0.52,ARG1,Testing,2024,0.6604384231248208,0.5817753405358235,0.6211068818303221,44,27,33,83,88,72,66,44,5,88,1.563472,6.348532000000001,4.347035,6.87078,3.565818,0.2,1.83,3.828624,0.086897,0.52,-0.3438207780950802,-0.5531715205017391,-0.2853825399027139,1.28123233788986,1.440060801988697,0.8666666666666673,0.522657210259866,-0.3947196986600332,-0.9683750274182574,1.312919757069121,0.3654905365757976,0.2900729832075594,0.387675541370739,0.8999439646185945,0.9250749011363536,0.8069376628580933,0.6993935897770873,0.3465248816918002,0.1664285533306109,0.9053950056666689,EJDF
5,C. Echeverri,ARG1,9,C. Echeverri,River Plate,River Plate,"AMF, CF",AMF,9,18,0,,19,1216,Argentina,Argentina,right,170,65,yes,1.404702,7.769025,4.291815,7.250435,2.590913,0.15,2.22,5.03509,0.22125,0.59,ARG1,Testing,2024,0.6270895002615202,0.5823530905174626,0.6047212953894914,27,61,27,94,61,50,88,66,50,94,1.404702,7.769025,4.291815,7.250435,2.590913,0.15,2.22,5.03509,0.22125,0.59,-0.5008468096857399,0.1271989929465183,-0.3228933874087999,1.502997225809895,0.4856998214151156,-0.1333333333333331,1.325513581381149,0.4888017404543444,-0.09175931311867377,1.811196532342342,0.3082394695393186,0.5506085487899581,0.373387992197434,0.9335801203110736,0.6864099948530534,0.4469648833763861,0.9074995660659566,0.6875089671462465,0.4634446355287083,0.9649447825976407,JDGH
6,M. Moreno,ARG1,16,M. Moreno,Lanús,Lanús,"AMF, CF",AMF,9,29,0,2026-12-31,24,2098,Argentina,Argentina,right,168,65,no,0.8590049999999999,6.176625,3.94992,6.047727999999999,3.429122,0.24,2.4,3.602214,0.17142,0.43,ARG1,Testing,2024,0.6291280441723657,0.5352329066850661,0.5821804754287159,11,22,22,72,83,94,94,33,38,72,0.8590049999999999,6.176625,3.94992,6.047727999999999,3.429122,0.24,2.4,3.602214,0.17142,0.43,-1.040549740723897,-0.6355094509634527,-0.5551420510830701,0.8004694491293792,1.306245375254311,1.666666666666667,1.696062675744818,-0.5605246936038495,-0.4168861137375529,0.6722781888606945,0.1490422837127841,0.2625481023890914,0.2893987509824816,0.7882805713248608,0.9042654366789906,0.9522096477271853,0.955062994421581,0.2875608006002432,0.3383808555064901,0.749296693769749,GFED
7,M. Miljevic,ARG1,8,M. Miljevic,Newell's Old Boys,Newell's Old Boys,"AMF, LW",AMF,9,23,700000,2024-12-31,17,1184,United States,"United States, Argentina",right,180,76,no,1.52,7.97874,5.092,4.787462,1.822766,0.13,1.6,4.790989999999999,0.07665899999999999,0.38,ARG1,Testing,2024,0.5123243771099213,0.435634277232946,0.4739793271714337,33,66,66,50,38,30,50,61,0,50,1.52,7.97874,5.092,4.787462,1.822766,0.13,1.6,4.790989999999999,0.07665899999999999,0.38,-0.3868152710427979,0.2276457408205321,0.2206708558301949,0.06432018666890851,-0.2662601379087721,-0.5333333333333329,0.04917781190628887,0.3100419716023248,-1.035175111398512,0.3163662065226798,0.3494464854791243,0.5900391713092507,0.5873256371339614,0.5256423599512535,0.3950194353103179,0.2969014286038514,0.5196112032993747,0.6217354804275491,0.1502935698859652,0.6241377180103198,JHBC
8,H. Fértoli,ARG1,6,H. Fértoli,Huracán,Huracán,"AMF, LCMF, LAMF",AMF,9,30,1000000,2025-12-31,23,1058,Argentina,Argentina,right,175,66,no,2.212974,5.528249999999999,2.975136,5.359375,2.55,0.08,0.6,3.488288,0.170051,0.26,ARG1,Testing,2024,0.4387780828298911,0.3480542447512832,0.3934161637905872,66,11,11,61,55,5,0,22,33,27,2.212974,5.528249999999999,2.975136,5.359375,2.55,0.08,0.6,3.488288,0.170051,0.26,0.2985469335015479,-0.9460602468188456,-1.217311083596152,0.3983872273901178,0.4456489746164971,-1.533333333333333,-2.009428267891873,-0.643955195145165,-0.4258184555004916,-0.5378225510885555,0.6173571197194525,0.1720589291499628,0.1117429394276358,0.6548276142546611,0.6720745860111612,0.06259687279090688,0.02224586744066827,0.2598022442205009,0.3351200689062475,0.2953497807944023,EDAI
9,M. González,ARG1,0,M. González,Banfield,Banfield,"AMF, CF, RCMF",AMF,9,22,0,2025-12-31,18,903,Argentina,Argentina,left,174,62,no,1.592787,5.48166,3.684095999999999,5.284396,2.68866,0.1,1.0,2.693691,0.3,0.2,ARG1,Testing,2024,0.4387817484245133,0.347393097911029,0.3930874231677711,50,5,16,55,72,11,11,5,83,13,1.592787,5.48166,3.684095999999999,5.284396,2.68866,0.1,1.0,2.693691,0.3,0.2,-0.3148277812059941,-0.9683753601080726,-0.7357158201424292,0.3545903340755131,0.5813870142883965,-1.133333333333333,-1.185985835972608,-1.225855957334872,0.4220623916522818,-0.9649169298941732,0.3764462085939896,0.1664284702844359,0.230951829949446,0.6385517407438973,0.7195101762876405,0.1285371493424151,0.1178139465659792,0.110126442599375,0.6635102611368708,0.1672932104878778,EIDA
