Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Ameaça_Ofensiva,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,M. González,Banfield,Banfield,"AMF, CF, RCMF",AMF,9,22,0,2025-12-31,18,903,Argentina,Argentina,left,174,62,no,1.592787,5.48166,3.684095999999999,5.284396,1.0,2.68866,0.06,0.497448,0.03174603174603174,0.1,1.0,2.693691,0.2,0.3,0.6,0.2,0.6968470000000001,ARG1,Testing,2024,0.1256781316881959,0.0987387352443104,0.1122084334662531
1,M. Lovera,Rosario Central,Rosario Central,"AMF, RW, LAMF",AMF,9,25,700000,2027-12-31,18,919,Argentina,Argentina,right,170,65,no,0.783246,5.972760000000001,4.601667000000001,7.053268,0.59,4.214098,0.11,0.0975,0.141025641025641,0.2,1.57,2.9349,0.391072,0.294,0.29,0.49,1.470951,ARG1,Testing,2024,0.1016030738083311,0.1250145250264998,0.1133087994174154
2,Iker Muniain,San Lorenzo,San Lorenzo,"AMF, CF, LAMF",AMF,9,31,5000000,,13,923,Spain,Spain,right,169,66,no,0.586696,6.824726999999999,2.825526,3.998056,0.29,1.074674,0.23,0.2925,0.2948717948717949,0.14,1.27,3.507868,0.195,0.1,0.68,0.1,0.586696,ARG1,Testing,2024,0.009905782786330058,0.01932728776856563,0.01461653527744784
3,R. Bogarín,Defensa y Justicia,Defensa y Justicia,"AMF, LAMF, RAMF",AMF,9,27,750000,2024-12-31,15,923,Paraguay,Paraguay,right,180,78,no,2.243729,7.507968,4.487992999999999,2.730234,0.88,1.071392,0.06,0.683265,0.02926829268292683,0.13,1.37,4.48868,0.09665699999999999,0.194276,0.78,0.1,0.8774219999999999,ARG1,Testing,2024,0.2361539323651855,0.2056067876500348,0.2208803600076101
4,N. Bustos,San Lorenzo,San Lorenzo,"AMF, CF",AMF,9,26,3500000,2025-06-30,19,957,Argentina,Argentina,right,176,78,yes,1.596673,3.854188,2.727963,4.42087,1.5,1.411224,0.17,0.7525,0.05647840531561463,0.07,0.85,2.44505,0.19,0.095,0.56,0.28,0.565,ARG1,Testing,2024,0.2061289675105967,0.1721029513544123,0.1891159594325045
5,F. Mastantuono,River Plate,River Plate,"AMF, RAMF, CF",AMF,9,17,0,,23,1035,Argentina,Argentina,left,177,71,no,1.563472,6.348532000000001,4.347035,6.87078,3.13,3.565818,0.24,0.9578309999999999,0.06722689075630252,0.2,1.83,3.828624,0.0875,0.086897,1.48,0.52,1.654338,ARG1,Testing,2024,0.5466751134830592,0.5083461438315228,0.5275106286572909
6,H. Fértoli,Huracán,Huracán,"AMF, LCMF, LAMF",AMF,9,30,1000000,2025-12-31,23,1058,Argentina,Argentina,right,175,66,no,2.212974,5.528249999999999,2.975136,5.359375,1.36,2.55,0.13,0.42723,0.1382978723404255,0.08,0.6,3.488288,0.17,0.170051,0.43,0.26,0.8512110000000002,ARG1,Testing,2024,0.04918406605876724,0.07241545110359389,0.06079975858118056
7,L. Sequeira,Independiente Rivadavia,Independiente Rivadavia,"AMF, LCMF",AMF,9,21,200000,2026-12-31,20,1092,Argentina,Argentina,right,172,70,yes,4.365875,9.477165,6.513100000000001,6.675333999999999,0.58,2.804802,0.08,0.7437090000000001,0.05095541401273885,0.13,1.32,6.594404999999999,0.08,0.2475,0.66,0.41,1.1536,ARG1,Testing,2024,0.6300853777603851,0.4955617250084995,0.5628235513844422
8,M. Miljevic,Newell's Old Boys,Newell's Old Boys,"AMF, LW",AMF,9,23,700000,2024-12-31,17,1184,United States,"United States, Argentina",right,180,76,no,1.52,7.97874,5.092,4.787462,1.22,1.822766,0.11,0.608828,0.04014598540145985,0.13,1.6,4.790989999999999,0.075,0.07665899999999999,0.68,0.38,1.365852,ARG1,Testing,2024,0.3806682894394953,0.3116143202828529,0.3461413048611741
9,C. Echeverri,River Plate,River Plate,"AMF, CF",AMF,9,18,0,,19,1216,Argentina,Argentina,right,170,65,yes,1.404702,7.769025,4.291815,7.250435,2.89,2.590913,0.24,0.814037,0.09266409266409266,0.15,2.22,5.03509,0.222872,0.22125,1.41,0.59,1.923152,ARG1,Testing,2024,0.5018926611196276,0.4607275707533803,0.4813101159365039
