Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,J. Gauto,Basel,Basel,"LW, CF, LCMF",LW,10,19,0,2028-06-30,10,911,Argentina,Argentina,right,172,67,no,0.88875,5.0405,3.2625,4.247640000000001,2.864544,0.03,0.297,0.0,0.09,0.99,0.098601,0.0,0.4,ARG1,Testing,2024,0.3322065750497391,0.3395223821478012,0.3351598888835015
1,J. Cejas,Godoy Cruz,Godoy Cruz,"LW, CF, RW",LW,10,26,0,2024-12-31,15,993,Argentina,Argentina,right,176,67,no,0.3636,3.714776,2.263176,3.261519,1.632309,0.29,1.088294,13.793,0.19,1.54,0.0,0.089991,0.36,ARG1,Testing,2024,0.168144483900026,0.1903041338830559,0.1783535376530483
2,N. Sosa,Racing,Racing,"RW, LW, RAMF",RW,10,28,0,2024-12-31,20,1017,Uruguay,Uruguay,right,176,70,no,0.26625,2.03643,1.858288,2.30157,1.325,0.1,0.26475,5.882,0.0,0.27,0.0,0.0,0.0,ARG1,Testing,2024,0.06845126087516251,0.07446966471320121,0.07047536353800123
3,G. Prestianni,Benfica,Benfica,"RAMF, RCMF, AMF",RAMF,10,18,0,,19,1029,Argentina,"Argentina, Italy",right,166,63,no,0.6990259999999999,5.773248,3.845856,5.685004,3.145851,0.07,0.785,0.0,0.14,1.4,0.351076,0.522,0.7,ARG1,Testing,2024,0.4922270511726379,0.4919043669404362,0.4915268351883302
4,J. Quintero,Racing Club,Racing Club,"RWF, CF, RAMF",RWF,11,31,0,2026-12-31,16,1059,Colombia,Colombia,left,168,70,no,3.994779,14.110425,9.600492,2.632487999999999,2.037065,0.26,0.933078,20.69,0.28,2.46,1.274966,1.02,0.85,ARG1,Testing,2024,0.6644915092425515,0.7948236307589176,0.7293707603216252
5,F. Lencioni,Belgrano,Belgrano,"LW, LAMF, RAMF",LW,10,23,0,2027-12-31,18,1074,Argentina,Argentina,left,180,78,no,0.9223580000000001,3.687552,3.517500000000001,2.85,1.925303,0.06,0.336633,8.333,0.07,0.42,0.085,0.1675,0.25,ARG1,Testing,2024,0.2503195910920891,0.2514698233101513,0.2500999719882742
6,J. Acevedo,Instituto,Instituto,"LW, LAMF",LW,10,27,0,2024-12-31,20,1107,Argentina,Argentina,left,172,70,yes,0.8137279999999998,6.910785000000001,3.253496,3.333792,1.789374,0.17,0.729498,10.526,0.17,1.63,0.08199999999999999,0.08125,0.24,ARG1,Testing,2024,0.2676369407031064,0.3017803418036784,0.2839497796678382
7,B. Cuello,Instituto,Instituto,"LW, LAMF, AMF",LW,10,26,0,2024-12-31,23,1136,Argentina,Argentina,right,170,66,no,0.237724,4.59665,2.219425,4.1976,2.216825,0.23,0.55423,4.167,0.04,0.48,0.0,0.0,0.16,ARG1,Testing,2024,0.1990959964543731,0.2206907283809136,0.209055128363197
8,H. Fértoli,Huracán,Huracán,"LW, AMF, LCMF",LW,10,29,0,2025-12-31,17,1138,Argentina,Argentina,right,175,66,no,1.975506,4.981125,3.71508,5.141178,2.76789,0.08,0.635,12.5,0.16,1.5,0.08,0.157762,0.47,ARG1,Testing,2024,0.4494365116807358,0.4452186292031621,0.4467412333206374
9,M. Abaldo,Gimnasia La Plata,Gimnasia La Plata,"RW, RWF, RAMF",RW,10,20,0,2024-12-31,15,1144,Uruguay,"Uruguay, Germany",left,172,60,yes,0.7884299999999999,3.699805,2.988624,3.303693,1.967616,0.23,0.8635,20.0,0.16,1.34,0.078349,0.156651,1.1,ARG1,Testing,2024,0.2548274617294938,0.2729622619650139,0.2631139186617357
