Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,E. Salvio,Lanús,Lanús,"RAMF, LAMF, RW",RAMF,10,34.0,1500000,2026-12-31,17,1262,Argentina,Argentina,right,173,78,no,6.49,2.99406,5.0623,3.208823999999999,4.420548,0.26,0.07,ARG1,Testing,2025,0.4169347377774318,0.39438416213252,0.4038993570814338
1,C. Auzqui,Atlético Tucumán,Atlético Tucumán,RW,RW,10,34.0,300000,,9,572,Argentina,Argentina,right,180,72,no,11.17,5.66229,5.822916,5.351083999999999,2.201598,0.04,0.12,ARG1,Testing,2025,0.7570501030509208,0.7548042736601969,0.755204385887566
2,E. Cerutti,San Lorenzo,San Lorenzo,"RAMF, RW",RAMF,10,33.0,225000,,15,886,Argentina,"Argentina, Italy",right,169,65,no,4.88,2.745,5.178095999999999,4.370262,3.85836,0.04,0.16,ARG1,Testing,2025,0.4195165871717277,0.4265161646167012,0.4213076841940399
3,S. Palacios,Talleres Córdoba,Talleres Córdoba,"RAMF, LW",RAMF,10,33.0,2000000,2026-06-30,11,534,Argentina,Argentina,right,169,69,no,4.38,2.188468,3.034488,2.696,4.549770000000001,0.38,0.14,ARG1,Testing,2025,0.2897461154376036,0.2824046604538936,0.2839611562618632
4,L. Menossi,Belgrano,Belgrano,"RW, RCMF, RAMF",RW,10,32.0,750000,2025-12-31,14,958,Argentina,Argentina,right,169,70,no,7.52,4.131036,7.609455000000001,4.225358,1.693125,0.16,0.07,ARG1,Testing,2025,0.636248327975943,0.5860465900734588,0.6099959027558622
5,B. Sánchez,Deportivo Riestra,Deportivo Riestra,"RW, LW, LCMF",RW,10,31.0,0,,12,623,Argentina,Argentina,right,170,66,no,10.4,5.924211000000001,6.644903999999999,2.88873,3.324305000000001,0.09,0.03,ARG1,Testing,2025,0.5442550893044211,0.5869437443085295,0.5643129735868707
6,F. Pizzini,Vélez Sarsfield,Vélez Sarsfield,"RAMF, LW, RW",RAMF,10,31.0,2700000,2026-12-31,14,761,Argentina,"Argentina, Italy",right,177,77,no,6.79,2.836716,6.540515,4.815195,6.912065999999999,0.09,0.06,ARG1,Testing,2025,0.5650794921686847,0.551660053546206,0.5570619196149305
7,L. Vietto,Racing Club,Racing Club,"RWF, RW, LWF",RWF,11,31.0,2000000,2026-12-31,11,691,Argentina,"Argentina, Italy",right,173,65,no,4.3,2.474976,6.51385,4.558215000000001,2.476425,0.37,0.2,ARG1,Testing,2025,0.4438044859903425,0.4604646150761615,0.4505120900210199
8,G. Alanís,Huracán,Huracán,LAMF,LAMF,10,31.0,1000000,2027-12-31,17,1086,Argentina,Argentina,left,186,73,no,5.06,2.73746,1.4926,1.40688,1.990386,0.07,0.09,ARG1,Testing,2025,0.1526941772555021,0.137895185151951,0.1427635385104038
9,A. Preciado,Aldosivi,Aldosivi,"LW, LAMF, LWF",LW,10,30.0,600000,,12,601,Ecuador,"Ecuador, Spain",right,181,68,no,5.27,2.321475,5.57648,3.565155,4.337745999999999,0.11,0.17,ARG1,Testing,2025,0.3955309513954259,0.3972515937859099,0.3946037327375642
10,H. Fértoli,Tigre,Tigre,"LW, RW, RAMF",LW,10,30.0,1000000,2025-12-31,13,571,Argentina,Argentina,right,175,66,no,6.15,3.309137,4.411207999999999,2.6775,3.784,0.26,0.03,ARG1,Testing,2025,0.3749338440198171,0.3492797592534482,0.3602177310146881
11,G. Mainero,Platense,Platense,"RAMF, RW",RAMF,10,30.0,300000,2025-12-31,20,1698,Argentina,Argentina,right,179,66,no,6.52,3.023648,4.34409,4.980144000000001,2.330625,0.16,0.15,ARG1,Testing,2025,0.507221122742117,0.4763361762735686,0.4902735918820162
