Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,I. Fernández,Gimnasia La Plata,Gimnasia La Plata,"RW, AMF, RAMF",RW,10,36,1800000,2026-12-31,16,1375,Argentina,Argentina,left,182,67,no,3.597655,1.24,0.6538200000000001,0.26,2.23,0.1,0.587182,9.524,0.11,0.85,1.24,0.46,0.39,ARG1,Testing,2026,0.3045553228004364,0.2796409215077215,0.2920981221540789
1,E. Salvio,Lanús,Lanús,"RAMF, RW, LW",RAMF,10,35,1500000,2026-12-31,17,1176,Argentina,Argentina,right,173,78,no,3.521532999999999,2.91,1.837244,0.54,1.76,0.21,0.612,5.0,0.15,0.92,0.84,0.61,0.61,ARG1,Testing,2026,0.3768681392786478,0.3710515001528619,0.3739598197157548
2,E. Rigoni,Belgrano,Belgrano,"RAMF, RW, LW",RAMF,10,33,2000000,2027-12-31,17,1445,Argentina,"Argentina, Italy",right,180,74,no,2.368314,1.81,1.495814,0.37,1.49,0.11,0.311746,5.882,0.13,1.06,0.44,1.18,0.44,ARG1,Testing,2026,0.2998734519420816,0.2984881610368788,0.2991808064894802
3,G. Alanís,Estudiantes Río Cuarto,Estudiantes Río Cuarto,"LW, LAMF, CF",LW,10,32,1000000,2027-12-31,15,983,Argentina,Argentina,left,186,73,yes,3.38808,2.29,2.196,0.09,1.37,0.22,0.27375,6.25,0.08,0.64,0.55,0.64,0.55,ARG1,Testing,2026,0.2633517090360667,0.2879429280599544,0.2756473185480105
4,G. Mainero,Platense,Platense,"RAMF, RW",RAMF,10,31,300000,2027-12-31,16,1127,Argentina,Argentina,right,179,66,no,2.796255,1.12,1.275933,0.16,2.87,0.05,0.319968,0.0,0.07,0.88,0.16,0.96,0.16,ARG1,Testing,2026,0.184716949314618,0.1714971485041257,0.1781070489093718
5,L. Herrera,Newell's Old Boys,Newell's Old Boys,"LW, LAMF, CF",LW,10,30,750000,2028-12-31,16,900,Argentina,Argentina,right,179,76,no,4.09944,2.9,2.2001,0.7,2.0,0.3,0.6,0.0,0.05,0.3,0.5,0.3,0.2,ARG1,Testing,2026,0.2894787493250985,0.2877957381333626,0.2886372437292306
6,R. Tesuri,Atlético Tucumán,Atlético Tucumán,"RW, RAMF, AMF",RW,10,30,600000,2028-12-31,16,1309,Argentina,Argentina,right,166,60,no,1.650391,2.13,0.482604,0.14,0.76,0.16,0.480701,13.333,0.07,0.48,0.55,0.41,0.34,ARG1,Testing,2026,0.2640500035336018,0.2610191450827346,0.2625345743081682
7,W. Mazzantti,Newell's Old Boys,Newell's Old Boys,"RAMF, RWF",RAMF,10,29,2500000,2028-12-31,14,837,Argentina,Argentina,right,174,68,yes,3.871065,2.04,1.29,0.86,2.26,0.1,0.325,16.667,0.19,1.08,0.86,0.86,0.32,ARG1,Testing,2026,0.3723277149625878,0.3764371641277132,0.3743824395451505
8,S. Ascacíbar,Boca Juniors,Boca Juniors,"RW, RCMF",RW,10,29,0,2029-12-31,14,1088,Argentina,"Argentina, Italy",right,169,69,no,1.407957,1.32,0.166675,0.08,0.66,0.12,0.413595,18.182,0.04,0.33,0.41,0.17,0.17,ARG1,Testing,2026,0.2494806664752063,0.2345238391041643,0.2420022527896853
9,U. Ortegoza,Talleres Córdoba,Talleres Córdoba,"LW, RDMF, RW",LW,10,29,1800000,2027-12-31,15,922,Argentina,Argentina,right,180,80,no,1.66,1.27,0.293304,0.59,1.17,0.11,0.389425,0.0,0.04,0.88,0.29,0.39,0.1,ARG1,Testing,2026,0.1414520925331587,0.1305884436403569,0.1360202680867578
