Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,A. Lezcano,Herediano,Herediano,GK,GK,0,22,125000,,21,2045,Costa Rica,Costa Rica,right,190,77,no,1.098267,78.02,0.135,3.83,1.32,0.1372549019607843,4.545454545454546,CRC,Testing,2023,1.0,1.0,1.0
1,J. Mendonca,Club Atlético Güemes,Club Atlético Güemes,GK,GK,0,37,10000,2023-12-31,16,1557,Argentina,Argentina,right,186,77,no,1.037091,80.0,0.332,3.47,1.39,0.3055555555555556,5.013333333333333,ARG2,Testing,2023,0.9909030536906386,0.998515833862637,0.995
2,H. Valdimarsson,Elfsborg,Elfsborg,GK,GK,0,22,600000,2027-12-31,29,2818,Iceland,Iceland,right,188,78,no,1.025908,77.32,0.186,3.0,2.68,0.2134831460674158,4.428571428571429,SWE,Testing,2023,0.9707827350003361,0.9877898375621947,0.979
3,Paulo Vítor,Al Akhdoud,Al Akhdoud,GK,GK,0,35,200000,,17,1683,Brazil,Brazil,right,195,89,no,0.8000160000000001,80.68,0.324,3.05,2.03,0.2601626016260162,5.175824175824175,POR1,Testing,2023,0.9557705875265904,0.9192249671111816,0.937
4,S. Sultanov,Bunyodkor,Bunyodkor,GK,GK,0,33,150000,2023-12-31,18,1723,Uzbekistan,Uzbekistan,,196,0,no,0.9000090000000001,75.0,0.54,2.96,1.08,0.3529411764705882,3.98989898989899,UZB,Testing,2023,0.9194435783275879,0.8694498759951699,0.894
5,D. Méndez,Royal Pari,Royal Pari,GK,GK,0,33,100000,,23,2209,Bolivia,Bolivia,,0,0,no,1.17873,73.91,0.156,2.49,1.02,0.1159420289855072,3.844262295081968,BOL,Testing,2023,0.857492487937202,0.8757639133600853,0.867
6,A. Potapov,Surkhon,Surkhon,GK,GK,0,29,200000,2023-12-31,24,2269,Russia,Russia,right,190,82,no,0.9856649999999999,76.6,0.137,2.7,1.56,0.1346153846153846,4.277777777777778,UZB,Testing,2023,0.8457083924335129,0.8879411112984226,0.867
7,N. Temperini,Deportivo Madryn,Deportivo Madryn,GK,GK,0,28,75000,2023-12-31,34,3340,Argentina,Argentina,right,186,83,no,0.62,79.71,0.282,2.75,1.62,0.2788461538461539,4.96,ARG2,Testing,2023,0.8666504895175918,0.8327530794730934,0.85
8,S. Dostál,Zlín,Zlín,GK,GK,0,32,150000,,18,1745,Czech Republic,Czech Republic,left,185,82,no,0.72,78.85,0.509,2.53,2.53,0.3109756097560976,4.743362831858408,CZH,Testing,2023,0.8598025085241956,0.8338671836374923,0.847
9,G. Merbah,Ittihad Tanger,Ittihad Tanger,GK,GK,0,29,450000,2025-06-30,23,2313,Algeria,Algeria,both,190,73,no,0.8924,75.51,0.214,2.68,1.63,0.1913043478260869,4.096774193548387,MOR,Testing,2023,0.8414160620819852,0.843397304915036,0.842
10,M. Riyandi,Persis Solo,Persis Solo,GK,GK,0,23,0,,12,1176,Indonesia,Indonesia,right,181,0,no,0.766636,80.65,0.065,2.45,2.07,0.06122448979591832,5.152173913043478,INDO,Testing,2023,0.8029539112698484,0.8348813021037276,0.819
11,S. Lammens,Antwerp,Club Brugge II,GK,GK,0,21,600000,,11,1050,Belgium,Belgium,right,193,92,no,0.774,79.1,0.405,2.14,2.31,0.2500000000000001,4.783333333333334,BEL2,Testing,2023,0.8252457747650832,0.8067298752028566,0.816
12,D. Parker,Cartaginés,Cartaginés,GK,GK,0,30,0,,17,1581,Costa Rica,Costa Rica,right,193,82,no,1.26907,68.75,-0.008,2.9,1.93,-0.006666666666666599,3.198675496688742,CRC,Testing,2023,0.8391284248600035,0.7927384744745256,0.816
13,A. Bessak,Difaâ El Jadida,Difaâ El Jadida,GK,GK,0,27,325000,2024-06-30,16,1593,Morocco,Morocco,right,190,0,no,1.019952,72.84,0.147,2.4,2.1,0.09589041095890405,3.674242424242424,MOR,Testing,2023,0.800290014408721,0.8272991945785142,0.814
14,Kbiri Khalid Alaoui,Olympic Safi,Olympic Safi,GK,GK,0,27,300000,2024-06-30,18,1706,Morocco,Morocco,,192,0,no,1.174035,71.93,0.018,2.67,1.34,0.02197802197802201,3.561797752808989,MOR,Testing,2023,0.7919890650403237,0.8256646581325412,0.809
15,D. Mitov,St. Johnstone,St. Johnstone,GK,GK,0,26,250000,,15,1486,Bulgaria,Bulgaria,right,188,82,no,0.849303,73.17,0.32,2.66,1.7,0.1939393939393939,3.736842105263158,SCT,Testing,2023,0.8250468700227992,0.7912483666413692,0.808
16,A. Turaev,Neftchi,Neftchi,GK,GK,0,34,100000,,11,1063,Uzbekistan,Uzbekistan,right,190,84,no,0.906678,75.76,0.21,2.38,0.91,0.1875,4.12087912087912,UZB,Testing,2023,0.7984191685509391,0.8109396511796446,0.805
17,L. Wahlstedt,Blackburn Rovers,Blackburn Rovers,GK,GK,0,24,1400000,2023-12-31,17,1658,Sweden,Sweden,right,190,80,no,0.706875,75.0,0.166,2.71,1.74,0.1416666666666666,4.009708737864077,NOR,Testing,2023,0.8060742526947122,0.7672538142523418,0.787
18,F. Petroli,Estudiantes Río Cuarto,Estudiantes Río Cuarto,GK,GK,0,25,50000,2024-12-31,22,2169,Argentina,Argentina,left,187,85,no,0.668252,82.09,0.09,2.24,1.66,0.1525423728813559,5.56,ARG2,Testing,2023,0.7744560124378382,0.7938742692544416,0.784
