Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Duelos_Aéreos_Ganhos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil,A,B,C,D,E,F,G,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,Similar_StScaled_E,Similar_StScaled_F,Similar_StScaled_G,A1,B1,C1,D1,E1,F1,G1,ID
0,G. Herrera,ARG1,23,G. Herrera,Talleres Córdoba,Talleres Córdoba,GK,GK,0,32,0,2026-12-31,27,2667,Argentina,Argentina,left,187,79,no,0.508313,81.45,0.291,2.06,1.96,0.2710280373831776,5.358974358974359,ARG1,Testing,2024,0.9949112020980977,1.0,1.0,87,90,87,90,80,83,90,0.508313,81.45,0.291,2.06,1.96,0.2710280373831776,5.358974358974359,1.436687282200666,1.414418290529772,1.270147292869262,1.850292676825787,1.12507371007379,1.235037803822508,1.57198596026342,0.924596564876838,0.9213804385749036,0.8979839158970848,0.9678643112137092,0.8697210996588602,0.8915917824951249,0.9420230963594113,DGA
1,M. Roffo,ARG1,27,M. Roffo,Instituto,Instituto,GK,GK,0,24,0,2024-12-31,27,2688,Argentina,"Argentina, Croatia",right,184,81,no,0.6365000000000001,78.38,0.051,2.21,1.04,0.05882352941176461,4.65,ARG1,Testing,2024,1.0,0.9875270635975798,0.9969909729187563,96,74,32,96,3,38,74,0.6365000000000001,78.38,0.051,2.21,1.04,0.05882352941176461,4.65,2.403504268531039,0.7509544001964942,-0.2856472179880494,2.251779421913977,-1.117211559758807,-0.1619691842837465,0.6665326754106174,0.9918806112837176,0.773659950365988,0.3875741673952434,0.9878318926370654,0.1319519395712483,0.4356650603932568,0.7474646573018926,ADB
2,J. Devecchi,ARG1,11,J. Devecchi,Atlético Tucumán,Atlético Tucumán,GK,GK,0,28,0,2024-12-31,20,1971,Argentina,Argentina,right,188,83,yes,0.548544,83.51,0.333,1.6,1.05,0.3113207547169812,6.068493150684931,ARG1,Testing,2024,0.9578126999292671,0.9354129302615212,0.9498495486459377,93,96,90,80,6,93,96,0.548544,83.51,0.333,1.6,1.05,0.3113207547169812,6.068493150684931,1.740119098040472,1.859609044303892,1.542411332269292,0.6190666585553383,-1.092838893782366,1.500297049364533,2.478134557158395,0.959080946277777,0.9685295706022048,0.9385131652489058,0.7320637766291441,0.137232270754448,0.9332312632800258,0.9933964336312953,GBA
3,A. Batalla,ARG1,15,A. Batalla,Granada,Granada,GK,GK,0,28,0,2024-12-31,22,2191,Argentina,Argentina,right,185,87,yes,0.449183,81.4,0.274,1.4,1.36,0.2903225806451613,5.348484848484848,ARG1,Testing,2024,0.8771004838917654,0.8638807471903086,0.872617853560682,83,87,83,48,41,87,87,0.449183,81.4,0.274,1.4,1.36,0.2903225806451613,5.348484848484848,0.9907146921430546,1.403612689710012,1.159945181683536,0.08375099843775133,-0.3372862485126864,1.362059666020369,1.558589478981691,0.839087542561219,0.9197828928513155,0.8769644371530582,0.5333727956741522,0.3679505625448417,0.9134104720401535,0.9404532126137674,GBF
4,E. Bologna,ARG1,5,E. Bologna,Defensa y Justicia,Defensa y Justicia,GK,GK,0,42,0,2024-12-31,14,1316,Argentina,"Argentina, Italy",right,188,89,no,0.27,80.95,0.427,1.3,1.3,0.3440000000000001,5.25609756097561,ARG1,Testing,2024,0.8099462428992046,0.7961265547719502,0.8054162487462387,43,83,96,41,35,96,83,0.27,80.95,0.427,1.3,1.3,0.3440000000000001,5.25609756097561,-0.3607263124957564,1.306362282332169,2.151764182355072,-0.1839068316210415,-0.4835222443713342,1.715434486654819,1.440598790185984,0.3591520263626292,0.9042853069765855,0.9842920339003394,0.4270432726818374,0.3143624846528758,0.9568672014515583,0.9251509687912878,CFG
5,F. Cambeses,ARG1,18,F. Cambeses,Racing Club,Racing Club,GK,GK,0,27,0,2026-12-31,26,2559,Argentina,"Argentina, Italy",right,186,85,no,0.5294399999999999,76.09,0.133,1.37,1.51,0.1538461538461539,4.207792207792208,ARG1,Testing,2024,0.792922365774117,0.7698767726175795,0.7833500501504513,90,58,64,45,59,70,64,0.5294399999999999,76.09,0.133,1.37,1.51,0.1538461538461539,4.207792207792208,1.596032164834643,0.2560578826514791,0.2459159065548654,0.003453649420113886,0.02830374113393258,0.4635937296809322,0.1017753002337635,0.9447591938664008,0.6010469286036709,0.5971263348863567,0.5013778040363626,0.5112900515983688,0.6785305761983704,0.5405324843073507,AFB
6,L. Acosta,ARG1,2,L. Acosta,Lanús,Lanús,GK,GK,0,29,0,,10,988,Argentina,Argentina,right,187,82,no,0.27,81.82,0.076,1.73,2.0,0.08750000000000002,5.493150684931507,ARG1,Testing,2024,0.7226454109465686,0.7808395191625749,0.7542627883650953,43,93,46,83,90,51,93,0.27,81.82,0.076,1.73,2.0,0.08750000000000002,5.493150684931507,-0.3607263124957564,1.494379736595995,-0.1235852897737461,0.9670218376317692,1.222564373979555,0.02681676653773737,1.743346734527718,0.3591520263626292,0.9324618026046322,0.4508218201241133,0.8332334414886504,0.8892528620281386,0.5106970598680955,0.9593634667410612,GBE
7,L. Cháves,ARG1,17,L. Cháves,Panetolikos FC,Panetolikos FC,GK,GK,0,28,0,2025-12-31,25,2486,Argentina,Argentina,right,178,75,yes,0.43,76.14,0.041,1.41,1.7,0.05000000000000004,4.197368421052632,ARG1,Testing,2024,0.7464305092634614,0.7016403583387338,0.7261785356068204,80,64,27,51,74,32,58,0.43,76.14,0.041,1.41,1.7,0.05000000000000004,4.197368421052632,0.8460319220589154,0.2668634834712387,-0.3504719892737707,0.1105167814436307,0.4913843946863167,-0.2200571691518942,0.08846275680467801,0.8012325317450231,0.6052128633697893,0.3629922540402252,0.5440002291377849,0.6884227002952976,0.4129133156091562,0.5352455579917648,AEB
8,G. Marinelli,ARG1,4,G. Marinelli,Independiente Rivadavia,Independiente Rivadavia,GK,GK,0,35,0,2024-12-31,13,1271,Argentina,"Argentina, Italy",right,180,78,no,0.42855,72.34,0.178,1.56,1.98,0.1636363636363637,3.619565217391304,ARG1,Testing,2024,0.7121389981870345,0.6717371776635679,0.6940822467402206,77,25,77,74,83,77,25,0.42855,72.34,0.178,1.56,1.98,0.1636363636363637,3.619565217391304,0.8350956755582636,-0.5543621788305352,0.5376273773406113,0.5120035265318209,1.173819042026673,0.5280456662712322,-0.6494677510214079,0.798168079336391,0.2896655022447495,0.7045828372289048,0.6956757292691906,0.8797662424386432,0.7012661796165971,0.2580180422454378,EAC
9,T. Marchiori,ARG1,26,T. Marchiori,Vélez Sarsfield,Vélez Sarsfield,GK,GK,0,28,0,2027-12-31,27,2682,Argentina,Argentina,right,186,84,no,0.26667,79.28,0.103,1.24,1.58,0.1149425287356322,4.831168831168831,ARG1,Testing,2024,0.6832185284705956,0.6612128717125431,0.6740220661985958,37,80,51,32,67,58,80,0.26667,79.28,0.103,1.24,1.58,0.1149425287356322,4.831168831168831,-0.3858419682524254,0.9454552149521788,0.05144159269770139,-0.3445015296563176,0.1989124029690217,0.2074793018508394,0.8979090449764637,0.3498068556510053,0.8277867376732251,0.5205131787758843,0.3652345729302504,0.5788343663914925,0.5821822221457388,0.8153829789334774,BGF
