Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,M. Rubén,Rosario Central,Rosario Central,CF,CF,12,38,25000,2024-12-31,16,958,Argentina,"Argentina, Spain",right,178,75,no,1.784872,0.564,0.0,0.22,6.25,0.4090909090909091,0.1466666666666667,0.07,0.19,ARG1,Testing,2024,0.08878553893426966,0.1443444799833933,0.1165650094588315
1,G. Verón,Argentinos Juniors,Argentinos Juniors,"CF, LWF, AMF",CF,12,23,1500000,2026-12-31,17,978,Argentina,Argentina,right,184,82,no,3.588,1.104435,0.18,0.27,0.0,0.0,0.08626198083067094,0.1,0.74,ARG1,Testing,2024,0.0,0.0,0.0
2,J. Candia,Barracas Central,Barracas Central,"CF, RWF, RW",CF,12,29,300000,2024-12-31,18,978,Uruguay,Uruguay,right,177,63,no,1.840293,0.552894,0.0,0.3,5.0,0.3,0.1630434782608695,0.07,0.46,ARG1,Testing,2024,0.07981663687311757,0.166150181864062,0.1229834093685898
3,N. Benegas,Deportivo Riestra,Deportivo Riestra,CF,CF,12,28,600000,2026-12-31,16,993,Argentina,Argentina,right,186,86,yes,4.260655,1.17975,0.18,0.25,11.538,1.08,0.1059322033898305,0.11,1.0,ARG1,Testing,2024,0.7336200877555554,0.7499089202095919,0.7417645039825737
4,E. Cabrera,Central Córdoba SdE,Central Córdoba SdE,"CF, RCMF, LCMF",CF,12,21,0,,19,997,Argentina,Argentina,right,172,65,yes,3.432,1.626234,0.18,0.09,0.0,0.0,0.0625,0.15,1.35,ARG1,Testing,2024,0.210503265369421,0.1623213937072489,0.1864123295383349
5,A. Osorio,Defensa y Justicia,Defensa y Justicia,CF,CF,12,22,0,,19,1001,Argentina,Argentina,right,182,82,no,3.865828,1.35,0.0,0.37,15.385,0.9729729729729729,0.1581196581196581,0.08,1.26,ARG1,Testing,2024,0.8014676689266396,0.8186950378387747,0.8100813533827071
6,J. Torres,Lanús,Lanús,"CF, AMF",CF,12,27,650000,2024-12-31,18,1001,Argentina,Argentina,right,187,73,yes,1.977936,0.36,0.09,0.29,21.053,1.241379310344828,0.1695906432748538,0.07,0.72,ARG1,Testing,2024,0.751167451196572,0.7674431454416157,0.7593052983190939
7,R. Martínez,Platense,Platense,"CF, AMF, LAMF",CF,12,28,1300000,2026-12-31,24,1026,Paraguay,Paraguay,right,178,75,no,1.052345,0.261792,0.0,0.17,17.647,1.529411764705882,0.1140939597315436,0.04,0.44,ARG1,Testing,2024,0.4877534825871964,0.5171953902466511,0.5024744364169238
8,F. Monzón,Tigre,Tigre,CF,CF,12,23,425000,2026-12-31,15,1051,Argentina,Argentina,right,184,79,yes,3.59618,1.370581,0.0,0.23,27.273,2.217391304347826,0.1223404255319149,0.06,0.43,ARG1,Testing,2024,0.7917877940222213,0.7646939887869308,0.7782408914045761
9,J. Sosa,Estudiantes,Estudiantes,"CF, AMF",CF,12,39,175000,2024-12-31,20,1148,Argentina,Argentina,right,181,78,no,1.802973,0.55,0.16,0.17,17.647,1.411764705882353,0.1278195488721804,0.13,1.57,ARG1,Testing,2024,0.872609808487774,0.8693524538260078,0.8709811311568909
10,M. Reali,San Lorenzo,San Lorenzo,"CF, LW, LAMF",CF,12,27,0,,18,1169,Argentina,Argentina,right,165,64,no,5.392096,3.619672,0.54,0.09,5.556,0.888888888888889,0.06474820143884892,0.1,1.0,ARG1,Testing,2024,0.5708157519761288,0.5879831918438947,0.5793994719100117
11,I. Russo,Instituto,Instituto,CF,CF,12,23,0,,24,1216,Argentina,Argentina,right,175,70,yes,2.887035,0.59,0.0,0.4,20.833,0.9249999999999999,0.2247191011235955,0.06,0.44,ARG1,Testing,2024,0.7576939803869842,0.7388035332568503,0.7482487568219173
12,E. Ramírez,Huracán,Huracán,CF,CF,12,28,1200000,2026-12-31,24,1247,Argentina,Argentina,right,170,68,no,2.525985,0.939456,0.07,0.22,13.043,1.0,0.1325301204819277,0.1,0.43,ARG1,Testing,2024,0.5014855171071129,0.5142794560651507,0.5078824865861318
13,S. Rodríguez,Argentinos Juniors,Argentinos Juniors,CF,CF,12,27,1300000,2027-12-31,21,1259,Argentina,Argentina,right,171,73,no,4.57683,2.57556,0.29,0.15,15.152,2.4,0.0635593220338983,0.07,0.79,ARG1,Testing,2024,0.7453477470313596,0.7817346229732134,0.7635411850022865
14,G. Carrillo,Estudiantes,Estudiantes,CF,CF,12,33,400000,2026-12-31,18,1261,Argentina,"Argentina, Italy",right,187,87,no,1.570887,0.43,0.0,0.46,20.588,1.08695652173913,0.1893004115226337,0.03,0.36,ARG1,Testing,2024,0.6916441085206502,0.6575540054172015,0.6745990569689259
15,J. Miritello,Defensa y Justicia,Defensa y Justicia,CF,CF,12,25,1000000,2026-12-31,19,1268,Argentina,Argentina,right,182,78,no,2.201256,0.283608,0.0,0.35,20.833,1.0,0.2058823529411765,0.06,0.71,ARG1,Testing,2024,0.7404824843875617,0.7615239583954432,0.7510032213915024
16,B. Sepúlveda,Banfield,Banfield,CF,CF,12,32,600000,2026-12-31,19,1301,Argentina,Argentina,right,187,82,no,1.728777,0.413698,0.07,0.37,21.429,1.135135135135135,0.1907216494845361,0.04,0.62,ARG1,Testing,2024,0.7611374800814128,0.7435672800332906,0.7523523800573517
17,J. Herrera,Argentinos Juniors,Argentinos Juniors,"CF, RWF",CF,12,21,0,,18,1303,Argentina,Argentina,left,172,68,no,5.248114,3.110405,0.21,0.14,6.061,1.0,0.06140350877192984,0.08,0.83,ARG1,Testing,2024,0.4447214469145875,0.4769321770554173,0.4608268119850024
18,I. Morales,Sarmiento,Sarmiento,CF,CF,12,25,400000,2025-12-31,21,1320,Chile,Chile,right,180,82,no,3.135594,1.704068,0.41,0.17,12.5,1.176470588235294,0.1036585365853659,0.03,0.55,ARG1,Testing,2024,0.4626690375296978,0.4776308942449165,0.4701499658873072
19,F. Suárez,Instituto,Instituto,CF,CF,12,30,800000,2024-12-31,24,1349,Argentina,Argentina,right,183,72,no,4.067595000000001,1.002,0.0,0.21,7.407,0.6190476190476191,0.1166666666666667,0.01,0.2,ARG1,Testing,2024,0.1042349675540635,0.1476149502853829,0.1259249589197232
