Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
1168,D. Tadić,Fenerbahçe,Fenerbahçe,"CF, LWF, LW",CF,12,34,7000000,2024-06-30,20,1927,Serbia,Serbia,left,181,76,no,4.85586,2.006648,0.19,0.23,38.095,1.608695652173913,0.2346938775510204,0.58,4.02,HOL,Testing,2023,1.0,1.0,1.0
292,Lucas Ribeiro,Mamelodi Sundowns,SK Beveren,"CF, AMF, RWF",CF,12,24,0,,31,1731,Brazil,Brazil,left,181,70,no,6.343973999999999,4.004208,1.77,0.5,21.569,1.14,0.1886792452830189,0.48,2.29,BEL2,Testing,2023,0.9247983487980791,0.966109361842711,0.9454538553203952
2320,R. Hebaj,Andijan,Andijan,CF,CF,12,25,450000,2024-12-31,24,1980,Albania,Albania,right,187,85,no,3.88446,0.622826,0.0,0.51,54.545,1.07843137254902,0.2982456140350878,0.11,0.47,UZB,Testing,2023,0.8864951556655338,0.8472701204258875,0.8668826380457108
1917,N. Jackson,Chelsea,Chelsea,CF,CF,12,22,15000000,2026-06-30,13,905,Senegal,Senegal,right,187,78,no,4.873664,2.58742,0.8,0.52,41.667,1.903846153846154,0.2175732217573222,0.17,0.7,SPA1,Testing,2023,0.840384742705214,0.8711476190847082,0.8557661808949613
1785,A. Chițu,U Craiova 1948,U Craiova 1948,CF,CF,12,32,300000,,38,3299,Romania,Romania,left,183,71,no,2.890752,1.19994,0.33,0.34,43.75,1.676470588235294,0.2595419847328244,0.13,0.93,ROM,Testing,2023,0.8571734348154917,0.8342720411327227,0.8457227379741072
229,M. Sarkaria,Sturm Graz,Sturm Graz,"CF, RAMF",CF,12,27,1500000,2025-06-30,27,2126,Austria,Austria,left,180,74,no,3.980108,2.241526,0.25,0.42,24.444,1.119047619047619,0.2210526315789474,0.37,2.62,AUT,Testing,2023,0.826958696921384,0.8425051383113272,0.8347319176163557
1053,H. Kane,Bayern München,Bayern München,CF,CF,12,30,90000000,2024-06-30,12,1129,England,England,right,188,89,no,2.31127,0.715287,0.24,0.83,36.735,1.72289156626506,0.2122762148337596,0.2,0.96,GER1,Testing,2023,0.8357387104042495,0.8235744684849787,0.8296565894446142
468,Diego Raposo,Krumovgrad,Krumovgrad,"CF, AMF, LAMF",CF,12,26,200000,,12,905,Brazil,Brazil,left,170,66,no,2.983585,1.291234,0.8,0.11,40.0,1.818181818181818,0.22,0.15,1.39,BUL,Testing,2023,0.8197223816935438,0.8342038388244883,0.8269631102590163
536,G. Lezcano,Cobresal,Cobresal,"CF, RW, RAMF",CF,12,37,400000,,28,1674,Argentina,Argentina,right,168,67,no,3.318248000000001,1.55,0.17,0.23,31.25,2.347826086956522,0.1299435028248588,0.33,1.82,CHI,Testing,2023,0.7856038416010097,0.8504879379329064,0.8180458897669582
1624,I. Shkurin,Stal Mielec,Stal Mielec,CF,CF,12,24,600000,2024-06-30,16,1272,Belarus,Belarus,right,188,80,yes,2.61664,0.8486279999999999,0.35,0.28,44.444,2.035714285714285,0.2204724409448819,0.06,0.85,POL,Testing,2023,0.8351244093836411,0.7928321602436875,0.8139782848136644
