Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,A. Moris,Union Saint-Gilloise,Union Saint-Gilloise,GK,GK,0,34.0,2000000,2026-06-30,17,1682,Belgium,"Belgium, Luxembourg",right,184,75,no,0.11,10.516259,6.143111999999999,4.71549,71.74,0.011,1.02,1.08,0.01333333333333331,3.540540540540541,BEL1,Testing,2025,0.2771740797552809,0.3268960357753671,0.302486144308677
1,C. Coosemans,Anderlecht,Anderlecht,GK,GK,0,32.0,300000,2027-06-30,17,1684,Belgium,Belgium,right,186,84,no,0.37625,22.986176,6.199092,5.078673,84.15,0.361,0.96,1.18,0.3490566037735849,6.347826086956522,BEL1,Testing,2025,0.897533297212195,0.9142107395130761,0.9072249297779749
2,D. Matijaš,Beerschot-Wilrijk,Beerschot-Wilrijk,GK,GK,0,25.0,800000,2026-06-30,7,697,Croatia,Croatia,right,188,75,no,0.65,20.53298,4.90924,4.392387,45.45,-0.414,1.29,3.36,-0.2146596858638743,1.836206896551724,BEL1,Testing,2025,0.07414603869935471,0.07954400082961073,0.07695978708519019
3,D. Roef,Gent,Gent,GK,GK,0,30.0,1500000,2025-06-30,16,1583,Belgium,Belgium,right,187,87,no,0.626188,13.13288,4.948992,3.12417,80.58,0.399,1.65,1.54,0.2597402597402598,5.140350877192983,BEL1,Testing,2025,0.9970174730192425,1.0,1.0
4,H. Van Crombrugge,Genk,Genk,GK,GK,0,31.0,1500000,2027-06-30,15,1491,Belgium,Belgium,left,187,88,no,0.24,18.827811,7.00416,5.791309999999999,66.1,-0.211,0.91,0.97,-0.21,2.942148760330578,BEL1,Testing,2025,0.1788043664353501,0.1729438858378467,0.1761367925045729
5,K. Van Langendonck,Westerlo,Westerlo,GK,GK,0,35.0,100000,2026-06-30,6,594,Belgium,Belgium,right,189,81,no,0.456,12.575253,5.756266,4.396032,73.91,0.342,1.21,1.36,0.272,3.824175824175824,BEL1,Testing,2025,0.8565876441464055,0.7890042998646267,0.8240248101200144
6,L. Kokubo,Sint-Truiden,Sint-Truiden,GK,GK,0,23.0,750000,2025-06-30,14,1384,Japan,"Japan, Nigeria",right,193,85,no,0.458208,12.939431,6.305052000000001,5.073684,58.62,-0.291,1.3,1.11,-0.2283464566929134,2.416666666666667,BEL1,Testing,2025,0.2439601896791662,0.2125587909829194,0.2286003937521315
7,M. Delanghe,Cercle Brugge,Cercle Brugge,GK,GK,0,23.0,300000,2025-06-30,8,790,Belgium,Belgium,right,190,80,no,0.13,2.73875,5.342604,5.078125,56.67,-0.126,1.17,2.21,-0.07643312101910826,2.313609467455621,BEL1,Testing,2025,0.0,0.0,0.0
8,M. Epolo,Standard Liège,Standard Liège,GK,GK,0,19.0,800000,2025-06-30,15,1495,Belgium,"Belgium, Congo DR",right,188,79,no,0.599976,6.1386,5.839701,5.415108,73.61,0.046,1.69,1.32,0.04201680672268915,3.798245614035088,BEL1,Testing,2025,0.7379478980181127,0.7945924924629504,0.7674146126343362
9,M. Koné,Charleroi,Charleroi,GK,GK,0,22.0,0,,12,1185,Côte d'Ivoire,"Côte d'Ivoire, France",right,186,78,no,0.53,16.180776,6.151786,5.472,72.92,0.033,1.59,2.2,0.02941176470588236,3.686868686868687,BEL1,Testing,2025,0.7507728990475211,0.7665457493087018,0.7597923748069292
