Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,C. Fiermarín,Defensa y Justicia,Defensa y Justicia,GK,GK,0,26,1500000,2027-12-31,10,982,Uruguay,Uruguay,right,189,72,no,0.09,14.115151,5.772888,4.032067,63.83,-0.333,1.1,1.37,-0.2682926829268293,2.762820512820512,ARG1,Testing,2024,0.09098391520638253,0.08636905669790061,0.08867648595214157
1,A. Aguerre,Lanús,Lanús,GK,GK,0,34,200000,2024-12-31,10,993,Argentina,Argentina,right,184,76,no,0.63,6.439233000000001,5.075724,4.623633000000001,68.18,0.067,1.0,1.99,0.05223880597014929,3.141732283464567,ARG1,Testing,2024,0.5189863785388797,0.4729061175893268,0.4959462480641033
2,L. Brey,Boca Juniors,Boca Juniors,GK,GK,0,22,0,,11,1022,Argentina,Argentina,right,191,89,no,0.09,9.68207,2.46806,1.846624,80.95,0.307,0.79,1.5,0.306930693069307,5.285714285714286,ARG1,Testing,2024,0.7865833658596568,0.8170507014534767,0.8018170336565668
3,L. Hoyos,Newell's Old Boys,Newell's Old Boys,GK,GK,0,35,325000,2025-12-31,11,1072,Argentina,Argentina,right,182,75,no,0.5056889999999999,10.496418,6.714420000000001,5.539185,72.97,-0.105,1.6,1.09,-0.1506849315068493,3.702380952380953,ARG1,Testing,2024,0.5287692574473949,0.4990500165937973,0.5139096370205961
4,R. Macagno,Newell's Old Boys,Newell's Old Boys,GK,GK,0,27,2300000,2026-12-31,14,1293,Argentina,Argentina,right,185,77,no,0.140007,10.650809,6.331292000000001,5.845422,61.02,-0.466,1.04,1.32,-0.4159292035398232,2.56875,ARG1,Testing,2024,0.0,0.0,0.0
5,J. Espínola,Belgrano,Belgrano,GK,GK,0,30,0,,15,1442,Paraguay,Paraguay,right,185,89,yes,0.9375,9.425640000000001,4.495872,3.810686,76.19,0.031,3.56,1.87,0.03092783505154639,4.180851063829787,ARG1,Testing,2024,0.8526067271853742,0.8983413443269115,0.8754740357561428
6,E. Bologna,Defensa y Justicia,Defensa y Justicia,GK,GK,0,42,25000,2024-12-31,16,1570,Argentina,"Argentina, Italy",right,188,89,no,0.11,9.51258,6.19251,5.215254,72.41,0.122,0.97,1.43,0.1153846153846154,3.608695652173913,ARG1,Testing,2024,0.4962898949850131,0.4636410177634431,0.4799654563742281
7,S. Romero,Boca Juniors,Boca Juniors,GK,GK,0,37,400000,2025-12-31,16,1593,Argentina,"Argentina, Italy",right,192,88,no,0.06,9.774,2.371486,1.75316,75.41,0.184,1.07,1.3,0.1747572815533981,4.058823529411765,ARG1,Testing,2024,0.5572227100637253,0.5244802102764964,0.5408514601701109
8,G. Gómez,San Lorenzo,San Lorenzo,GK,GK,0,28,1000000,2025-12-31,16,1611,Argentina,Argentina,right,190,88,yes,0.22,6.366599,4.299975,3.969456,74.0,0.08,1.06,1.23,0.09876543209876554,3.821917808219178,ARG1,Testing,2024,0.49226092949756,0.4565608019565553,0.4744108657270577
9,M. Ledesma,Gimnasia La Plata,Gimnasia La Plata,GK,GK,0,28,700000,2024-12-31,17,1692,Argentina,Argentina,right,191,81,yes,0.5866880000000001,7.973848,4.630244000000001,4.205019,80.0,0.204,2.39,1.7,0.2837837837837838,5.018867924528302,ARG1,Testing,2024,1.0,1.0,1.0
