Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,J. Carranza,Aldosivi,Aldosivi,GK,GK,0,43,25000,,12,1175,Argentina,Argentina,right,185,84,no,0.33,6.436543999999999,4.683812000000001,3.265269,64.15,0.04420159999999999,1.76,1.76,-0.6224489795918369,2.786163522012578,ARG1,Testing,2025,0.2666926974232531,0.3281146521727461,0.2987304109328843
1,E. Bologna,Defensa y Justicia,Defensa y Justicia,GK,GK,0,43,25000,,16,1589,Argentina,"Argentina, Italy",right,188,89,no,0.42,9.639952,5.961729,5.244495000000001,75.0,0.0012848,1.39,1.87,0.07692307692307676,4.018518518518518,ARG1,Testing,2025,0.5021260102439744,0.5746649897344427,0.5407973155188257
2,J. Broun,Rosario Central,Rosario Central,GK,GK,0,38,150000,2025-12-31,16,1590,Argentina,Argentina,right,190,90,no,0.1725,8.433974000000001,3.222946,2.720102000000001,82.69,0.0020928,1.19,0.91,0.1774193548387096,5.764705882352941,ARG1,Testing,2025,0.5781357869476998,0.5538566933829601,0.5685211842990779
3,F. Armani,River Plate,River Plate,GK,GK,0,38,1000000,2026-12-31,18,1788,Argentina,Argentina,right,189,88,no,0.2,9.10962,3.071882,2.214264,82.14,0.0207043,0.96,0.91,0.3975903614457831,5.64,ARG1,Testing,2025,0.5771537036993378,0.5332191614153347,0.5576631534726776
4,K. Navas,Newell's Old Boys,Newell's Old Boys,GK,GK,0,38,1500000,,14,1380,Costa Rica,"Costa Rica, Spain",right,185,80,no,0.46,6.714912000000001,4.044788,4.1076,84.72,0.0151034,1.3,1.17,0.3009708737864079,6.527777777777779,ARG1,Testing,2025,0.6763181211918381,0.6897603488606444,0.686086315178391
5,H. Galíndez,Huracán,Huracán,GK,GK,0,38,350000,2026-12-31,20,1988,Argentina,"Argentina, Ecuador",right,189,93,no,0.09333800000000002,7.87865,3.804416,3.483816,75.41,0.005301,1.09,0.91,0.180722891566265,4.058823529411764,ARG1,Testing,2025,0.3683805233037244,0.4307369903266891,0.4013412130711237
6,G. Arias,Racing Club,Racing Club,GK,GK,0,37,800000,2025-12-31,13,1204,Argentina,"Argentina, Chile",right,189,85,no,0.296,8.820863999999998,3.96268,3.738327,78.72,0.004013599999999999,0.67,2.02,0.1847826086956522,4.68,ARG1,Testing,2025,0.5095655550182386,0.562881769892146,0.5386157892836277
7,A. Marchesín,Boca Juniors,Boca Juniors,GK,GK,0,37,800000,2025-12-31,16,1571,Argentina,"Argentina, Italy",right,188,85,no,0.29,8.598108,2.918196,2.402865,80.0,0.009459799999999999,1.2,0.63,0.2674418604651163,5.0,ARG1,Testing,2025,0.5087714853812649,0.5170518615309811,0.5151998040639262
8,D. Rodríguez,Argentinos Juniors,Argentinos Juniors,GK,GK,0,35,300000,2026-12-31,18,1757,Argentina,"Argentina, Spain",left,184,77,no,0.27,12.781724,6.447528,5.039666,77.78,0.0001248,0.81,0.76,-0.03846153846153855,4.518518518518518,ARG1,Testing,2025,0.4114419550704064,0.4683485721843139,0.441857663527817
9,A. Aguerre,Central Córdoba SdE,Central Córdoba SdE,GK,GK,0,34,200000,,14,1376,Argentina,Argentina,right,184,76,no,0.33,4.77,3.01104,2.420943,61.22,0.003768,0.65,1.18,-0.1376146788990824,2.580645161290323,ARG1,Testing,2025,0.1867199948123081,0.2231496249885539,0.205849036726227
10,R. Rey,Independiente,Independiente,GK,GK,0,34,1800000,2026-12-31,19,1852,Argentina,"Argentina, Italy",right,190,78,no,0.208,9.878836,5.578091999999999,4.301154,78.57,0.00305,1.13,0.92,0.1756756756756757,4.704918032786885,ARG1,Testing,2025,0.4558283194842783,0.510662070576832,0.4854009816484978
11,I. Arce,Deportivo Riestra,Deportivo Riestra,GK,GK,0,33,400000,2026-12-31,17,1684,Argentina,Argentina,right,185,66,no,0.80625,2.832614,9.085904000000001,9.142752,84.13,0.0117,3.42,3.26,0.3205128205128205,6.358490566037736,ARG1,Testing,2025,0.9315097042709538,0.9408357396177359,0.9403490461929965
12,G. Herrera,Talleres Córdoba,Talleres Córdoba,GK,GK,0,33,2500000,2026-12-31,15,1427,Argentina,Argentina,left,187,79,no,0.38,11.86,5.174596,4.600496,67.44,0.0001716,1.89,1.07,-0.03529411764705892,3.079545454545455,ARG1,Testing,2025,0.3470423822618564,0.425830948729968,0.3881605832931824
13,N. Losada,Lanús,Lanús,GK,GK,0,32,3000000,2027-12-31,16,1567,Argentina,Argentina,right,188,79,no,0.4025,12.92498,3.73032,3.10309,83.05,0.0112268,2.41,1.38,0.3132530120481928,5.947368421052633,ARG1,Testing,2025,0.7474603665240858,0.7439534669461447,0.7490335612802372
14,J. Espínola,Belgrano,Belgrano,GK,GK,0,30,0,,11,1085,Paraguay,Paraguay,right,185,89,yes,0.82,10.153904,6.491008000000001,6.584000000000001,55.26,0.03665069999999999,3.02,1.65,-0.5816326530612246,2.245161290322581,ARG1,Testing,2025,0.3128852470103384,0.360322112979138,0.3381052897703656
15,L. Acosta,Sarmiento,Sarmiento,GK,GK,0,30,750000,2025-12-31,16,1582,Argentina,Argentina,right,187,82,yes,0.34,8.135404,4.43573,3.581504000000001,77.91,0.0132068,1.19,1.31,0.2058823529411765,4.527777777777777,ARG1,Testing,2025,0.4960775950473695,0.5390088259777966,0.5198520026928334
16,N. Insfrán,Gimnasia La Plata,Gimnasia La Plata,GK,GK,0,29,800000,2026-12-31,13,1275,Argentina,Argentina,right,179,83,no,0.14,7.837423999999999,6.138545000000001,5.64696,78.43,0.0189954,1.34,1.27,0.3157894736842104,4.615384615384615,ARG1,Testing,2025,0.4949911737936974,0.5412485314198938,0.5204312172229911
17,T. Marchiori,Vélez Sarsfield,Vélez Sarsfield,GK,GK,0,29,3000000,2027-12-31,15,1473,Argentina,Argentina,right,186,84,no,0.368553,9.47,3.176204,2.624556,66.67,0.0009906,1.16,0.86,-0.07843137254901977,3.0,ARG1,Testing,2025,0.2956207133152293,0.3418284735122918,0.3201464434815033
18,M. Mansilla,Estudiantes,Estudiantes,GK,GK,0,29,0,,17,1679,Argentina,Argentina,right,192,91,no,0.38,7.662774,3.057936,2.682706,65.57,0.0188574,1.13,1.5,-0.3950617283950615,2.893805309734514,ARG1,Testing,2025,0.2465004248424383,0.3055950409902178,0.2772791988774055
19,T. Cardozo,Unión Santa Fe,Unión Santa Fe,GK,GK,0,28,800000,,14,1372,Uruguay,Uruguay,right,182,83,no,0.524451,8.858746000000002,2.95,2.884392,71.93,0.000531,0.98,1.05,0.05405405405405406,3.561904761904762,ARG1,Testing,2025,0.4262579108544999,0.4597011008157359,0.4449556647302763
