Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ganhos,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Interceptações_Ajustadas_a_Posse,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,M. Casco,River Plate,River Plate,LB,LB,1,37.0,200000,2025-12-31,7,513,Argentina,Argentina,right,170,69,no,7.191535,6.84,4.031940000000001,1.227164,4.62,ARG1,Testing,2025,0.3722624794311654,0.389492891142258,0.3744074731828957
1,D. Martínez,Atlético Tucumán,Atlético Tucumán,RB,RB,1,35.0,250000,,14,1026,Argentina,Argentina,right,177,72,no,7.894074,7.46,4.471263,1.492152,4.34,ARG1,Testing,2025,0.4382985847727389,0.4515549386106099,0.4391259021528447
2,L. Advíncula,Boca Juniors,Boca Juniors,RB,RB,1,35.0,1000000,2026-12-31,13,823,Peru,Peru,right,180,80,no,7.546547999999999,6.67,3.934868,0.5454,4.07,ARG1,Testing,2025,0.3330579455979497,0.3485477846188916,0.3339138462835194
3,L. Jara,Godoy Cruz,Godoy Cruz,"RB, RCB",RB,1,33.0,200000,,7,553,Argentina,Argentina,right,185,80,no,7.16361,9.44,3.744595,1.14,6.86,ARG1,Testing,2025,0.5653585742533909,0.5722592892123131,0.564302717689749
4,G. Compagnucci,Belgrano,Belgrano,RB,RB,1,33.0,250000,2025-12-31,11,859,Argentina,Argentina,right,179,74,no,6.184116,5.34,2.304720000000001,1.046719,3.97,ARG1,Testing,2025,0.2154319595924404,0.2196527113397548,0.2093651676731142
5,M. Acuña,River Plate,River Plate,LB,LB,1,33.0,4000000,2027-12-31,15,1308,Argentina,Argentina,left,172,69,no,9.771429000000001,6.88,3.71394,1.720602,5.89,ARG1,Testing,2025,0.4720020463152591,0.5116297814505921,0.4865050750602544
6,J. Franco,Instituto,Instituto,RB,RB,1,33.0,300000,2025-12-31,17,1680,Paraguay,Paraguay,right,176,71,no,7.555302,7.39,3.427272,1.0179,5.29,ARG1,Testing,2025,0.4030493537284472,0.4160818453372305,0.4033951939221461
7,M. Orihuela,Atlético Tucumán,Atlético Tucumán,LB,LB,1,33.0,350000,2025-12-31,6,534,Argentina,Argentina,left,177,72,no,8.428452,9.1,4.380219,1.348956,5.74,ARG1,Testing,2025,0.5603795434189512,0.5701438650507085,0.5607184194647522
8,J. Bay,Platense,Platense,LB,LB,1,32.0,200000,,6,537,Argentina,Argentina,left,179,79,no,9.3856,8.88,4.691194,2.346784,4.81,ARG1,Testing,2025,0.5716591286446062,0.57770997685316,0.5702397425888448
9,B. Pittón,Unión Santa Fe,Unión Santa Fe,LB,LB,1,32.0,500000,2025-12-31,10,667,Argentina,Argentina,left,178,69,no,7.287868,7.56,3.507266,0.943022,5.45,ARG1,Testing,2025,0.4191805645055376,0.4269943722885701,0.4170583747008444
10,F. Grillo,Belgrano,Belgrano,"LB, LCB",LB,1,32.0,0,2026-12-31,10,909,Argentina,"Argentina, Spain",left,183,77,no,9.309363,12.38,5.146739000000001,2.277,8.93,ARG1,Testing,2025,0.8657252722774789,0.8847573401625644,0.8739375005076958
11,S. Prieto,Argentinos Juniors,Argentinos Juniors,LB,LB,1,32.0,550000,2025-12-31,15,1073,Argentina,Argentina,left,175,73,no,9.478692,8.72,4.35918,1.843776,6.47,ARG1,Testing,2025,0.619906717148062,0.625967641098371,0.6189966388300343
12,L. Diarte,San Martín San Juan,San Martín San Juan,"LB, LWB",LB,1,31.0,275000,2026-12-31,8,648,Argentina,Argentina,left,175,66,yes,8.471991000000001,9.44,4.165268999999999,1.946764,7.82,ARG1,Testing,2025,0.6504917502196988,0.6686911936914444,0.6560339917516556
13,N. Sansotre,Deportivo Riestra,Deportivo Riestra,"RB, RCB",RB,1,31.0,175000,,14,1374,Argentina,Argentina,right,182,80,no,5.044592,6.68,2.819637,1.246158,4.16,ARG1,Testing,2025,0.2391662346308835,0.2558765204396749,0.2396575093217927
14,L. Rodríguez,Instituto,Instituto,LB,LB,1,31.0,0,,12,982,Argentina,Argentina,left,171,68,no,5.132528,6.78,2.932419,0.6424080000000001,4.94,ARG1,Testing,2025,0.2810666067671135,0.2884061824948927,0.2772614464230377
15,A. Soto,Defensa y Justicia,Defensa y Justicia,LB,LB,1,31.0,1700000,2025-12-31,14,1325,Argentina,Argentina,left,176,75,no,11.19375,12.37,6.222,0.5127320000000001,8.73,ARG1,Testing,2025,0.9012295136531452,0.9108598913418602,0.905062811377329
16,E. Gómez,Vélez Sarsfield,Vélez Sarsfield,LB,LB,1,30.0,1000000,2025-12-31,15,1287,Argentina,Argentina,left,174,72,no,10.63962,8.44,4.18233,1.824784,6.3,ARG1,Testing,2025,0.6116796477135841,0.6237172720900999,0.6137031717442893
17,A. Spörle,Independiente,Independiente,LB,LB,1,29.0,300000,2025-12-31,10,779,Argentina,"Argentina, Germany",left,182,76,no,8.318171999999999,9.01,5.19716,1.15443,5.82,ARG1,Testing,2025,0.5782687928630907,0.5949768100210034,0.5823027533837085
18,G. Benavídez,Talleres Córdoba,Talleres Córdoba,"RB, RWB",RB,1,29.0,3000000,2027-12-31,11,973,Argentina,Argentina,right,175,72,no,6.01287,7.77,3.696092999999999,0.741136,6.56,ARG1,Testing,2025,0.4362880281832602,0.4589332644431616,0.4418378350329414
19,J. Infante,Atlético Tucumán,Atlético Tucumán,"LB, LWB",LB,1,29.0,300000,,10,884,Argentina,Argentina,left,177,76,no,7.736324999999999,9.88,4.986366,0.715,6.06,ARG1,Testing,2025,0.5900977256218318,0.6020872673420011,0.5918714126088614
20,T. Guidara,Huracán,Huracán,RB,RB,1,29.0,800000,,16,1366,Argentina,Argentina,right,173,70,no,11.7264,11.53,6.9849,1.711772,6.74,ARG1,Testing,2025,0.8547234946299698,0.8857695312245373,0.8688905085277686
21,L. Gómez,Independiente Rivadavia,Independiente Rivadavia,"LB, RB",LB,1,29.0,150000,2025-12-31,12,1129,Argentina,Argentina,right,164,66,yes,8.163831,8.68,4.209552,0.343299,5.31,ARG1,Testing,2025,0.4998908447091992,0.5136353250036941,0.5016084532391247
22,L. Álvarez,San Martín San Juan,San Martín San Juan,LB,LB,1,29.0,100000,,11,878,Argentina,Argentina,left,166,69,no,8.713875,9.33,5.231348,0.7175,5.74,ARG1,Testing,2025,0.5901033441838551,0.6118168262853398,0.5967898706823785
23,A. Méndez,Lanús,Lanús,RB,RB,1,29.0,1200000,2028-12-31,9,517,Uruguay,Uruguay,right,176,73,yes,10.96911,10.62,5.916174,0.52,5.61,ARG1,Testing,2025,0.7492942244905745,0.7430155918726382,0.7435020695638637
24,F. Bustos,River Plate,River Plate,RB,RB,1,29.0,7000000,2027-12-31,9,702,Argentina,Argentina,right,167,66,no,7.43745,10.13,4.099802,1.025,8.57,ARG1,Testing,2025,0.6909724974021997,0.6965006241570333,0.6905359179271331
25,L. Blondel,Boca Juniors,Boca Juniors,RB,RB,1,28.0,2500000,2027-12-31,11,789,Argentina,"Argentina, Switzerland",right,178,75,no,8.670113,10.04,4.56294,1.940742,6.91,ARG1,Testing,2025,0.6636374448479215,0.6827863992552426,0.6697967839971513
26,N. Banegas,Tigre,Tigre,LB,LB,1,28.0,500000,2026-12-31,14,1301,Argentina,Argentina,left,177,73,yes,10.379082,10.38,5.877385,1.731832,5.21,ARG1,Testing,2025,0.7146836915900888,0.7126061197025532,0.710652317342773
27,B. Cufré,Central Córdoba SdE,Central Córdoba SdE,LB,LB,1,28.0,1500000,,11,831,Argentina,Argentina,left,178,82,no,4.65899,4.98,2.380671,0.216,3.91,ARG1,Testing,2025,0.1402734580426122,0.1460715788440383,0.134218139946053
28,G. Montiel,River Plate,River Plate,RB,RB,1,28.0,10000000,2026-06-30,13,1073,Argentina,"Argentina, Spain",right,175,70,no,5.620069000000001,7.13,2.518697,1.50879,7.58,ARG1,Testing,2025,0.4129235283872433,0.4189507714355614,0.4098333309531363
29,H. De La Fuente,Huracán,Huracán,RB,RB,1,28.0,600000,,10,624,Argentina,Argentina,right,178,73,no,6.2006,8.22,3.60468,0.43125,7.26,ARG1,Testing,2025,0.4864327374932446,0.5084834060550584,0.4922061970001212
30,P. Silva,Gimnasia La Plata,Gimnasia La Plata,LB,LB,1,28.0,500000,2025-06-30,15,1368,Argentina,"Argentina, Italy",left,174,63,no,8.353608000000001,10.86,4.607536,1.117984,7.44,ARG1,Testing,2025,0.7155016543929784,0.7130099176216204,0.7112695817823279
31,E. Coronel,Rosario Central,Rosario Central,RB,RB,1,28.0,2500000,2026-12-31,18,1447,Argentina,Argentina,right,173,72,no,9.64,8.65,4.53813,1.495422,5.94,ARG1,Testing,2025,0.5961580212074454,0.6013435465095646,0.5945574807369277
32,Á. Angulo,Independiente,Independiente,LB,LB,1,27.0,900000,,17,1158,Colombia,Colombia,left,175,72,no,8.034113999999999,6.85,3.387378,1.860093,6.03,ARG1,Testing,2025,0.4403890133110537,0.4615808944600486,0.4452474062118063
33,G. Rojas,Racing Club,Racing Club,"LB, LWB",LB,1,27.0,2700000,2026-12-31,11,1075,Argentina,Argentina,left,173,73,no,7.283639999999999,7.53,2.93,1.005,5.63,ARG1,Testing,2025,0.4053764639732004,0.4131383340016943,0.4030837724899414
34,J. Pintado,Gimnasia La Plata,Gimnasia La Plata,RB,RB,1,27.0,1200000,2026-12-31,15,1377,Uruguay,Uruguay,right,173,64,no,8.695072,8.04,4.37844,0.9167479999999999,4.73,ARG1,Testing,2025,0.4820280572974603,0.4881805899131397,0.4797233445023997
35,A. Molina,San Martín San Juan,San Martín San Juan,RB,RB,1,27.0,300000,,13,1099,Argentina,Argentina,right,168,66,no,9.256092,9.75,6.3054,0.8989410000000001,5.19,ARG1,Testing,2025,0.6110530819303746,0.6344981062926051,0.6188333651547369
36,L. Arce,Godoy Cruz,Godoy Cruz,RB,RB,1,27.0,0,2026-12-31,14,944,Argentina,Argentina,right,172,71,no,6.768584,7.63,3.72019,1.047477,5.45,ARG1,Testing,2025,0.4107746852406708,0.4286600049790693,0.4136530315355107
37,S. Moyano,Central Córdoba SdE,Central Córdoba SdE,RB,RB,1,27.0,300000,,9,840,Argentina,Argentina,right,174,73,yes,8.9992,9.11,5.0355,0.642825,5.74,ARG1,Testing,2025,0.58970753798789,0.6018076048564269,0.5915329873745433
38,R. Insúa,Barracas Central,Barracas Central,"LB, LWB",LB,1,27.0,800000,,17,1689,Argentina,"Argentina, Spain",left,180,76,no,6.499607999999999,6.71,2.76948,1.17025,4.29,ARG1,Testing,2025,0.289823546970315,0.3009610413849078,0.2880287067275851
39,B. Riveros,Talleres Córdoba,Talleres Córdoba,"LB, LWB",LB,1,27.0,1000000,2027-12-31,12,800,Paraguay,Paraguay,left,178,68,no,8.101519999999999,7.43,3.48732,1.127868,5.96,ARG1,Testing,2025,0.469959370697972,0.4782174883365006,0.4685923274902076
40,F. Vera,Independiente,Independiente,RB,RB,1,27.0,1000000,2027-12-31,18,1558,Argentina,Argentina,right,178,75,no,9.345379,7.99,4.60879,0.616716,5.62,ARG1,Testing,2025,0.5251014112607265,0.5407123183294553,0.5280254518897723
41,J. Saborido,Platense,Platense,RB,RB,1,27.0,400000,2027-12-31,17,1529,Argentina,Argentina,right,180,75,no,10.418016,12.48,6.178241999999999,0.884128,7.59,ARG1,Testing,2025,0.858557011322884,0.8740427424163021,0.8649026276760137
42,A. Montero,Newell's Old Boys,Newell's Old Boys,"RB, RWB",RB,1,26.0,450000,,14,1192,Argentina,Argentina,right,178,72,no,9.435886,10.49,6.191559,1.134,4.71,ARG1,Testing,2025,0.6560722907808525,0.6555840304637123,0.6522313514813204
43,S. Arzamendia,Estudiantes,Estudiantes,LB,LB,1,27.0,1200000,2027-12-31,13,1005,Argentina,"Argentina, Paraguay",left,172,68,no,10.479051,11.55,6.807007000000001,1.698752,6.78,ARG1,Testing,2025,0.8167298808748393,0.8386079449159947,0.8258679461734143
44,S. Marcich,Lanús,Lanús,LB,LB,1,26.0,650000,2025-12-31,17,1587,Argentina,Argentina,left,175,74,no,9.30221,9.24,5.047391999999999,1.531495,5.58,ARG1,Testing,2025,0.6004289914377118,0.6184112677057748,0.6053383277288843
45,Á. Martino,Newell's Old Boys,Newell's Old Boys,LB,LB,1,26.0,1300000,2025-12-31,6,548,Argentina,"Argentina, Italy",left,178,71,no,7.390300999999999,7.55,2.465888,1.642056,4.76,ARG1,Testing,2025,0.3889634599151429,0.3858124581229774,0.3809857833127397
46,G. Cerato,Aldosivi,Aldosivi,"RB, RCMF, RW",RB,1,26.0,0,2025-12-31,14,1019,Argentina,"Argentina, Italy",right,170,66,yes,9.195229999999999,11.15,5.771896000000001,0.686875,6.32,ARG1,Testing,2025,0.7149996179574489,0.7236109859248672,0.7163718682888782
47,I. Guerrico,Aldosivi,Aldosivi,LB,LB,1,26.0,200000,,16,1544,Argentina,"Argentina, Italy",left,175,71,no,10.02708,12.46,5.730004,1.745401,7.58,ARG1,Testing,2025,0.8708123390395116,0.8860195856321891,0.8771453337485255
48,F. Máter,Barracas Central,Barracas Central,"RB, RWB",RB,1,26.0,2000000,2025-12-31,15,1175,Argentina,Argentina,right,166,64,yes,9.112373999999999,11.41,4.521165,0.6899309999999998,6.23,ARG1,Testing,2025,0.6862118414856929,0.6916254181847868,0.6856676366168097
49,T. Ostchega,Belgrano,Belgrano,LB,LB,1,26.0,275000,,9,619,Argentina,Argentina,left,176,69,no,9.015141,8.58,3.92625,1.31,6.8,ARG1,Testing,2025,0.5951633416978217,0.597284904393864,0.5920044147520018
50,L. Lozano,Argentinos Juniors,Argentinos Juniors,RB,RB,1,26.0,2000000,2026-12-31,18,1697,Uruguay,Uruguay,right,170,60,no,10.22616,10.56,5.895945,1.797221,8.27,ARG1,Testing,2025,0.7985678796910779,0.8146809074442786,0.8046034985690855
51,E. Pereyra,Instituto,Instituto,LB,LB,1,26.0,125000,2025-12-31,10,690,Argentina,Argentina,left,172,68,no,6.258768,7.3,2.349,1.04394,7.23,ARG1,Testing,2025,0.428468559216472,0.4283370398900239,0.4224292543636345
52,L. Blanco,Boca Juniors,Boca Juniors,LB,LB,1,26.0,4000000,2028-12-31,13,1231,Argentina,Argentina,left,176,81,no,8.771639999999998,8.26,5.411132999999999,0.366696,4.17,ARG1,Testing,2025,0.4853908960091189,0.4962718769173958,0.4855102587185495
53,M. Navarro,Talleres Córdoba,Talleres Córdoba,"LB, LCB",LB,1,26.0,2000000,,13,1112,Venezuela,Venezuela,left,173,67,no,6.395672000000001,8.01,2.753556000000001,0.648494,8.12,ARG1,Testing,2025,0.4937681788674015,0.5156586313695133,0.499537353076876
54,M. Peinipil,Independiente Rivadavia,Independiente Rivadavia,RB,RB,1,26.0,0,2026-12-31,9,716,Argentina,"Argentina, Italy",right,179,70,no,7.167879999999999,8.67,4.273547000000001,1.257642,6.1,ARG1,Testing,2025,0.5177168916155753,0.5325094563491166,0.5201503121752004
55,E. Meza,Estudiantes,Estudiantes,RB,RB,1,26.0,1500000,2027-12-31,16,1452,Argentina,Argentina,right,175,73,no,7.871270000000001,6.45,3.225196,0.62,4.77,ARG1,Testing,2025,0.3343194126548575,0.354368263518506,0.3374918246251453
56,M. Bracamonte,Deportivo Riestra,Deportivo Riestra,"LB, RB",LB,1,26.0,25000,,12,636,Argentina,Argentina,right,178,69,yes,7.924566000000001,10.47,4.529159999999999,1.55375,6.81,ARG1,Testing,2025,0.6385892320448385,0.6462399818255915,0.6386776178405368
57,A. Vigo,Sarmiento,Sarmiento,"RB, RWB",RB,1,26.0,1000000,2026-12-31,11,697,Argentina,Argentina,right,175,75,yes,8.26248,9.3,4.130421999999999,0.90258,6.73,ARG1,Testing,2025,0.5973852709309712,0.6029555032990975,0.5959919197277777
58,M. Garay,Tigre,Tigre,"RB, RW",RB,1,25.0,1300000,2025-12-31,10,739,Argentina,Argentina,right,167,67,no,9.01418,9.74,5.360405000000001,0.851618,5.02,ARG1,Testing,2025,0.5802883303790984,0.596191322863263,0.5839366774786745
59,C. Ibáñez,Huracán,Huracán,LB,LB,1,25.0,450000,2025-12-31,18,1690,Argentina,Argentina,left,174,72,no,10.65254,11.24,5.433448000000001,1.97145,7.84,ARG1,Testing,2025,0.8232028920092231,0.8416397476605558,0.8306700187123511
60,M. Ortega,Tigre,Tigre,RB,RB,1,25.0,500000,2025-12-31,10,956,Argentina,Argentina,right,183,78,no,7.721220000000001,7.34,3.766248,0.845,4.25,ARG1,Testing,2025,0.3789687149736123,0.3863739795980808,0.3762198800621636
61,F. Gerometta,Unión Santa Fe,Unión Santa Fe,RB,RB,1,25.0,300000,2025-12-31,9,755,Argentina,Argentina,right,175,72,no,10.01406,8.46,4.170780000000001,1.192,5.66,ARG1,Testing,2025,0.5629299142731452,0.5790416357138026,0.5665023103122956
62,G. Martirena,Racing Club,Racing Club,"RWB, RB",RWB,1,25.0,2200000,2027-12-31,15,1215,Uruguay,Uruguay,right,174,65,no,8.814891,7.93,3.406455,1.332037,6.63,ARG1,Testing,2025,0.532318912654903,0.5434514617209525,0.5330558008386506
63,A. Schott,Talleres Córdoba,Talleres Córdoba,RB,RB,1,25.0,350000,2025-12-31,8,637,Argentina,Argentina,right,175,71,no,7.7679,7.91,3.812397,1.697058,6.54,ARG1,Testing,2025,0.5186725850584112,0.5340308120791776,0.5214017801115809
64,P. Ramírez,Deportivo Riestra,Deportivo Riestra,"LB, RWB",LB,1,25.0,350000,,14,1077,Argentina,Argentina,right,175,76,yes,10.359306,11.36,5.680992,1.086016,5.57,ARG1,Testing,2025,0.7530219680555413,0.7503475541434704,0.749089712873793
65,R. González,Aldosivi,Aldosivi,RB,RB,1,25.0,250000,,14,1140,Argentina,Argentina,right,175,60,no,10.421839,12.94,6.553710000000001,0.5875,7.28,ARG1,Testing,2025,0.8723357389239034,0.8896344851586003,0.879741332661467
66,G. Díaz,Sarmiento,Sarmiento,"LB, LWB",LB,1,25.0,0,2025-12-31,13,832,Argentina,Argentina,left,172,66,no,6.597435000000001,9.63,3.246342,0.867466,7.95,ARG1,Testing,2025,0.5809006101412727,0.5923893620986574,0.5823251699052674
67,J. Meli,Godoy Cruz,Godoy Cruz,"LB, LWB",LB,1,24.0,0,2025-12-31,12,1098,Argentina,Argentina,left,175,0,no,9.264149999999999,11.23,5.494082,0.902851,7.82,ARG1,Testing,2025,0.7724750207513973,0.7803788867266582,0.7740904767689242
68,G. Heredia,Belgrano,Belgrano,"RB, RW",RB,1,19.0,0,2027-12-31,10,645,Argentina,Argentina,right,178,72,no,7.673669999999999,8.09,4.045045,1.255,5.64,ARG1,Testing,2025,0.4860228275516907,0.4964354476426671,0.4859121665984642
69,J. Godoy,Sarmiento,Sarmiento,LB,LB,1,20.0,0,,7,657,Argentina,Argentina,,0,0,no,11.095304,11.37,4.111440000000001,2.19262,7.42,ARG1,Testing,2025,0.8265658355920648,0.810776754653002,0.8167762977154203
70,L. Vargas,Unión Santa Fe,Unión Santa Fe,RB,RB,1,20.0,0,,10,821,Argentina,Argentina,right,168,60,no,10.416032,7.34,4.387159,0.6559999999999999,4.24,ARG1,Testing,2025,0.4658250436855498,0.469837195668613,0.4622696248820923
71,E. Báez,San Lorenzo,San Lorenzo,LB,LB,1,20.0,0,2027-12-31,19,1808,Argentina,Argentina,left,175,61,no,10.153778,11.35,5.523657000000001,2.087841,7.57,ARG1,Testing,2025,0.8125719791526379,0.8255774826606934,0.8171839496536655
72,J. Gordon,Vélez Sarsfield,Vélez Sarsfield,RB,RB,1,20.0,0,,10,779,Argentina,Argentina,right,0,0,no,12.017988,11.55,5.773706999999999,3.11697,9.19,ARG1,Testing,2025,0.901546702239877,0.9301579559085902,0.9149729337334535
73,R. Di Luciano,Banfield,Banfield,RB,RB,1,21.0,0,2026-12-31,16,1211,Argentina,Argentina,right,166,59,no,11.5236,11.36,4.912691000000001,1.609246,7.58,ARG1,Testing,2025,0.8373572157431441,0.8424031318440277,0.838206822320119
74,R. Vega,Argentinos Juniors,Argentinos Juniors,LB,LB,1,21.0,1500000,2026-12-31,14,936,Argentina,Argentina,left,177,74,no,9.740546,6.63,4.60404,0.53631,3.67,ARG1,Testing,2025,0.3632452873864913,0.4099067091488381,0.3801653370679988
75,M. Del Blanco,Unión Santa Fe,Unión Santa Fe,"LB, LW",LB,1,21.0,0,2027-12-31,15,1160,Argentina,Argentina,left,170,68,no,8.845353000000001,7.22,3.566412,0.9329110000000002,5.83,ARG1,Testing,2025,0.4686679979346157,0.4833081138545792,0.4705118061411621
