Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ganhos,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Interceptações_Ajustadas_a_Posse,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Duelos_Aéreos_Ganhos_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,A,B,C,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,A1,B1,C1,ID
0,E. Giménez,ARG1,40,E. Giménez,Rosario Central,Rosario Central,"RB, RW",RB,1,27,600000,2025-12-31,24,1315,Paraguay,Paraguay,right,177,70,no,12.767703,11.43,5.752896,3.087195,9.47,ARG1,Testing,2025,1.0,1.0,1.0,97,98,11.43,5.752896,3.087195,1.519005765813951,1.2169085050483,3.239557559963086,0.9356194776692538,0.8881804853488131,0.9994014234957883,CAB
1,J. Gordon,ARG1,71,J. Gordon,Vélez Sarsfield,Vélez Sarsfield,RB,RB,1,21,0,,22,1824,Argentina,Argentina,right,0,0,no,10.856455,11.79,6.168959999999999,2.418832,8.3,ARG1,Testing,2025,0.9851601027653661,0.9953073431646343,0.9902337229650002,96,93,11.79,6.168959999999999,2.418832,1.742085209256848,1.62744124821399,2.058444379423843,0.9592532323504211,0.9481782914805299,0.9802262523480746,CAB
2,F. López,ARG1,79,F. López,San Lorenzo,San Lorenzo,RB,RB,1,23,0,2025-12-31,12,926,Argentina,Argentina,right,179,0,yes,10.69244,11.08,5.441318,2.235,8.48,ARG1,Testing,2025,0.9544293005551955,0.9647834312042637,0.9596063658797296,94,94,11.08,5.441318,2.235,1.302122973577801,0.9094726993787889,1.733581395977886,0.9035628245614531,0.8184496688814866,0.9585038081172931,CAB
3,R. Di Luciano,ARG1,72,R. Di Luciano,CSKA Moskva,Banfield,RB,RB,1,21,0,2028-06-30,16,1211,Argentina,Argentina,right,166,59,no,11.5236,11.36,4.912691000000001,1.609246,7.58,ARG1,Testing,2025,0.9227237338469897,0.9331521189169583,0.927937926381974,76,87,11.36,4.912691000000001,1.609246,1.475629207366721,0.3878733963353893,0.6277656982580044,0.929978270062473,0.6509451367367673,0.7349212800504232,ACB
4,F. Grillo,ARG1,6,F. Grillo,Atlético Tucumán,Atlético Tucumán,"LB, LCB",LB,1,32,0,2026-12-31,11,931,Argentina,"Argentina, Spain",left,183,77,no,9.181980000000001,12.18,5.02686,2.22156,8.86,ARG1,Testing,2025,0.9138295725662764,0.9321695146106768,0.9229995435884766,93,96,12.18,5.02686,2.22156,1.983754606319987,0.50052460565531,1.709830588188635,0.9763583985872862,0.691647132506049,0.9563513975377209,ACB
5,J. Saborido,ARG1,42,J. Saborido,Platense,Platense,RB,RB,1,27,400000,2027-12-31,33,3036,Argentina,Argentina,right,180,75,no,11.11671,11.38,6.28772,0.9179940000000001,6.56,ARG1,Testing,2025,0.9101954269096738,0.9276296728364717,0.9189125498730728,34,69,11.38,6.28772,0.9179940000000001,1.488022509780216,1.744622423654205,-0.5937963096241082,0.9316275212855984,0.9594746925335889,0.2763241788152934,BAC
6,T. Silva,ARG1,76,T. Silva,Platense,Platense,LB,LB,1,22,0,2025-12-31,22,1831,Argentina,Argentina,left,175,67,yes,10.0749,11.9,6.096765,1.17933,6.58,ARG1,Testing,2025,0.8897272794431905,0.9196746866515187,0.9047009830473547,51,71,11.9,6.096765,1.17933,1.810248372531067,1.556206026246103,-0.1319703345934685,0.9648713603700774,0.9401704455764626,0.4475038780254793,ABC
7,E. Cannavo,ARG1,80,E. Cannavo,Defensa y Justicia,Defensa y Justicia,"RB, RWB",RB,1,23,300000,2026-12-31,26,2292,Argentina,Argentina,right,181,69,no,10.17146,11.15,5.536512,1.454526,7.4,ARG1,Testing,2025,0.8987093066174348,0.9065859916538881,0.9026476491356614,62,86,11.15,5.536512,1.454526,1.345499532025031,1.003401167001354,0.3543486609698368,0.9107680138388666,0.8421663293637226,0.6384611978990558,ABC
8,M. De Ritis,ARG1,77,M. De Ritis,Peñarol Reserve,Banfield,LB,LB,1,22,0,,12,1158,Uruguay,Uruguay,left,183,79,no,10.573496,11.93,6.51,1.017092,5.93,ARG1,Testing,2025,0.8789120094605327,0.8981478447735198,0.8885299271170263,43,51,11.93,6.51,1.017092,1.828838326151308,1.96394737883146,-0.4186729799887485,0.9662880842028191,0.9752319026969462,0.3377275726833767,BAC
9,I. Guerrico,ARG1,48,I. Guerrico,Aldosivi,Aldosivi,LB,LB,1,27,200000,2025-12-31,27,2291,Argentina,"Argentina, Italy",left,175,71,no,9.605561,11.33,4.971159999999999,1.8492,7.31,ARG1,Testing,2025,0.8641081839338599,0.8920290653534393,0.8780686246436495,85,84,11.33,4.971159999999999,1.8492,1.45703925374648,0.4455650951128712,1.051805975956072,0.9274472275031579,0.6720442856406617,0.8535557116359967,ACB
10,A. Méndez,ARG1,21,A. Méndez,Lanús,Lanús,RB,RB,1,29,1200000,2029-12-31,18,1079,Uruguay,Uruguay,right,176,73,yes,11.92596,10.68,6.259087999999999,1.251624,5.6,ARG1,Testing,2025,0.8716898721700056,0.8813493013657375,0.8765195867678716,52,40,10.68,6.259087999999999,1.251624,1.054256925307915,1.71637106448273,-0.00421431537351754,0.8541173479964812,0.9569529254653342,0.4983187363912271,BAC
11,R. González,ARG1,63,R. González,Aldosivi,Aldosivi,RB,RB,1,25,250000,2026-12-31,24,1510,Argentina,Argentina,right,175,60,no,10.182906,11.43,5.996619999999999,0.686115,6.51,ARG1,Testing,2025,0.8533500511817796,0.8703916513728946,0.8618708512773372,12,67,11.43,5.996619999999999,0.686115,1.519005765813951,1.457392378431516,-1.00356666374344,0.9356194776692538,0.927495950138585,0.1577937647837932,ABC
12,E. Báez,ARG1,69,E. Báez,San Lorenzo,San Lorenzo,LB,LB,1,21,0,2027-12-31,36,3481,Argentina,Argentina,left,175,61,no,9.337816,10.8,4.896045,2.101075,8.12,ARG1,Testing,2025,0.8378856297192664,0.8660404300908247,0.8519630299050456,91,91,10.8,4.896045,2.101075,1.128616739788881,0.3714486923409646,1.496912725354709,0.870470227026447,0.6448483178884814,0.9327920156986208,CAB
13,L. Lozano,ARG1,51,L. Lozano,Argentinos Juniors,Argentinos Juniors,RB,RB,1,26,2000000,2027-12-31,35,3310,Uruguay,Uruguay,right,170,60,no,9.599904,9.83,5.120005,1.957902,8.5,ARG1,Testing,2025,0.8439447988193567,0.8323227121504512,0.838133755484904,88,95,9.83,5.120005,1.957902,0.527541572734407,0.5924313131862863,1.243901236990834,0.7010912226136038,0.7232190984415753,0.8932320429719633,CBA
14,P. Ramírez,ARG1,62,P. Ramírez,Deportivo Riestra,Deportivo Riestra,"LB, LWB",LB,1,25,350000,2025-12-31,28,2212,Argentina,Argentina,right,175,76,yes,9.967932,11.72,5.897314,1.057435,6.0,ARG1,Testing,2025,0.8292753284385732,0.8451145158484752,0.8371949221435242,45,54,11.72,5.897314,1.057435,1.698708650809619,1.359406576745209,-0.3473799116374268,0.9553129536683111,0.9129911058891944,0.36415296149806,ABC
15,T. Guidara,ARG1,18,T. Guidara,Huracán,Huracán,RB,RB,1,29,800000,2025-12-31,30,2641,Argentina,Argentina,right,173,70,no,11.550735,10.19,6.30123,1.66935,5.97,ARG1,Testing,2025,0.8030471240688993,0.8358174306641771,0.8194322773665382,82,53,10.19,6.30123,1.66935,0.7506210161773041,1.757952818401572,0.73397987618696,0.7735596152834645,0.9606222311929148,0.7685194985061128,BAC
16,S. Arzamendia,ARG1,43,S. Arzamendia,Estudiantes,Estudiantes,LB,LB,1,27,1200000,2027-12-31,31,2673,Argentina,"Argentina, Paraguay",left,172,68,no,9.194796,10.84,5.993638000000001,1.615704,6.96,ARG1,Testing,2025,0.8055909253227467,0.8283279860408308,0.8169594556817887,77,78,10.84,5.993638000000001,1.615704,1.153403344615869,1.4544500218707,0.6391781027745957,0.8756275653399488,0.9270892099229848,0.7386464622849488,BAC
17,C. Ibáñez,ARG1,58,C. Ibáñez,Huracán,Huracán,LB,LB,1,26,450000,2027-12-31,31,2895,Argentina,Argentina,left,174,72,no,9.760489,10.35,5.003831,2.11695,7.38,ARG1,Testing,2025,0.8041518393487893,0.8257496142218634,0.8149507267853264,92,85,10.35,5.003831,2.11695,0.8497674354852587,0.4778017588279883,1.524966599882565,0.8022728010673774,0.6836043453999919,0.93636628568124,CAB
18,J. Meli,ARG1,88,J. Meli,Godoy Cruz,Godoy Cruz,"LB, LWB",LB,1,25,0,2025-12-31,18,1475,Argentina,Argentina,left,175,0,no,8.97141,10.62,5.005979999999999,0.8540610000000001,8.29,ARG1,Testing,2025,0.8124921890645328,0.8132990405403318,0.8128956148024322,24,92,10.62,5.005979999999999,0.8540610000000001,1.017077018067431,0.4799221894950558,-0.7067769937305226,0.8454416039105527,0.6843586388016167,0.2398525368678137,ABC
19,J. Morán,ARG1,66,J. Morán,Godoy Cruz,Godoy Cruz,LB,LB,1,19,0,,17,1572,Argentina,Argentina,left,0,0,no,9.673095,10.94,6.12866,0.629638,6.62,ARG1,Testing,2025,0.7827310602211589,0.8075236530915008,0.7951273566563298,10,73,10.94,6.12866,0.629638,1.21536985668334,1.587677006295494,-1.103371304481056,0.8878874703244617,0.94382030245085,0.1349329764539147,BAC
20,N. Banegas,ARG1,23,N. Banegas,Tigre,Tigre,LB,LB,1,28,500000,2026-12-31,14,1301,Argentina,Argentina,left,177,73,yes,10.379082,10.38,5.877385,1.731832,5.21,ARG1,Testing,2025,0.7614126668400892,0.7700479737233085,0.7657303202816989,84,30,10.38,5.877385,1.731832,0.8683573891055008,1.339742517757772,0.8443963919821987,0.8074006429583873,0.9098354652745319,0.8007760310666435,BAC
21,J. Godoy,ARG1,67,J. Godoy,Sarmiento,Sarmiento,LB,LB,1,20,0,,21,1905,Argentina,Argentina,,0,0,no,10.58441,10.35,4.957746,1.512576,5.95,ARG1,Testing,2025,0.7510869314901845,0.7535796146142032,0.7523332730521939,71,52,10.35,4.957746,1.512576,0.8497674354852587,0.432329424117966,0.4569330651488577,0.8022728010673774,0.6672489976916827,0.6761404215469976,ACB
