Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Cruzamentos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Passes_Inteligentes_Certos,Deep_Completed_Crosses,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,M. Acuña,River Plate,River Plate,LB,LB,1,34.0,4000000,2027-12-31,15,1111,Argentina,Argentina,left,172,69,no,2.75,2.999217,1.135515,0.24,1.37757,1.3,0.49,0.05,0.0,0.97,ARG1,Testing,2026,0.3622319278957616,0.3789546735184883,0.3733057893916984
1,S. Arias,Independiente,Independiente,RB,RB,1,34.0,2500000,2027-12-31,13,1025,Colombia,Colombia,right,177,70,no,1.58,2.19375,1.143165,0.53,0.4357230000000001,0.79,0.0,0.08,0.0,0.97,ARG1,Testing,2026,0.2926311573679637,0.3054448848110901,0.301226774223798
2,S. Prieto,Argentinos Juniors,Argentinos Juniors,LB,LB,1,33.0,550000,2027-12-31,18,1569,Argentina,Argentina,left,175,73,no,2.29,1.780163,1.147314,0.92,0.9152,2.29,0.17,0.13,0.0,1.26,ARG1,Testing,2026,0.4007143597626104,0.4079742948157016,0.4073038503305886
3,N. Sansotre,Deportivo Riestra,Deportivo Riestra,"RB, RCB, RWB",RB,1,32.0,175000,2026-12-31,13,1255,Argentina,Argentina,right,182,80,no,0.79,0.2857,0.575,0.5,0.2143,0.79,0.0,0.04,0.0,0.43,ARG1,Testing,2026,0.1259346925882121,0.1318913940000679,0.1298565983194523
4,L. Rodríguez,Aldosivi,Aldosivi,LB,LB,1,32.0,0,2026-06-30,11,789,Argentina,Argentina,left,171,68,no,2.74,1.939168,1.25518,0.68,1.368,0.11,0.0,0.13,0.0,1.37,ARG1,Testing,2026,0.4365917260458139,0.4584728437562431,0.450807914159461
5,A. Soto,Rosario Central,Rosario Central,"LB, LCB",LB,1,32.0,1700000,2026-12-31,16,931,Argentina,Argentina,left,176,75,yes,0.48,0.7744,0.09662799999999999,0.29,0.192,0.97,0.1,0.04,0.095,0.1,ARG1,Testing,2026,0.09859989068412832,0.1488349730853588,0.1246229585994239
6,E. Gómez,Vélez Sarsfield,Vélez Sarsfield,LB,LB,1,32.0,1000000,2028-12-31,16,1566,Argentina,Argentina,left,174,72,no,2.07,2.070046,1.206488,0.57,0.8064,1.38,0.23,0.05,0.06,1.03,ARG1,Testing,2026,0.3887034246938038,0.4070485540681547,0.4007881686270695
7,F. Álvarez,Tigre,Tigre,LB,LB,1,31.0,500000,2027-12-31,14,1250,Argentina,Argentina,left,183,75,no,1.73,1.87457,0.431596,0.36,1.220866,1.01,0.07,0.03,0.0,0.5,ARG1,Testing,2026,0.179619594776972,0.1984660113801631,0.1904264666884391
8,J. Elordi,Independiente Rivadavia,Independiente Rivadavia,"LB, LWB",LB,1,31.0,350000,2027-12-31,16,1227,Argentina,Argentina,left,176,70,yes,1.98,1.1744,0.953238,1.69,0.439978,0.95,0.07,0.11,0.07,0.95,ARG1,Testing,2026,0.3794217542611377,0.3909901591090547,0.3880253999851907
9,F. Ricca,Belgrano,Belgrano,"LB, LWB, LCB",LB,1,31.0,1800000,2026-12-31,11,746,Uruguay,"Uruguay, Italy",left,179,73,no,0.97,1.085,0.604485,0.84,0.36,0.84,0.24,0.03,0.0,0.6,ARG1,Testing,2026,0.1635058445771635,0.1673819115745098,0.1666548137467092
10,A. Spörle,Belgrano,Belgrano,LB,LB,1,30.0,300000,2026-12-31,16,1187,Argentina,"Argentina, Germany",left,182,76,no,1.67,1.590972,0.98421,1.29,0.605,1.44,0.23,0.03,0.0,1.06,ARG1,Testing,2026,0.2838515664682706,0.2925001083761063,0.2902850868249264
11,T. Guidara,Lanús,Lanús,RB,RB,1,30.0,800000,2028-12-31,15,1287,Argentina,Argentina,right,173,70,no,0.7,1.399916,0.4199579999999999,0.14,0.279972,1.05,0.07,0.03,0.0,0.49,ARG1,Testing,2026,0.1100938874701147,0.1190815948724605,0.1154264448141351
12,A. Méndez,Newell's Old Boys,Newell's Old Boys,RB,RB,1,30.0,1200000,2029-12-31,14,1280,Uruguay,Uruguay,right,176,73,no,2.39,2.67425,0.9127980000000001,0.98,1.405644,2.67,0.91,0.08,0.0,0.91,ARG1,Testing,2026,0.3391360274170716,0.3440225507188184,0.3440794150948147
13,L. Blondel,Huracán,Huracán,"RB, RAMF, RW",RB,1,29.0,2500000,2027-12-31,10,953,Argentina,"Argentina, Switzerland",right,178,75,yes,1.42,1.796028,0.378144,1.13,0.7576660000000001,0.0,0.0,0.03,0.0,0.38,ARG1,Testing,2026,0.1548006305392541,0.1674883272816478,0.1623239459293961
14,G. Montiel,River Plate,River Plate,RB,RB,1,29.0,0,2028-12-31,16,1539,Argentina,"Argentina, Spain",right,175,70,no,1.46,0.7034600000000001,0.8173440000000001,1.87,0.234274,2.34,0.47,0.07,0.06,0.82,ARG1,Testing,2026,0.3098169967497339,0.3244096947198738,0.3194343978433865
