Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Cruzamentos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Passes_Inteligentes_Certos,Deep_Completed_Crosses,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,A,B,C,D,E,F,G,H,I,J,K,L,M,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,Similar_StScaled_E,Similar_StScaled_F,Similar_StScaled_G,Similar_StScaled_H,Similar_StScaled_I,Similar_StScaled_J,Similar_StScaled_K,Similar_StScaled_L,Similar_StScaled_M,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1,M1,ID
0,M. Del Blanco,ARG1,50,M. Del Blanco,Unión Santa Fe,Unión Santa Fe,"LB, LW",LB,1,22.0,0,2028-12-31,18,1700,Argentina,Argentina,left,170,68,no,8.05,4.130101,1.005332,4.61,3.704175,1.853148,1.64,2.06298,3.65,0.69,0.26,0.106672,1.8,ARG1,Testing,2026,1.0,0.9949210643757327,1.0,8.05,4.130101,1.005332,4.61,3.704175,1.853148,1.64,2.06298,3.65,0.69,0.26,0.106672,1.8,-0.446270740607424,-0.04084159099079523,-0.4728044800435677,2.341561161770589,1.781784578726687,1.839303821003561,1.545781877215918,1.662937053171869,2.89788265205315,1.879200069942468,3.644926123171933,2.088037921018715,1.609126751719998,0.3277008445063427,0.4837110910939474,0.3181763387685849,0.990398360361179,0.9626078159950292,0.9670647443183639,0.9389213723617594,0.9518374818118744,0.9981215443525127,0.9698914099493126,0.9998662656884167,0.981602792935268,0.9462056856149647,KIDLJ
1,E. Giménez,ARG1,24,E. Giménez,Rosario Central,Rosario Central,"RB, RAMF, RWB",RB,1,28.0,600000,2027-12-31,17,1559,Paraguay,Paraguay,right,177,70,no,9.47,4.389654,2.42658,1.96,2.308301,0.694002,1.79,0.86535,1.1,0.12,0.12,0.113339,0.75,ARG1,Testing,2026,0.9556859208816438,1.0,0.9803324832271662,9.47,4.389654,2.42658,1.96,2.308301,0.694002,1.79,0.86535,1.1,0.12,0.12,0.113339,0.75,0.410264700400379,0.1979416403486045,1.68327808726125,-0.1563264341604447,0.3543850513272898,-0.4592556969109823,1.879440794702197,-0.1861085050616942,-0.5234724984405436,-0.6516746153126549,0.8576296760404544,2.247945078207635,-0.3196210671224655,0.6591941082113311,0.578454637802959,0.9538393648248437,0.4378878605174513,0.6384748320448564,0.3230252791118667,0.9699078347599314,0.4261798361808498,0.3003227421854214,0.257305550852636,0.804451508499624,0.9877101538755937,0.3746278011095494,LGCKA
2,J. Russo,ARG1,47,J. Russo,Newell's Old Boys Res.,Newell's Old Boys,LB,LB,1,21.0,0,2029-12-31,13,824,Argentina,Argentina,left,0,0,no,10.27,4.693992,1.0908,3.6,4.151904,1.202121,1.42,2.186776,1.53,0.22,0.13,0.0,1.2,ARG1,Testing,2026,0.9776186762086759,0.9750443449603765,0.9788171853206111,10.27,4.693992,1.0908,3.6,4.151904,1.202121,1.42,2.186776,1.53,0.22,0.13,0.0,1.2,0.8928198784329434,0.4779261177361516,-0.3431465562593947,1.389536078038384,2.239625446171029,0.5483324444303328,1.05641546490271,1.854068240539489,0.05346189948584387,-0.2076615126363175,1.056722279406989,-0.4704765940039952,0.5069851409528761,0.8140231803799338,0.6836486042919756,0.3657441040923627,0.9176651009662954,0.9874423753457915,0.7082681732106477,0.8546107781939394,0.9681353011442044,0.5213180564904779,0.4177466354965812,0.8546808230558236,0.3190072764075909,0.693917377745356,EHDKG
3,L. Lozano,ARG1,30,L. Lozano,Argentinos Juniors,Argentinos Juniors,RB,RB,1,27.0,2000000,2027-12-31,14,1383,Uruguay,Uruguay,right,170,60,no,9.18,4.813899,2.01971,2.08,2.01761,1.300078,1.04,0.585,1.56,0.2,0.16,0.0,1.3,ARG1,Testing,2026,0.9357292869114603,0.9570808735289653,0.9488145642658494,9.18,4.813899,2.01971,2.08,2.01761,1.300078,1.04,0.585,1.56,0.2,0.16,0.0,1.3,0.2353384483635736,0.5882380036331109,1.06604216913907,-0.04321454302394497,0.05712885483730681,0.7425788937096773,0.2111462072708044,-0.6189466288985882,0.09371313655047558,-0.2964641331715849,1.654000089506591,-0.4704765940039952,0.6906754094140631,0.59302697225163,0.721813723995911,0.8567977100467752,0.4827652561310363,0.5227787244419628,0.7711316645922399,0.583613407633167,0.2679757595312349,0.5373314826273003,0.3834378270140849,0.9509362527401434,0.3190072764075909,0.755115226932788,KCFMB
4,L. Blanco,ARG1,32,L. Blanco,Boca Juniors,Boca Juniors,LB,LB,1,27.0,4000000,2028-12-31,14,1328,Argentina,Argentina,left,176,81,no,7.93,5.286504,0.271084,5.29,2.779161,2.844716,0.75,2.17115,1.56,0.2,0.16,0.07,3.05,ARG1,Testing,2026,0.9318958878341438,0.96051126743892,0.9486125486700654,7.93,5.286504,0.271084,5.29,2.779161,2.844716,0.75,2.17115,1.56,0.2,0.16,0.07,3.05,-0.5186540173123093,1.023024536815762,-1.586684192013912,2.98252854487742,0.8358793276525742,3.805560068326581,-0.4339276998693342,1.829942938156484,0.09371313655047558,-0.2964641331715849,1.654000089506591,1.208464609419488,3.905255107484836,0.3020010164843646,0.8468518776792024,0.05629209418658602,0.9985706100574905,0.7983886034264756,0.9999292581646636,0.3321704720778037,0.9663707640568506,0.5373314826273003,0.3834378270140849,0.9509362527401434,0.8865656995891207,0.9999529369819211,MFDHK
5,A. Méndez,ARG1,12,A. Méndez,Newell's Old Boys,Newell's Old Boys,RB,RB,1,30.0,1200000,2029-12-31,14,1280,Uruguay,Uruguay,right,176,73,no,10.69,6.39927,1.618818,2.39,2.67425,0.9127980000000001,0.98,1.405644,2.67,0.91,0.08,0.0,0.91,ARG1,Testing,2026,0.9454979184445941,0.9204592208006015,0.9353538706701191,10.69,6.39927,1.618818,2.39,2.67425,0.9127980000000001,0.98,1.405644,2.67,0.91,0.08,0.0,0.91,1.14616134690004,2.046745554120968,0.4578750845964977,0.2489911757453458,0.7285989342796776,-0.02538832534464749,0.07768264027629283,0.6480625000402527,1.583008907941848,2.856028895830411,0.06125926257431787,-0.4704765940039952,-0.0257166375845662,0.8741358009927417,0.9796584630161876,0.6764789059833843,0.5983161963799415,0.7668764846983893,0.489872611566623,0.5309597482879462,0.7415277364541215,0.943290282972259,0.9978551195447757,0.5244236332024294,0.3190072764075909,0.4897416766861228,JBIAE
6,F. Román,ARG1,29,F. Román,Aldosivi,Aldosivi,"LB, LCB",LB,1,27.0,700000,2026-12-31,15,1136,Paraguay,Paraguay,left,180,76,no,10.7,5.073587000000001,2.457148,0.95,1.268861,0.395,0.63,0.555,1.43,0.16,0.11,0.0,0.4,ARG1,Testing,2026,0.9292282099063119,0.8848717376242872,0.9093592623416816,10.7,5.073587000000001,2.457148,0.95,1.268861,0.395,0.63,0.555,1.43,0.16,0.11,0.0,0.4,1.152193286625447,0.8271454320969163,1.7296508047021,-1.10835151789265,-0.7085304874391243,-1.0521696982322,-0.700854833858357,-0.6652642451465168,-0.08070889072959521,-0.4740693742421199,0.6585370726739204,-0.4704765940039952,-0.96253700673662,0.8753791721157197,0.7959226819452987,0.9581536584306396,0.1338550171604015,0.2393079431873258,0.1463608496113597,0.2416968068668481,0.2529407476513978,0.46783673305311,0.3177252185278048,0.7449034583862046,0.3190072764075909,0.1678899615795963,CABKI
7,M. Weigandt,ARG1,37,M. Weigandt,Boca Juniors,Boca Juniors,RB,RB,1,26.0,1800000,2027-12-31,11,860,Argentina,Argentina,right,175,75,no,11.2,5.54433,1.572,2.09,1.57125,1.465,0.73,0.522675,1.78,0.0,0.11,0.0,1.26,ARG1,Testing,2026,0.9001319010709871,0.8962003418930542,0.9004527923645762,11.2,5.54433,1.572,2.09,1.57125,1.465,0.73,0.522675,1.78,0.0,0.11,0.0,1.26,1.4537902728958,1.260218964941471,0.3868505528919134,-0.03378855209590353,-0.3993120940234031,1.069615378167634,-0.4784155555341714,-0.7151714766536601,0.3888888750244412,-1.18449033852426,0.6585370726739204,-0.4704765940039952,0.6171993020295883,0.9269977694486277,0.8962048083918368,0.650566575254011,0.4865228824192321,0.3448316284575691,0.857603764866757,0.3161772320943272,0.2372515458620341,0.6513208239329733,0.1181095092711674,0.7449034583862046,0.3190072764075909,0.7314483619759173,ABFKM
8,A. Steimbach,ARG1,60,A. Steimbach,Gimnasia La Plata,Gimnasia La Plata,RB,RB,1,23.0,0,2026-12-31,17,1653,Argentina,Argentina,right,175,70,no,10.18,4.847498000000001,1.359288,2.34,2.506512,0.925284,0.71,1.306045,2.07,0.16,0.11,0.11,1.03,ARG1,Testing,2026,0.8952706732422703,0.873181945345169,0.8864774903466358,10.18,4.847498000000001,1.359288,2.34,2.506512,0.925284,0.71,1.306045,2.07,0.16,0.11,0.11,1.03,0.8385324209042799,0.6191483679508905,0.06415906269699852,0.2018612211051374,0.5570726060244626,-0.0006288781820978744,-0.5229034111990085,0.4942895580176708,0.777984166649214,-0.4740693742421199,0.6585370726739204,2.167859582804335,0.1947116845688582,0.799134126470207,0.7320906889284675,0.525578213281161,0.5799873904880335,0.7112610884056307,0.4997491139204762,0.3005207353258211,0.6894491507302789,0.781710826263675,0.3177252185278048,0.7449034583862046,0.9849153140924372,0.5771906679861639,LAIKB
9,F. Zabala,ARG1,31,F. Zabala,Independiente,Independiente,LB,LB,1,27.0,1200000,2028-12-31,15,1267,Argentina,"Argentina, Spain",left,172,70,no,9.23,4.544928,1.278355,2.56,1.918304,1.28,0.64,0.92448,1.92,0.21,0.11,0.21,1.35,ARG1,Testing,2026,0.8804502188966242,0.8802545931386263,0.8825937243718587,9.23,4.544928,1.278355,2.56,1.918304,1.28,0.64,0.92448,1.92,0.21,0.11,0.21,1.35,0.2654981469906094,0.3407904129037041,-0.05861910861418793,0.4092330215220535,-0.04441995076257138,0.7027646873882232,-0.6786109060259384,-0.09481648343702667,0.5767279813260556,-0.2520628229039513,0.6585370726739204,4.566347016266453,0.7825205436446567,0.6046871314289698,0.6333693158488294,0.4766277451901618,0.658815668378324,0.4822848294673302,0.7588987963797609,0.2486922153810635,0.4622302969846768,0.7179383864711764,0.4004962526702448,0.7449034583862046,0.9999975185153355,0.7830456415731812,LMFKI
