Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,C. Lema,Boca Juniors,Boca Juniors,"RCB, LCB, CB",RCB,4,34,1000000,2025-12-31,9,916,Argentina,Argentina,right,190,81,no,9.63,4.418064,5.108196,0.49,7.34,19.353003,ARG1,Testing,2024,0.6232474314213409,0.6360864786536251,0.6296669550374829
1,N. Breitenbruch,Atlético Tucumán,Atlético Tucumán,"RCB, RB",RCB,4,29,350000,2024-12-31,12,922,Argentina,Argentina,right,178,76,no,10.44,6.63607,3.12495,0.2,5.67,8.392488,ARG1,Testing,2024,0.5237104442148056,0.5751315134282692,0.5494209788215374
2,E. Burgos,Independiente Rivadavia,Independiente Rivadavia,"RCB, LCB",RCB,4,32,350000,2025-12-31,16,932,Argentina,"Argentina, Spain",right,191,84,no,8.4,2.60766,2.030145,0.68,7.66,13.421168,ARG1,Testing,2024,0.2387969086616831,0.2762319705534089,0.2575144396075459
3,L. Di Lollo,Boca Juniors U20,Boca Juniors,"RCB, RB, LCB",RCB,4,20,0,2026-12-31,11,942,Argentina,"Argentina, Italy",right,189,86,no,11.56,6.306552,1.910495,0.67,7.46,17.674281,ARG1,Testing,2024,0.6916563974448857,0.7321482822439742,0.71190233984443
4,A. Maldonado,Banfield,Banfield,RCB,RCB,4,27,300000,2024-12-31,10,948,Argentina,Argentina,right,187,85,no,8.35,4.94,2.467206,0.38,4.74,8.256393,ARG1,Testing,2024,0.1429147447694832,0.2177598107541838,0.1803372777618335
5,M. Rojo,Boca Juniors,Boca Juniors,LCB,LCB,4,34,1200000,2025-12-31,15,963,Argentina,Argentina,left,186,82,no,8.97,3.549078,2.897766,0.84,8.76,25.886664,ARG1,Testing,2024,0.5378658210466828,0.5605518560923471,0.5492088385695149
6,A. Anselmino,Boca Juniors,Boca Juniors,"LCB, RCB",LCB,4,19,0,,12,977,Argentina,Argentina,right,186,81,yes,11.51,6.077808,1.383444,0.74,7.81,20.908774,ARG1,Testing,2024,0.663872512915099,0.7018923825993074,0.6828824477572031
7,Y. Rak,Central Córdoba SdE,Central Córdoba SdE,"CB, RCB, LCB",CB,4,31,450000,2025-12-31,12,979,Uruguay,"Uruguay, Italy",right,188,77,no,8.73,3.680184,4.043338,0.55,7.61,17.562545,ARG1,Testing,2024,0.506654402216237,0.5172417923598958,0.5119480972880663
8,A. Luciatti,Lanús,Lanús,LCB,LCB,4,31,1500000,2024-12-31,12,990,Argentina,Argentina,left,180,80,no,8.82,4.179637,1.907136,0.27,5.95,11.541768,ARG1,Testing,2024,0.2501627799050666,0.2627443867025231,0.2564535833037949
9,L. Suárez,Talleres Córdoba,Talleres Córdoba,LCB,LCB,4,29,0,,11,991,Argentina,Argentina,left,187,81,no,9.81,3.361733,2.45195,0.36,9.14,19.888284,ARG1,Testing,2024,0.5406744651164106,0.5557663963644144,0.5482204307404124
10,M. de los Santos,Atlético Tucumán,Atlético Tucumán,"RCB, CB",RCB,4,32,400000,2025-12-31,13,992,Uruguay,Uruguay,right,187,86,no,11.43,5.803137,3.81294,0.73,7.15,7.710297000000001,ARG1,Testing,2024,0.7270534385564376,0.7251840607776294,0.7261187496670334
11,N. Domínguez,Lanús,Lanús,"LCB, RCMF, RCB",LCB,4,34,400000,2024-12-31,13,1008,Argentina,Argentina,right,184,80,no,8.04,3.035362,1.6056,0.45,6.45,15.62311,ARG1,Testing,2024,0.1758769733583342,0.1995195719531199,0.187698272655727
12,L. Ferreira,Defensa y Justicia,Defensa y Justicia,RCB,RCB,4,24,500000,2028-12-31,11,1009,Uruguay,Uruguay,right,189,80,no,10.26,4.28358,3.120655,0.54,8.53,15.700074,ARG1,Testing,2024,0.6630886090666762,0.6676839993677559,0.665386304217216
13,C. Quintana,Rosario Central,Rosario Central,LCB,LCB,4,36,125000,2024-12-31,11,1032,Argentina,"Argentina, Spain",left,190,88,yes,9.94,4.012292,3.400452,0.26,8.27,7.322259999999999,ARG1,Testing,2024,0.5339703102217264,0.5509125823319777,0.542441446276852
14,G. Ferrari,Atlético Tucumán,Atlético Tucumán,"RCB, CB",RCB,4,27,425000,2024-12-31,17,1041,Argentina,"Argentina, Italy",right,181,76,yes,10.72,6.310595999999999,2.160386,0.43,6.36,9.078284,ARG1,Testing,2024,0.563987004811249,0.5816508705097652,0.5728189376605071
15,S. Boselli,Estudiantes,Estudiantes,"RCB, RB",RCB,4,21,0,2025-12-31,11,1063,Uruguay,"Uruguay, Italy",right,183,82,yes,12.53,5.080254,4.4892,0.76,9.71,11.43408,ARG1,Testing,2024,1.0,1.0,1.0
16,J. Fedorco,Independiente,Independiente,RCB,RCB,4,24,0,,17,1063,Argentina,Argentina,right,185,0,no,10.92,6.181736,2.627037,0.17,7.03,10.497698,ARG1,Testing,2024,0.5916844380754501,0.6229087719088778,0.607296604992164
17,C. Sánchez,Barracas Central,Barracas Central,CB,CB,4,38,100000,2024-12-31,11,1070,Colombia,Colombia,left,182,80,no,6.48,1.767399,2.526,0.17,5.91,12.4505,ARG1,Testing,2024,0.1030386731931296,0.08289899706977161,0.09296883513145061
18,B. Bianchi,Independiente Rivadavia,Independiente Rivadavia,"CB, RCB",CB,4,35,250000,2025-12-31,12,1093,Argentina,"Argentina, Italy",right,183,79,yes,9.88,3.127215000000001,2.221232,0.41,7.53,12.5115,ARG1,Testing,2024,0.4280181508573205,0.4063061873207219,0.4171621690890212
19,S. Quirós,Racing Club,Racing Club,"LCB, LB",LCB,4,21,0,,16,1125,Argentina,Argentina,left,179,79,no,8.88,5.04,0.720024,0.16,6.32,17.92076,ARG1,Testing,2024,0.3398635312613683,0.3377837613630685,0.3388236463122184
