Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,S. Quirós,Racing Club,Racing Club,LCB,LCB,4,21,0,,12,919,Argentina,Argentina,left,179,79,no,8.13,2.939755,0.9789180000000001,2.939376,16.160221,7.442460000000001,0.488928,0.196647,1.96,4.993742,ARG1,Testing,2024,0.4398976175158583,0.4042471465804924,0.4220723820481754
1,L. Jara,Vélez Sarsfield,Vélez Sarsfield,"RCB, RB",RCB,4,33,0,2024-12-31,13,922,Argentina,Argentina,right,185,80,no,10.93,4.590208,2.14758,4.682459000000001,12.983961,7.713089999999999,1.563783,0.9785910000000001,0.68,4.395828,ARG1,Testing,2024,0.7875928095410059,0.7000993568781144,0.7438460832095601
2,B. Blasi,Nacional Asunción,Nacional Asunción,"RCB, RB",RCB,4,28,0,,12,1008,Argentina,Argentina,right,180,75,no,10.89,4.821927,1.96425,3.124797,8.2164,5.17825,0.89471,0.180009,0.36,2.68,ARG1,Testing,2024,0.5315134800631373,0.4969131411185553,0.5142133105908463
3,I. Glavinovich,Newell's Old Boys,Newell's Old Boys,"LCB, CB",LCB,4,22,0,2026-12-31,11,1077,Argentina,"Argentina, Croatia",right,0,0,no,10.7,4.093754,2.003328,4.844548,13.541624,5.680284,0.5833750000000001,0.33335,0.92,2.922639999999999,ARG1,Testing,2024,0.5978011506765372,0.5596841200203742,0.5787426353484557
4,M. Moreno,Belgrano,Belgrano,"LCB, RCB",LCB,4,20,0,,13,1092,Argentina,Argentina,right,193,82,no,9.64,3.954,1.732302,2.310165,12.117859,4.53125,2.223865,1.0725,0.99,2.140884,ARG1,Testing,2024,0.4035541494528024,0.420296430682735,0.4119252900677687
5,L. Suárez,Talleres Córdoba,Talleres Córdoba,LCB,LCB,4,29,0,,15,1123,Argentina,Argentina,left,187,81,no,10.9,4.646899,2.564894999999999,2.24422,12.022893,5.047875,1.279872,0.47996,0.96,2.64605,ARG1,Testing,2024,0.5802882087420163,0.5656134717204165,0.5729508402312165
6,E. Godoy,Argentinos Juniors,Argentinos Juniors,LCB,LCB,4,30,0,2025-12-31,14,1149,Argentina,Argentina,right,185,79,no,9.95,4.15272,2.3489,4.07028,11.9092,5.7942,0.31427,0.0,0.86,2.66076,ARG1,Testing,2024,0.5738860880288402,0.5369098843290452,0.5553979861789426
7,F. Sánchez,Gimnasia La Plata,Gimnasia La Plata,LCB,LCB,4,20,0,,14,1205,Argentina,Argentina,left,184,78,no,8.14,3.358,3.21425,4.03512,12.099052,4.631364,0.596938,0.225,0.07,2.540127,ARG1,Testing,2024,0.4787330361568544,0.4556407427070537,0.467186889431954
8,S. Ramos Mingo,Defensa y Justicia,Defensa y Justicia,LCB,LCB,4,22,0,2026-12-31,16,1212,Argentina,"Argentina, Italy",left,186,76,no,10.17,4.082231999999999,2.451384,3.264996,12.026115,4.606056000000001,0.296637,0.07,0.67,2.744616,ARG1,Testing,2024,0.4859693971238972,0.4753660160550325,0.4806677065894648
9,L. Lollo,Estudiantes,Estudiantes,"CB, LCB, RCB",CB,4,37,0,2024-12-31,13,1224,Argentina,"Argentina, Italy",right,183,88,no,9.71,4.190098000000001,3.383627,3.162132,15.956625,6.546849000000001,0.6627419999999999,0.364293,0.29,2.865593,ARG1,Testing,2024,0.7003974576309865,0.6610200617454483,0.6807087596882173
