Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,C. Lema,Boca Juniors,Boca Juniors,"RCB, LCB, CB",RCB,4,34,1000000,2025-12-31,9,916,Argentina,Argentina,right,190,81,no,9.63,4.418064,5.108196,0.49,7.34,3.634784,13.260466,4.812012,19.353003,0.590546,0.193343,1.38,4.029374000000001,ARG1,Testing,2024,0.6437240960776769,0.6551948276836188,0.649459461880648
1,N. Breitenbruch,Atlético Tucumán,Atlético Tucumán,"RCB, RB",RCB,4,29,350000,2024-12-31,12,922,Argentina,Argentina,right,178,76,no,10.44,6.63607,3.12495,0.2,5.67,3.316454,10.639017,6.048351000000001,8.392488,0.584,0.098353,0.49,3.516,ARG1,Testing,2024,0.6577175723437595,0.6146841210718278,0.6362008467077938
2,E. Burgos,Independiente Rivadavia,Independiente Rivadavia,"RCB, LCB",RCB,4,32,350000,2025-12-31,16,932,Argentina,"Argentina, Spain",right,191,84,no,8.4,2.60766,2.030145,0.68,7.66,2.89822,9.369198,4.150512,13.421168,0.483314,0.19,0.39,2.893944,ARG1,Testing,2024,0.291005723627223,0.3028997709778902,0.2969527473025566
3,L. Di Lollo,Boca Juniors U20,Boca Juniors,"RCB, RB, LCB",RCB,4,20,0,2026-12-31,11,942,Argentina,"Argentina, Italy",right,189,86,no,11.56,6.306552,1.910495,0.67,7.46,1.243956,14.142786,3.72368,17.674281,0.4769040000000001,0.29,0.67,2.389554,ARG1,Testing,2024,0.6249663345246448,0.6124197626706516,0.6186930485976483
4,A. Maldonado,Banfield,Banfield,RCB,RCB,4,27,300000,2024-12-31,10,948,Argentina,Argentina,right,187,85,no,8.35,4.94,2.467206,0.38,4.74,2.945095,9.968164,5.222097,8.256393,0.379981,0.0,0.28,1.8018,ARG1,Testing,2024,0.3218447893592216,0.311034435858621,0.3164396126089213
5,M. Rojo,Boca Juniors,Boca Juniors,LCB,LCB,4,34,1200000,2025-12-31,15,963,Argentina,Argentina,left,186,82,no,8.97,3.549078,2.897766,0.84,8.76,2.2425,21.68656,8.6,25.886664,0.280881,0.185,1.31,4.206,ARG1,Testing,2024,0.7060332129530729,0.7069662047031354,0.7064997088281042
6,A. Anselmino,Boca Juniors,Boca Juniors,"LCB, RCB",LCB,4,19,0,,12,977,Argentina,Argentina,right,186,81,yes,11.51,6.077808,1.383444,0.74,7.81,3.037167,13.634304,4.97588,20.908774,1.288092,0.555,1.2,2.397704,ARG1,Testing,2024,0.6688412706023893,0.6761313582788278,0.6724863144406086
7,Y. Rak,Central Córdoba SdE,Central Córdoba SdE,"CB, RCB, LCB",CB,4,31,450000,2025-12-31,12,979,Uruguay,"Uruguay, Italy",right,188,77,no,8.73,3.680184,4.043338,0.55,7.61,4.137952,11.401374,5.609788,17.562545,0.735954,0.186676,0.37,2.7549,ARG1,Testing,2024,0.5248214818774795,0.5304963826280547,0.5276589322527672
8,A. Luciatti,Lanús,Lanús,LCB,LCB,4,31,1500000,2024-12-31,12,990,Argentina,Argentina,left,180,80,no,8.82,4.179637,1.907136,0.27,5.95,1.818541,8.821395,2.9975,11.541768,0.091456,0.09,0.36,1.36122,ARG1,Testing,2024,0.1327581887054928,0.1540079508944575,0.1433830697999751
9,L. Suárez,Talleres Córdoba,Talleres Córdoba,LCB,LCB,4,29,0,,11,991,Argentina,Argentina,left,187,81,no,9.81,3.361733,2.45195,0.36,9.14,3.268408,13.35256,6.721149000000001,19.888284,1.181268,0.449982,0.82,4.083328,ARG1,Testing,2024,0.7450668084647377,0.7250074368563968,0.7350371226605673
10,M. de los Santos,Atlético Tucumán,Atlético Tucumán,"RCB, CB",RCB,4,32,400000,2025-12-31,13,992,Uruguay,Uruguay,right,187,86,no,11.43,5.803137,3.81294,0.73,7.15,3.626755,9.613997000000001,4.71666,7.710297000000001,0.273,0.09,0.45,2.99439,ARG1,Testing,2024,0.6343251816515328,0.6427771706661404,0.6385511761588367
11,N. Domínguez,Lanús,Lanús,"LCB, RCMF, RCB",LCB,4,34,400000,2024-12-31,13,1008,Argentina,Argentina,right,184,80,no,8.04,3.035362,1.6056,0.45,6.45,3.216,11.78375,5.717829,15.62311,0.8940640000000001,0.09,1.43,3.927,ARG1,Testing,2024,0.444174529212788,0.4362037246537508,0.4401891269332695
12,L. Ferreira,Defensa y Justicia,Defensa y Justicia,RCB,RCB,4,24,500000,2028-12-31,11,1009,Uruguay,Uruguay,right,189,80,no,10.26,4.28358,3.120655,0.54,8.53,3.923577,10.170048,6.15615,15.700074,1.161244,0.624131,0.62,3.034672,ARG1,Testing,2024,0.7359059899830168,0.7455744281496484,0.7407402090663326
13,C. Quintana,Rosario Central,Rosario Central,LCB,LCB,4,36,125000,2024-12-31,11,1032,Argentina,"Argentina, Spain",left,190,88,yes,9.94,4.012292,3.400452,0.26,8.27,3.316608,9.682647,4.799684,7.322259999999999,0.348,0.17,0.35,1.83225,ARG1,Testing,2024,0.5500807713719168,0.4912138142144933,0.5206472927932051
14,G. Ferrari,Atlético Tucumán,Atlético Tucumán,"RCB, CB",RCB,4,27,425000,2024-12-31,17,1041,Argentina,"Argentina, Italy",right,181,76,yes,10.72,6.310595999999999,2.160386,0.43,6.36,2.16,7.698078000000001,4.147796,9.078284,0.6892480000000001,0.2625,0.69,2.50458,ARG1,Testing,2024,0.5037063799284004,0.4995280657658519,0.5016172228471262
15,S. Boselli,Estudiantes,Estudiantes,"RCB, RB",RCB,4,21,0,2025-12-31,11,1063,Uruguay,"Uruguay, Italy",right,183,82,yes,12.53,5.080254,4.4892,0.76,9.71,3.554808,16.1742,8.210849999999999,11.43408,0.5085459999999999,0.252,0.59,5.166266,ARG1,Testing,2024,0.9096909987613659,0.8795266431346203,0.8946088209479932
16,J. Fedorco,Independiente,Independiente,RCB,RCB,4,24,0,,17,1063,Argentina,Argentina,right,185,0,no,10.92,6.181736,2.627037,0.17,7.03,3.640768,13.038074,5.079256,10.497698,0.422685,0.2550000000000001,0.17,1.947812,ARG1,Testing,2024,0.6377206752665131,0.6151705661895429,0.626445620728028
17,C. Sánchez,Barracas Central,Barracas Central,CB,CB,4,38,100000,2024-12-31,11,1070,Colombia,Colombia,left,182,80,no,6.48,1.767399,2.526,0.17,5.91,3.950322,8.665208999999999,4.709406,12.4505,0.337744,0.17,0.42,2.60665,ARG1,Testing,2024,0.252099344607588,0.2122933365594787,0.2321963405835334
18,B. Bianchi,Independiente Rivadavia,Independiente Rivadavia,"CB, RCB",CB,4,35,250000,2025-12-31,12,1093,Argentina,"Argentina, Italy",right,183,79,yes,9.88,3.127215000000001,2.221232,0.41,7.53,3.707378,9.631639999999999,4.447100000000001,12.5115,0.411144,0.08,0.0,1.645464,ARG1,Testing,2024,0.4190950236512218,0.3881220381539111,0.4036085309025664
