Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Mika Mármol,Las Palmas,Las Palmas,LCB,LCB,4,22.0,1000000,2024-06-30,22,2119,Spain,Spain,left,182,70,no,9.98,4.887466,0.6808,0.47,9.17,4.335,27.438,9.344873999999999,39.11180400000001,2.33914,0.9758,4.33,8.07072,SPA2,Testing,2023,0.9898496779158084,0.989366260981569,1.0
1,S. Pavlović,Salzburg,Salzburg,LCB,LCB,4,22.0,20000000,2027-06-30,25,2405,Serbia,Serbia,left,194,86,no,12.99,5.201208,4.977096,0.26,12.48,4.044239999999999,15.71627,7.035774000000001,19.231152,2.24746,0.7455029999999999,1.72,4.678641,AUT,Testing,2023,0.9724710166181563,1.0,0.9965755865389279
2,O. Solet,Salzburg,Salzburg,"RCB, LCB",RCB,4,23.0,15000000,2025-06-30,23,2045,France,"France, Central African Republic",right,192,88,no,12.1,5.192,3.03918,0.75,11.57,2.64,17.120907,7.478163,25.652655,2.023098,0.9667629999999999,1.41,4.929375,AUT,Testing,2023,0.9990990375288309,0.9588458765587862,0.9892006489216724
3,G. Piovi,Racing Club,Racing Club,"LCB, LB",LCB,4,29.0,1800000,2026-12-31,30,2808,Argentina,"Argentina, Spain",left,180,72,no,12.4,5.222519999999999,1.7955,0.29,11.69,5.256023000000002,17.75796,9.96972,22.952282,1.023984,0.576,2.02,7.080416,ARG1,Testing,2023,0.9833029111171261,0.9665938642632763,0.9851145893075437
4,J. Galván,Argentinos Juniors,Argentinos Juniors,"RCB, LCB",RCB,4,31.0,650000,2023-12-31,15,1240,Argentina,Argentina,right,180,81,no,10.96,5.008976000000001,3.774806,0.51,10.87,7.18884,19.450637,10.81083,28.15952,1.01388,0.2175,1.31,5.589195999999999,ARG1,Testing,2023,1.0,0.9492395269430793,0.9847809026759021
5,K. Mac Allister,Union Saint-Gilloise,Union Saint-Gilloise,"RCB, RB",RCB,4,25.0,3200000,2024-12-31,20,1914,Argentina,"Argentina, Italy",right,175,72,no,12.23,5.265255,3.480162,0.38,11.42,4.136326,15.610371,9.03091,12.838758,1.129822,0.282876,0.71,6.067328,ARG1,Testing,2023,0.9682414511289832,0.9424595642389024,0.9652148065306076
6,L. Villalba,Argentinos Juniors,Argentinos Juniors,LCB,LCB,4,29.0,1500000,2024-12-31,36,3528,Argentina,Argentina,left,177,73,no,9.97,4.16119,2.910411,0.41,9.53,11.044964,22.907432,13.77376,21.024,1.37644,0.7381920000000001,1.91,8.520189000000002,ARG1,Testing,2023,0.9620363110007875,0.9459368542152278,0.9638298703677951
7,F. Čihák,Hradec Králové,Hradec Králové,"RCB, CB, LCB",RCB,4,24.0,500000,2025-06-30,13,1075,Czech Republic,Czech Republic,right,190,80,yes,14.99,7.035067000000001,3.93708,1.26,10.31,4.60625,11.885992,5.77658,12.225862,1.25742,0.337126,1.76,4.350455999999999,CZH,Testing,2023,0.9504379826406828,0.9271494560544998,0.9484029630418278
8,A. Barboza,Libertad,Libertad,LCB,LCB,4,28.0,2200000,2023-12-31,30,2848,Argentina,Argentina,left,193,79,no,10.43,3.949506,3.824361,0.57,8.79,7.774515,18.329618,11.663214,24.296901,0.947727,0.31578,1.55,8.154786,PAR,Testing,2023,0.9649674646113748,0.910587293907279,0.9473709663678255
9,O. Boscagli,PSV,PSV,LCB,LCB,4,26.0,8000000,2025-06-30,21,1559,Monaco,"Monaco, France",left,181,68,no,10.74,4.158402,2.307935,0.35,10.35,7.447239999999999,23.844877,12.645164,31.230906,0.577215,0.115,1.5,11.312136,HOL,Testing,2023,0.9503546995747307,0.9187489082599216,0.9440957014608071
