Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,F. Vera,Corinthians,Argentinos Juniors,"DMF, RDMF",DMF,7,23,8000000,2026-12-31,14,973,Argentina,Argentina,right,180,74,no,11.01,5.55,1.385,4.532574,ARG1,Testing,2020,0.225235585682073,0.2593379156588756,0.2422867506704743
1,A. Calello,Quilmes,Huracán,"DMF, LDMF, LCMF",DMF,7,35,50000,2023-12-31,15,1004,Argentina,"Argentina, Italy",right,177,71,no,14.43,7.528671999999999,0.8952559999999999,2.956664999999999,ARG1,Testing,2020,0.5084638346472033,0.606377531760907,0.5574206832040551
2,M. Fritzler,,Colón,"DMF, LCMF",DMF,7,36,0,,13,1086,Argentina,"Argentina, Germany",right,179,73,no,11.1,4.062965,3.06471,4.2296,ARG1,Testing,2020,0.4303137669532486,0.4150527920188219,0.4226832794860352
3,L. Maciel,Central Córdoba SdE,Aldosivi,"DMF, RCMF",DMF,7,27,500000,2023-12-31,16,1141,Argentina,Argentina,right,180,72,no,10.33,4.57314,1.263724,5.443875999999999,ARG1,Testing,2020,0.2373575646314173,0.2347221854585608,0.2360398750449891
4,G. Gil Romero,Guaraní,Aldosivi,DMF,DMF,7,29,400000,,18,1335,Argentina,Argentina,right,177,79,no,14.29,7.61519,1.7524,3.840375,ARG1,Testing,2020,0.5861031579451266,0.650097190671963,0.6181001743085448
5,F. Moyano,Argentinos Juniors,Argentinos Juniors,"DMF, RDMF, LDMF",DMF,7,25,1500000,2025-12-31,19,1386,Argentina,Argentina,right,171,70,no,9.74,5.067305999999999,1.105104,3.438316,ARG1,Testing,2020,0.0,0.0,0.0
6,M. Díaz,Audax Italiano,Racing Club,DMF,DMF,7,36,150000,2025-12-31,16,1391,Chile,Chile,right,167,68,no,7.51,2.07,1.16335,7.825663,ARG1,Testing,2020,0.2911071074638889,0.2728747373976212,0.2819909224307551
7,F. Lértora,Club Tijuana,Colón,"DMF, RCMF",DMF,7,32,1700000,2025-06-30,17,1412,Argentina,"Argentina, Italy",right,185,79,no,13.19,5.546556000000001,1.403143,2.865594,ARG1,Testing,2020,0.4357570578504165,0.4082340326755809,0.4219955452629988
8,E. Kalinski,Central Córdoba SdE,Estudiantes,"DMF, LDMF, LCMF",DMF,7,35,125000,2023-12-31,16,1428,Argentina,Argentina,right,184,84,no,12.23,5.549068000000001,4.221448,5.611865,ARG1,Testing,2020,0.686809986267632,0.8169544228812935,0.7518822045744628
9,L. Vera,Orenburg,Lanús,"RDMF, RCMF, LCMF",RDMF,7,25,2500000,2024-06-30,20,1571,Argentina,Argentina,right,164,55,yes,6.59,3.148928,0.74568,8.877519000000001,ARG1,Testing,2020,0.2827862746408348,0.3328349778162809,0.3078106262285578
10,G. Giménez,Chicago Fire,Vélez Sarsfield,"DMF, LCB, LDMF",DMF,7,31,2000000,2023-12-31,19,1595,Argentina,"Argentina, Paraguay",left,180,78,no,10.44,4.229824,1.74716,5.810765,ARG1,Testing,2020,0.3722634619240363,0.3669923194285753,0.3696278906763057
11,E. Pérez,River Plate,River Plate,DMF,DMF,7,36,1500000,2023-12-31,18,1625,Argentina,Argentina,right,178,77,no,13.07,5.535816,2.881844000000001,9.805503,ARG1,Testing,2020,1.0,1.0,1.0
12,G. Poblete,Al Wasl,San Lorenzo,"DMF, RCMF, RDMF",DMF,7,30,500000,2023-06-30,19,1678,Argentina,"Argentina, Chile",right,176,71,no,11.1,4.72068,1.555476,3.488957999999999,ARG1,Testing,2020,0.1509795841065878,0.1393378438749661,0.145158713990777
