Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,S. Sosa,San Lorenzo Res.,San Lorenzo,"LDMF, RDMF, DMF",LDMF,7,19,0,,17,971,Argentina,Argentina,right,175,66,no,8.16,3.705504000000001,0.835,2.226819,ARG1,Testing,2024,0.02620712232545142,0.0,0.0007329938228131019
1,Gabriel Neves,Estudiantes,Estudiantes,"LDMF, LCMF, RDMF",LDMF,7,27,1800000,2027-12-31,18,978,Uruguay,Uruguay,right,171,70,no,9.29,4.322616,0.91875,7.088634,ARG1,Testing,2024,0.6213921658011338,0.6257632425089515,0.6188593191495391
2,R. Villagra,River Plate,River Plate,"DMF, LDMF",DMF,7,23,7000000,2027-12-31,14,1013,Argentina,Argentina,right,178,77,no,8.97,4.61774,2.484858,4.08342,ARG1,Testing,2024,0.3381195836995189,0.4475555564359122,0.3852268994540983
3,A. Gamarra,Argentinos Juniors,Argentinos Juniors,"DMF, LCMF",DMF,7,21,0,,18,1063,Argentina,"Argentina, Paraguay",right,175,68,no,11.51,5.844960000000001,2.201164,5.42088,ARG1,Testing,2024,0.9209875881544992,0.9386303949872149,0.9289291600482587
4,B. Zuculini,Racing Club,Racing Club,"DMF, LCMF, RCMF",DMF,7,31,700000,2025-12-31,17,1093,Argentina,"Argentina, Italy",right,182,77,no,9.14,4.447396,1.892174,4.201305000000001,ARG1,Testing,2024,0.3928516125915338,0.4413232322318583,0.4097807192860531
5,M. Fernández,Gimnasia La Plata,Gimnasia La Plata,"DMF, RCMF, LCMF",DMF,7,23,425000,2025-06-30,14,1132,Uruguay,Uruguay,right,183,75,yes,6.28,2.543856,1.3532,4.6905,ARG1,Testing,2024,0.0,0.02475928308138115,0.0
6,F. Mac Allister,Argentinos Juniors,Argentinos Juniors,DMF,DMF,7,29,325000,2026-12-31,16,1170,Argentina,"Argentina, Italy",right,176,71,no,10.69,5.770338000000001,2.693924,5.997816,ARG1,Testing,2024,0.9038312125875158,0.9943412806582518,0.9484480519857429
7,K. Ortíz,Rosario Central,Rosario Central,"RDMF, RCMF, LCMF",RDMF,7,24,0,,18,1244,Argentina,Argentina,right,176,70,no,11.65,5.354692,2.386665,3.3252,ARG1,Testing,2024,0.6820829949210413,0.6592070446480586,0.6665166150187054
8,G. Pérez,Lanús,Lanús,"LDMF, LCMF, RDMF",LDMF,7,23,500000,2027-12-31,19,1318,Uruguay,Uruguay,right,184,72,no,9.63,3.889944,1.636964,5.395320000000001,ARG1,Testing,2024,0.5699969018240594,0.5360530405285712,0.5474222204967837
9,U. Ortegoza,Talleres Córdoba,Talleres Córdoba,"RDMF, DMF, LDMF",RDMF,7,27,1800000,2025-12-31,22,1342,Argentina,Argentina,right,180,80,no,10.19,5.632076000000001,0.8034180000000001,4.6275,ARG1,Testing,2024,0.5027818356817574,0.5176994739288816,0.5041016105027376
