Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Progressivos_Certos_Percentil,A,B,C,D,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,A1,B1,C1,D1,ID
9,L. Picco,ARG1,7,L. Picco,Platense,Platense,"DMF, RCMF, LDMF",DMF,7,25,450000,2025-12-31,22,1434,Argentina,Argentina,right,188,79,yes,16.13,8.099300999999999,2.06941,3.890223,ARG1,Testing,2023,1.0,1.0,1.0,97,97,74,35,16.13,8.099300999999999,2.06941,3.890223,2.342599730470314,2.782183985249127,0.649863100272546,-0.5003262957818747,0.9904250423844869,0.9973002789614959,0.7421096723989771,0.3084226706674533,BAC
10,K. Ortíz,ARG1,31,K. Ortíz,Rosario Central,Rosario Central,"RDMF, LDMF, LCMF",RDMF,7,23,0,,35,3150,Argentina,Argentina,right,176,70,no,15.49,7.597936,1.770762,2.997495,ARG1,Testing,2023,0.9595230837837716,0.9366081754898373,0.9480656296368046,94,94,61,12,15.49,7.597936,1.770762,2.997495,2.048906982102547,2.323836304285418,0.2412096521195733,-0.9815879285294993,0.9797643942621952,0.9899328654207343,0.5953036847881403,0.163151448446483,BAC
11,A. Moreno,ARG1,25,A. Moreno,Racing Club,Racing Club,"DMF, LDMF, LCMF",DMF,7,24,8000000,2025-12-31,25,2393,Argentina,Argentina,right,177,73,no,10.61,4.7752,1.655,7.707805,ARG1,Testing,2023,0.9536828507614499,0.9346777181949549,0.9441802844782026,35,43,46,89,10.61,4.7752,1.655,7.707805,-0.1905002242016889,-0.2567078094296985,0.08280731738073567,1.557697812869295,0.4244585837576698,0.3987021712400788,0.5329976246574315,0.9403475503884661,DCA
12,J. Rodríguez,ARG1,35,J. Rodríguez,Estudiantes,Estudiantes,"DMF, RCMF",DMF,7,28,3500000,2024-12-31,39,3589,Argentina,Argentina,right,179,80,no,10.58,4.084157,2.283819,8.898582000000001,ARG1,Testing,2023,0.942547067815702,0.9073150618007123,0.9249310648082072,33,20,84,92,10.58,4.084157,2.283819,8.898582000000001,-0.2042670717814277,-0.8884590415583971,0.9432485479066526,2.199634979910452,0.419072400180673,0.187146939215328,0.8272231066975999,0.9860835983470545,DCA
13,S. Moreyra,ARG1,4,S. Moreyra,Colón,Colón,"DMF, RCMF",DMF,7,22,50000,,23,1324,Argentina,Argentina,right,179,77,no,14.0,5.63952,2.242793,3.668337,ARG1,Testing,2023,0.9289950879355064,0.8743384571689866,0.9016667725522467,87,71,82,25,14.0,5.63952,2.242793,3.668337,1.365153552308835,0.5334531862731409,0.8871108327238157,-0.6199430420291521,0.9138976032908908,0.7031400456469149,0.8124903837942015,0.26764764345048,ACB
14,E. Pérez,ARG1,29,E. Pérez,River Plate,River Plate,"DMF, LDMF, RDMF",DMF,7,37,1500000,2023-12-31,33,2677,Argentina,Argentina,right,178,77,no,10.19,4.404028,2.048449,9.180024000000001,ARG1,Testing,2023,0.8760497412017318,0.9072865736945456,0.8916681574481389,30,23,71,94,10.19,4.404028,2.048449,9.180024000000001,-0.3832360903180369,-0.5960331022576024,0.6211812241952431,2.351357829920486,0.3507723603893728,0.2755765565652158,0.7327598041492849,0.9906474819347787,DCA
15,I. Miramón,ARG1,14,I. Miramón,Lille,Lille,"RDMF, DMF, RCMF",RDMF,7,20,3000000,2025-12-31,21,1874,Argentina,Argentina,right,173,68,no,11.81,5.669091999999999,1.202,6.004827000000001,ARG1,Testing,2023,0.9119308336840826,0.8522168734021464,0.8820738535431145,66,74,35,76,11.81,5.669091999999999,1.202,6.004827000000001,0.3601736789878777,0.5604878967564383,-0.537052892676913,0.6396376951029836,0.6406413716030236,0.7124266535490916,0.2956155394512815,0.7387959150043886,DBA
16,E. Méndez,ARG1,18,E. Méndez,Racing,Racing,"DMF, RCMF",DMF,7,34,200000,2023-12-31,25,2088,Argentina,Argentina,right,186,82,no,12.11,6.20496,3.707445,3.879211999999999,ARG1,Testing,2023,0.8785102165204273,0.8832949629770769,0.8809025897487521,71,87,97,30,12.11,6.20496,3.707445,3.879211999999999,0.4978421547852687,1.05037820641639,2.891259831358154,-0.5062622268137059,0.6907023494059034,0.8532278692616966,0.9980814962914294,0.3063362881759508,CBA
17,K. Gutiérrez,ARG1,19,K. Gutiérrez,Defensa y Justicia,Defensa y Justicia,"DMF, RDMF, LDMF",DMF,7,26,5500000,2025-12-31,24,2114,Argentina,Argentina,right,168,65,no,11.79,5.748204,0.128,6.638636,ARG1,Testing,2023,0.8753392264152633,0.8360374460793906,0.8556883362473271,64,76,0,84,11.79,5.748204,0.128,6.638636,0.3509957806013843,0.6328120552764817,-2.00665524499902,0.9813184244966385,0.6372042430656852,0.7365718083094301,0.02239319227286502,0.8367821301296986,DBA
18,J. Chicco,ARG1,0,J. Chicco,Leganés,Leganés,"DMF, LCMF, LDMF",DMF,7,25,425000,2023-12-31,18,1049,Argentina,"Argentina, Italy",right,187,79,no,10.98,4.463608000000001,2.575,6.516509999999999,ARG1,Testing,2023,0.8852480018544264,0.8229918040536482,0.8541199029540374,48,25,92,82,10.98,4.463608000000001,2.575,6.516509999999999,-0.02070910405157221,-0.5415650902667015,1.341684565179934,0.9154813966886873,0.4917388532976696,0.2940590731250713,0.9101508531587514,0.8200305178185541,CDA
