Posição,Função
Goleiro,Goleiro
Goleiro,Goleiro-Líbero
Lateral,Lateral Equilibrado
Lateral,Lateral Ofensivo
Lateral,Lateral Defensivo
Zagueiro,Zagueiro Equilibrado
Zagueiro,Zagueiro Construtor
Zagueiro,Zagueiro Defensivo
Primeiro Volante,Primeiro Volante Equilibrado
Primeiro Volante,Primeiro Volante Construtor
Primeiro Volante,Primeiro Volante Defensivo
Segundo Volante,Segundo Volante Equilibrado
Segundo Volante,Segundo Volante Box to Box
Segundo Volante,Segundo Volante Organizador
Meia,Meia Atacante
Meia,Meia Organizador
Extremo,Extremo Agudo
Extremo,Extremo Organizador
Extremo,Extremo Tático
Atacante,Atacante Referência
Atacante,Atacante Móvel
Atacante,Segundo Atacante
