Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Passes_EntreLinhas_Certos_LM,Passes_Chave_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Passes_Chave_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Passes_Chave_Percentil
10,0.399945,0.474124,0.473564,0.491977,0.328137,0.480769,0.767372,0.450774,0.268196,0.443787,0.743898,R. Garro,Corinthians,Corinthians,"AMF, CF",AMF,9,26,0,2027-12-31,23,1913,Argentina,"Argentina, Italy",left,174,70,no,ARG1,Testing,2024,Meia Organizador,1.0,1,13,92,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,1.0,2,1,4,8,1.0,1.0,2,6.0,1.0,92,84,92,69,38,92,92,84,53,92
8,0.191046,0.242592,0.244817,0.660515,0.690699,0.25,0.377644,0.203572,0.385764,0.159763,0.709609,R. Botta,Talleres Córdoba,Talleres Córdoba,"AMF, RCMF",AMF,9,34,0,2024-12-31,18,1656,Argentina,"Argentina, Italy",left,177,74,no,ARG1,Testing,2024,Meia Organizador,0.945,2,13,84,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,9.0,8,6,1,1,7.0,7.0,9,3.0,9.0,30,38,53,92,92,46,46,30,76,30
11,0.182969,0.232735,0.237234,0.648621,0.61305,0.326923,0.52568,0.288999,0.242006,0.278107,0.70695,H. López,SJ Earthquakes,SJ Earthquakes,AMF,AMF,9,23,0,2026-12-31,24,2117,Argentina,Argentina,left,169,67,no,ARG1,Testing,2024,Meia Organizador,0.94,3,13,76,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,10.0,10,7,2,2,5.0,4.0,4,7.0,5.0,23,23,46,84,84,61,69,69,46,61
7,0.099502,0.25163,0.226059,0.647487,0.519458,0.365385,0.34139,0.274389,0.179369,0.147929,0.640003,J. Paradela,Necaxa,Necaxa,"AMF, RW, RAMF",AMF,9,25,0,2025-12-31,18,1431,Argentina,Argentina,left,179,71,yes,ARG1,Testing,2024,Meia Organizador,0.832,4,13,69,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,12.0,7,8,3,3,3.0,9.0,5,10.0,11.0,7,46,38,76,76,76,30,61,23,15
6,0.226113,0.419032,0.387153,0.460613,0.351046,0.384615,0.60423,0.260299,0.474532,0.35503,0.609291,C. Aquino,Vélez Sarsfield,Vélez Sarsfield,"AMF, LW",AMF,9,32,1500000,,16,1352,Argentina,Argentina,right,173,70,no,ARG1,Testing,2024,Meia Organizador,0.782,5,13,61,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,6.0,3,2,5,7,2.0,2.0,6,2.0,2.0,53,76,84,61,46,84,84,53,84,84
2,0.195039,0.653935,0.334281,0.457603,0.395331,0.134615,0.287009,0.465175,0.306957,0.153846,0.587321,M. Lanzini,River Plate,River Plate,"AMF, LAMF, LCMF",AMF,9,31,0,2024-06-30,15,1046,Argentina,"Argentina, Italy",right,170,69,no,ARG1,Testing,2024,Meia Organizador,0.747,6,13,53,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,8.0,1,3,6,4,10.0,10.0,1,5.0,10.0,38,92,76,53,69,23,23,92,61,23
9,0.227102,0.237881,0.256561,0.414823,0.391972,0.192308,0.383686,0.209146,0.312615,0.230769,0.463612,B. Rollheiser,Benfica,Benfica,"AMF, RWF, CF",AMF,9,24,0,2025-06-30,23,1842,Argentina,Argentina,left,172,75,yes,ARG1,Testing,2024,Meia Organizador,0.547,7,13,46,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,5.0,9,5,7,5,8.5,6.0,8,4.0,7.0,61,30,61,46,61,34,53,38,69,46
1,0.216577,0.273327,0.222928,0.264238,0.225386,0.269231,0.404834,0.19311,0.47645,0.284024,0.343528,R. Carrera,Lanús,Lanús,"AMF, LW, LCMF",AMF,9,30,0,2025-12-31,13,942,Argentina,Argentina,right,182,70,no,ARG1,Testing,2024,Meia Organizador,0.353,8,13,38,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,7.0,6,9,9,10,6.0,5.0,10,1.0,4.0,46,53,30,30,23,53,61,23,92,69
3,0.065282,0.117243,0.120515,0.407827,0.362959,0.096154,0.247734,0.101404,0.116732,0.289941,0.336083,F. Colidio,River Plate,River Plate,"AMF, CF, LAMF",AMF,9,24,0,2025-12-31,21,1098,Argentina,"Argentina, Italy",right,180,76,no,ARG1,Testing,2024,Meia Organizador,0.341,9,13,30,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,13.0,12,13,8,6,13.0,12.0,12,11.0,3.0,0,7,0,38,53,0,7,7,15,76
12,0.27742,0.21223,0.200465,0.258104,0.237817,0.346154,0.537764,0.15723,0.238536,0.260355,0.334935,V. Malcorra,Rosario Central,Rosario Central,AMF,AMF,9,36,0,,27,2427,Argentina,Argentina,left,170,74,no,ARG1,Testing,2024,Meia Organizador,0.339,10,13,23,0.218296,0.292416,0.254973,0.402345,0.347779,0.251479,0.405996,0.250223,0.260102,0.224852,3.0,11,10,10,9,4.0,3.0,11,8.0,6.0,76,15,23,23,30,69,76,15,38,53
