Unnamed: 0,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Acelerações_LM,Passes_Longos_Recebidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_Chave_LM,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,Passes_Longos_Recebidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_Chave_Rank,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,Passes_Longos_Recebidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_Chave_Percentil
18,0.611667,0.399719,0.662986,0.054726,0.52164,0.264706,0.601363,0.05769,0.421875,0.407925,0.210526,0.589235,0.470588,0.63281,J. Campaz,Rosario Central,Rosario Central,"LAMF, AMF",LAMF,10,26,0,2026-12-31,12,821,Colombia,Colombia,left,165,65,no,ARG1,Testing,2026,Extremo Agudo,0.633,1,45,97,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,2,4.0,1.0,40.0,10.0,14.0,1.0,33.0,2.0,4.0,8.0,1.0,2.0,95,91,97,11,77,68,97,26,95,91,82,97,95
17,0.268074,0.443198,0.156835,0.223881,0.510251,0.397059,0.461321,0.236834,0.359375,0.393939,0.215311,0.223796,0.59893,0.610618,M. Pellegrini,Vélez Sarsfield,Vélez Sarsfield,"RAMF, LAMF",RAMF,10,26,2200000,2026-12-31,12,801,Argentina,Argentina,right,176,68,no,ARG1,Testing,2026,Extremo Agudo,0.611,2,45,95,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,31,3.0,36.0,21.0,11.0,3.0,5.0,9.0,4.0,5.0,7.0,19.0,1.0,31,93,20,53,75,93,88,80,91,88,84,57,97
15,0.367904,0.2777,0.206212,0.507463,0.451025,0.176471,0.203736,0.149999,0.375,0.48951,0.253589,0.342776,0.44385,0.514098,J. Palacios,Unión Santa Fe,Unión Santa Fe,"RW, LW",RW,10,27,450000,2026-12-31,17,1412,Argentina,Argentina,right,169,68,no,ARG1,Testing,2026,Extremo Agudo,0.514,3,45,93,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,15,22.5,29.0,2.0,18.0,25.5,29.0,14.0,3.0,1.0,3.0,3.0,3.0,66,50,35,95,60,43,35,68,93,97,93,93,93
29,0.28714,0.323983,0.30888,0.40796,0.599089,0.323529,0.326051,0.281249,0.171875,0.261072,0.08134,0.31728,0.272727,0.498546,F. Perez,Estudiantes,Estudiantes,"LW, RAMF, AMF",LW,10,20,0,2027-12-31,15,883,Argentina,Argentina,right,180,0,no,ARG1,Testing,2026,Extremo Agudo,0.499,4,45,91,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,27,13.0,14.0,4.0,6.5,7.0,12.0,4.0,22.5,15.0,31.5,7.5,17.0,40,71,68,91,85,84,73,91,50,66,30,83,62
11,0.509554,0.374474,0.429,0.179104,0.599089,0.191176,0.38206,0.0,0.328125,0.473193,0.191388,0.339943,0.320856,0.484014,E. Cetré,Estudiantes,Estudiantes,"LAMF, LW, RAMF",LAMF,10,28,3500000,2028-12-31,13,753,Colombia,Colombia,right,171,79,no,ARG1,Testing,2026,Extremo Agudo,0.484,5,45,88,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,6,6.0,6.0,25.0,6.5,22.5,8.0,40.0,6.5,2.0,11.0,4.0,12.0,86,86,86,44,85,50,82,11,85,95,75,91,73
19,0.365893,0.467041,0.308211,0.402985,0.667426,0.338235,0.373064,0.100004,0.234375,0.214452,0.097289,0.288952,0.272727,0.453329,J. Córdoba,Instituto,Instituto,"RWF, RW",RWF,11,25,700000,2028-06-30,12,884,Colombia,Colombia,right,183,77,yes,ARG1,Testing,2026,Extremo Agudo,0.453,6,45,86,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,16,1.0,15.0,5.5,2.0,5.0,9.0,18.5,14.5,21.5,25.0,11.0,17.0,64,97,66,87,95,88,80,58,67,52,44,75,62
13,0.0,0.377279,0.0,0.174129,0.626424,0.205882,0.238666,0.449998,0.171875,0.16317,0.070175,0.147309,0.235294,0.447913,T. Conechny,Racing Club,Racing Club,"LWF, CF, LW",LWF,11,28,4500000,2029-12-31,18,1034,Argentina,"Argentina, Poland",left,176,65,no,ARG1,Testing,2026,Extremo Agudo,0.448,7,45,84,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,45,5.0,45.0,26.0,3.5,20.5,22.0,2.0,22.5,33.0,36.5,30.0,22.0,0,88,0,42,92,54,51,95,50,26,18,33,51
27,0.420056,0.454418,0.433193,0.263682,0.428246,0.294118,0.336781,0.07143,0.203125,0.270396,0.133971,0.17847,0.395722,0.434335,I. Subiabre,River Plate,River Plate,"LAMF, LW, RAMF",LAMF,10,19,0,2028-12-31,17,857,Argentina,"Argentina, Chile",left,171,61,no,ARG1,Testing,2026,Extremo Agudo,0.434,8,45,82,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,12,2.0,5.0,20.0,22.0,11.0,11.0,32.0,18.5,13.5,18.5,26.0,6.5,73,95,88,55,51,75,75,28,58,70,58,42,85
20,0.39347,0.308555,0.209817,0.149254,0.43508,0.352941,0.557052,0.115379,0.28125,0.331002,0.290271,0.144476,0.160428,0.430279,H. López,Argentinos Juniors,Argentinos Juniors,"RWF, CF, RAMF",RWF,11,25,0,2026-12-31,14,888,Argentina,Argentina,left,169,67,yes,ARG1,Testing,2026,Extremo Agudo,0.43,9,45,80,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,14,17.0,28.0,28.5,20.0,4.0,2.0,17.0,11.5,8.0,1.0,31.0,32.0,68,62,37,36,55,91,95,62,74,82,97,31,28
35,0.505984,0.314165,0.353923,0.288557,0.555809,0.102941,0.106705,0.124994,0.34375,0.298368,0.259968,0.263456,0.438503,0.430259,J. Fernández,Rosario Central,Rosario Central,"RAMF, LW, LAMF",RAMF,10,22,0,2027-12-31,11,773,Argentina,Argentina,left,183,73,yes,ARG1,Testing,2026,Extremo Agudo,0.43,10,45,77,0.326609,0.262677,0.253783,0.226313,0.405518,0.212092,0.263286,0.122588,0.195139,0.231391,0.126918,0.210639,0.235413,7,15.0,11.0,18.0,9.0,40.0,43.0,16.0,5.0,10.0,2.0,15.0,4.0,84,66,75,60,80,11,4,64,88,77,95,66,91
