Unnamed: 0,Duelos_Ganhos,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Interceptações_Ajustadas_a_Posse,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ganhos_LM,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Interceptações_Ajustadas_a_Posse_LM,Duelos_Ganhos_Rank,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Interceptações_Ajustadas_a_Posse_Rank,Duelos_Ganhos_Percentil,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Interceptações_Ajustadas_a_Posse_Percentil
29,0.648294,0.653505,0.635116,0.488699,0.71474,0.850413,F. Román,Aldosivi,Aldosivi,"LB, LCB",LB,1,27.0,700000,2026-12-31,15,1136,Paraguay,Paraguay,left,180,76,no,ARG1,Testing,2026,Lateral Defensivo,0.85,1,65,98,0.473688,0.499585,0.496482,0.261936,0.482095,8.0,11.0,13.0,4.0,2.0,87,83,80,93,96
16,0.691654,0.654311,0.66624,0.278712,0.57158,0.817122,E. Coronel,Rosario Central,Rosario Central,"RB, RCB",RB,1,29.0,2500000,2026-12-31,14,1092,Argentina,Argentina,right,173,72,no,ARG1,Testing,2026,Lateral Defensivo,0.817,2,65,96,0.473688,0.499585,0.496482,0.261936,0.482095,5.0,10.0,10.0,25.0,19.0,92,84,84,61,70
54,0.54319,0.746172,0.733412,0.153942,0.625663,0.816099,T. Silva,Platense,Platense,LB,LB,1,23.0,0,2028-12-31,13,1276,Argentina,Argentina,left,175,67,no,ARG1,Testing,2026,Lateral Defensivo,0.816,3,65,95,0.473688,0.499585,0.496482,0.261936,0.482095,22.0,1.0,6.0,52.0,12.0,66,98,90,20,81
62,0.583044,0.682514,0.783576,0.200029,0.630965,0.802184,E. Cannavo,Racing Club,Racing Club,RB,RB,1,24.0,300000,2026-12-31,13,1253,Argentina,Argentina,right,181,69,yes,ARG1,Testing,2026,Lateral Defensivo,0.802,4,65,93,0.473688,0.499585,0.496482,0.261936,0.482095,14.0,6.0,5.0,39.0,10.0,78,90,92,40,84
39,0.65668,0.702659,0.797192,0.224903,0.466596,0.790423,P. Ramírez,Deportivo Riestra,Deportivo Riestra,"LB, RB, LWB",LB,1,26.0,350000,2028-12-31,11,955,Argentina,Argentina,right,175,76,no,ARG1,Testing,2026,Lateral Defensivo,0.79,5,65,92,0.473688,0.499585,0.496482,0.261936,0.482095,7.0,4.0,4.0,34.0,38.0,89,93,93,47,41
37,0.56771,0.693795,0.707701,0.312653,0.579003,0.785274,M. Weigandt,Boca Juniors,Boca Juniors,RB,RB,1,26.0,1800000,2027-12-31,11,860,Argentina,Argentina,right,175,75,no,ARG1,Testing,2026,Lateral Defensivo,0.785,6,65,90,0.473688,0.499585,0.496482,0.261936,0.482095,18.0,5.0,7.0,21.0,18.0,72,92,89,67,72
46,0.428097,0.65834,0.364642,0.432635,0.831389,0.783454,A. Maidana,Talleres Córdoba,Talleres Córdoba,LB,LB,1,20.0,0,2029-12-31,9,786,Paraguay,Paraguay,unknown,173,0,no,ARG1,Testing,2026,Lateral Defensivo,0.783,7,65,89,0.473688,0.499585,0.496482,0.261936,0.482095,40.0,8.0,50.0,9.0,1.0,38,87,23,86,98
61,0.62165,0.709911,0.801813,0.116007,0.510074,0.777495,A. Benítez,Belgrano,Belgrano,"RB, RW, RWB",RB,1,23.0,0,2029-12-31,16,1082,Paraguay,Paraguay,right,168,60,no,ARG1,Testing,2026,Lateral Defensivo,0.777,8,65,87,0.473688,0.499585,0.496482,0.261936,0.482095,10.0,3.0,3.0,59.0,29.0,84,95,95,9,55
12,0.764796,0.652699,0.839527,0.321965,0.271474,0.771967,A. Méndez,Newell's Old Boys,Newell's Old Boys,RB,RB,1,30.0,1200000,2029-12-31,14,1280,Uruguay,Uruguay,right,176,73,no,ARG1,Testing,2026,Lateral Defensivo,0.772,9,65,86,0.473688,0.499585,0.496482,0.261936,0.482095,2.0,12.0,2.0,19.0,63.0,96,81,96,70,3
55,0.454956,0.742143,0.637691,0.299512,0.651113,0.767255,V. Moreno,Tigre,Tigre,RB,RB,1,23.0,0,2028-12-31,9,778,Argentina,Argentina,right,173,0,no,ARG1,Testing,2026,Lateral Defensivo,0.767,10,65,84,0.473688,0.499585,0.496482,0.261936,0.482095,36.0,2.0,12.0,23.0,8.0,44,96,81,64,87
24,0.617853,0.554392,0.529658,0.482619,0.711559,0.760753,E. Giménez,Rosario Central,Rosario Central,"RB, RAMF, RWB",RB,1,28.0,600000,2027-12-31,17,1559,Paraguay,Paraguay,right,177,70,no,ARG1,Testing,2026,Lateral Defensivo,0.761,11,65,83,0.473688,0.499585,0.496482,0.261936,0.482095,11.0,21.0,29.0,5.0,3.0,83,67,55,92,95
47,0.69761,0.618856,0.576585,0.216948,0.538706,0.753216,J. Russo,Newell's Old Boys Res.,Newell's Old Boys,LB,LB,1,21.0,0,2029-12-31,13,824,Argentina,Argentina,left,0,0,no,ARG1,Testing,2026,Lateral Defensivo,0.753,12,65,81,0.473688,0.499585,0.496482,0.261936,0.482095,4.0,14.0,22.0,37.0,23.0,93,78,66,43,64
30,0.644555,0.531023,0.595074,0.401698,0.658537,0.737282,L. Lozano,Argentinos Juniors,Argentinos Juniors,RB,RB,1,27.0,2000000,2027-12-31,14,1383,Uruguay,Uruguay,right,170,60,no,ARG1,Testing,2026,Lateral Defensivo,0.737,13,65,80,0.473688,0.499585,0.496482,0.261936,0.482095,9.0,24.5,18.0,12.0,7.0,86,62,72,81,89
56,0.454433,0.636583,0.527869,0.253502,0.660657,0.737196,M. De Ritis,San Lorenzo,San Lorenzo,"LB, LWB",LB,1,23.0,0,2026-12-31,13,987,Uruguay,Uruguay,left,183,79,no,ARG1,Testing,2026,Lateral Defensivo,0.737,14,65,78,0.473688,0.499585,0.496482,0.261936,0.482095,37.0,13.0,30.0,30.0,6.0,43,80,53,53,90
