Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Sucesso em desarmes (%),Posses recuperadas (p90),Ações defensivas (p90),Sucesso em 1v1 defensivo (%)
BRA1,2024,20938.0,Thiago Heleno,Athletico Paranaense,2544.0,DC,Zagueiro,Zagueiro,0.1258687416558359,-1.1184001033433622,-0.7389121234508655,-1.170278176387497
BRA1,2024,27586.0,David Luiz,Flamengo,1930.0,DC,Zagueiro,Zagueiro,0.0089808762788434,-1.1331509386630638,-0.7408666951002977,0.0636153781420742
BRA1,2024,27763.0,Titi,Fortaleza,2274.0,DC,Zagueiro,Zagueiro,1.2266558568146746,-1.2035062828542185,-1.6578063107293577,1.245178685504809
BRA1,2024,28550.0,Thiago Silva,Fluminense,1512.0,DC,Zagueiro,Zagueiro,-2.288102464857312,0.2423974211171457,0.221437345540304,-1.3189629253944066
BRA1,2024,35689.0,Gabriel Mercado,Internacional,1353.0,DC,Zagueiro,Zagueiro,-2.363541487677985,-0.1214563872717367,-0.8249803894064073,-2.3324627232749435
BRA1,2024,43931.0,Maicon,Vasco da Gama,2632.0,DC,Zagueiro,Zagueiro,-1.2771907136662586,-0.5476777244295465,-0.1432703991900498,-0.6026165427377763
BRA1,2024,75550.0,Manoel,Fluminense,1178.0,DC,Zagueiro,Zagueiro,-1.0592434320430235,-1.1026896319050057,-1.1869085946454117,-1.3399155637148727
BRA1,2024,97262.0,Rodrigo Ely,Gremio,1893.0,DC,Zagueiro,Zagueiro,-0.4719557660772442,-0.8143970111538714,-0.0640121607546409,0.2858042543211436
BRA1,2024,98101.0,André Ramalho,Corinthians,1706.0,DC,Zagueiro,Zagueiro,0.7150636763817174,0.2068176437799912,-0.0568537413551325,0.4471881527946332
BRA1,2024,101478.0,Bruno Alves,Cuiaba,2379.0,DC,Zagueiro,Zagueiro,0.0613364471742627,-1.838882863619652,-1.7125694288472255,-1.2125047917862075
BRA1,2024,102254.0,Walisson Maia,Criciuma,1101.0,DC,Zagueiro,Zagueiro,0.551945862135687,-1.0975428194122607,-1.1479387438138169,0.0799150317993926
BRA1,2024,103383.0,Gustavo Gómez,Palmeiras,2687.0,DC,Zagueiro,Zagueiro,0.8474132634120216,-0.5317172193410842,0.2144701907666005,1.9118860599316696
BRA1,2024,114164.0,Antônio Carlos,Fluminense,1229.0,DC,Zagueiro,Zagueiro,-0.9104018468799214,0.7719776370017815,2.3743870763751715,-0.6952823837813792
BRA1,2024,114595.0,Gustavo Henrique,Corinthians,1667.0,DC,Zagueiro,Zagueiro,-1.018721627171139,-0.4364979550537977,-0.1457425712476152,-1.749239867176004
