Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,(Gols - xG),xGOT (xG no alvo) (p90),Conversão de finalizações (%),Gols (p90)
BRA1,2024,16886.0,Hulk,Atletico MG,2096.0,FW,Atacante,Atacante,-0.0322717156310676,0.1047232836818371,-0.8730369167050351,0.2887592421564514
BRA1,2024,69844.0,Yannick Bolasie,Criciuma,2620.0,FW,Atacante,Atacante,-0.0784359819403478,1.35545413493426,0.0386720764966694,0.8953305751871984
BRA1,2024,73494.0,Martin Braithwaite,Gremio,1587.0,FW,Atacante,Atacante,1.1196138498673958,2.897689185770465,1.2996428335048114,3.350156530254409
BRA1,2024,83895.0,Enner Valencia,Internacional,1105.0,FW,Atacante,Atacante,-0.1523934540044843,-0.9725427607435964,-0.8894474775452079,-0.8487384341278145
BRA1,2024,92032.0,Eduardo Sasha,Red Bull Bragantino,2233.0,FW,Atacante,Atacante,1.2261736343083405,-0.2554706917908577,0.5278086876721851,0.7111841719861174
BRA1,2024,101698.0,Gilberto,Juventude,1236.0,FW,Atacante,Atacante,-0.3172786572441714,-0.9261051565439976,-0.799983255923457,-0.7560441884087511
BRA1,2024,106118.0,Gonzalo Mastriani,Athletico Paranaense,999.0,FW,Atacante,Atacante,-0.0222187135991856,0.6370908282393457,1.369301871942539,0.3906671970069946
BRA1,2024,107182.0,Pablo,Athletico Paranaense,1888.0,FW,Atacante,Atacante,-0.3555474750962286,-1.0712818151500234,-1.2525696769626038,-0.9359616077413296
BRA1,2024,108660.0,Everaldo,Bahia,2226.0,FW,Atacante,Atacante,0.0705904095173571,-0.3686134928699923,0.4475277368943793,-0.2319560117989468
BRA1,2024,121496.0,Eduardo,Botafogo RJ,934.0,FW,Atacante,Atacante,0.7027016580076156,-1.491469438197199,-0.2970349723296523,-0.0355737357185688
BRA1,2024,130508.0,Arthur Caíke,Criciuma,1889.0,FW,Atacante,Atacante,-0.3716934921549992,-0.1599044105872032,-0.502901885844286,0.0939993984706194
BRA1,2024,133445.0,Jonathan Calleri,Sao Paulo,2273.0,FW,Atacante,Atacante,-0.0708424233066184,-1.1511404625784305,0.172785312018515,-0.3719948580942117
BRA1,2024,135641.0,Deyverson,Cuiaba,1412.0,FW,Atacante,Atacante,0.4831493008343064,-0.3407972748790086,0.341604423099801,-0.2111665045394449
BRA1,2024,145777.0,Rafael Borré,Internacional,2049.0,FW,Atacante,Atacante,-0.9372068812811162,2.1942959431464364,1.1733052473136492,1.2300546876802585
BRA1,2024,228061.0,Ángel Romero,Corinthians,1636.0,FW,Atacante,Atacante,1.0363506242503515,-0.5552413012139507,-0.1072568540921811,0.8337691201091165
BRA1,2024,296479.0,Renato Kayzer,Fortaleza,1369.0,FW,Atacante,Atacante,-1.2107059363861556,0.067170298811046,-0.9130498092363653,-0.3353401849130989
BRA1,2024,298449.0,Thaciano,Bahia,2517.0,FW,Atacante,Atacante,0.6457127234965762,-0.6408743495478412,0.352963193153811,-0.3561063865793955
BRA1,2024,303689.0,Pablo Vegetti,Vasco da Gama,3338.0,FW,Atacante,Atacante,0.9905003327785216,0.3226996630152288,0.5872757755258798,0.8731084457395669
BRA1,2024,303995.0,Juan Lucero,Fortaleza,2478.0,FW,Atacante,Atacante,1.1173820387097535,-1.0637055748326414,-0.1939124082919294,-0.0790042246603066
BRA1,2024,315587.0,Lucas Di Yorio,Athletico Paranaense,931.0,FW,Atacante,Atacante,-0.3510620201833448,1.346910804868682,-0.1621153611843394,-0.0121992209420319
BRA1,2024,318475.0,Pedro,Flamengo,1857.0,FW,Atacante,Atacante,-0.1906418869614851,0.9833473340796832,1.8446119668306509,0.1121683628422657
BRA1,2024,322788.0,Tiquinho Soares,Botafogo RJ,1525.0,FW,Atacante,Atacante,-0.7692760006109448,-0.1261792173165614,-0.3934229448207857,-1.0104668984363216
