País,Código,Liga,Divisão
Argentina,ARG1,Liga Profesional de Fútbol,1
Argentina,ARG2,Primera Nacional,2
Austrália,AUS,A-League,1
Áustria,AUT,Bundesliga,1
Bélgica,BEL1,Jupiler Pro League,1
Bélgica,BEL2,Challenger Pro League,2
Bolívia,BOL,LFPB,1
Brasil,BRA1,Serie A,1
Brasil,BRA2,Serie B,2
Brasil,BRA3,Serie C,3
Bulgária,BUL,First League,1
Canada,CAN,Canadian Premier League,1
Chile,CHI,Primera División,1
China,CHN,Chinese Super League,1
Colômbia,COL,Liga Bet Play,1
Costa Rica,CRC,Primera División,1
Croácia,CRO,HNL,1
Rep Tcheca,CZH,Fortuna Liga,1
Dinamarca,DEN,Superliga,1
Equador,ECU,Liga Pro,1
Inglaterra,ENG1,EPL,1
Inglaterra,ENG2,Championship,2
Finlândia,FIN,Veikkausliiga,1
França,FRA1,Ligue 1,1
França,FRA2,Ligue 2,2
Georgia,GEO,Erovnuli Liga,1
Alemanha,GER1,Bundesliga,1
Alemanha,GER2,Bundesliga 2,2
Grécia,GRE,Super League,1
Holanda,HOL,Eredivisie,1
Índia,IND,Indian Super League,1
Indonésia,INDO,Liga 1,1
Itália,ITA1,Serie A,1
Itália,ITA2,Serie B,2
Japão,JAP,J League,1
Coréia,KOR,K League,1
México,MEX,Liga MX,1
Marrocos,MOR,Botola Pro,1
Noruega,NOR,Eliteserien,1
Paraguay,PAR,Division Profesional,1
Peru,PER,Primera División,1
Polônia,POL,Ekstraklasa,1
Portugal,POR1,Primeira Liga,1
Portugal,POR2,Segunda Liga,2
Qatar,QAT,Qatar Stars League,1
Romênia,ROM,Superliga,1
Rússia,RUS,Premier League,1
Arábia Saudita,SAUD,Pro League,1
Escócia,SCT,Premiership,1
Sérvia,SER,Super Liga,1
Espanha,SPA1,La Liga,1
Espanha,SPA2,Segunda División,2
Suécia,SWE,Allsvenskan,1
Suiça,SWZ,Super League,1
Turquia,TUR,Süper Lig,1
Emirados Árabes Unidos,UAE,Arabian Gulf League,1
Ucrânia,UKR,VBET League,1
Uruguay,URU,Primera División,1
EUA,USA,MLS,1
Uzbequistão,UZB,Super League,1
Venezuela,VEN,Primera División,1
