Atleta,Código_Posição_Wyscout,Minutos,Liga,Versão_Temporada,Posição
A. Bonetig,4,594,AUS,2025,Zagueiro
A. Cáceres,7,615,AUS,2025,Primeiro Volante
A. McCalmont,8,594,AUS,2025,Segundo Volante
A. Paulsen,0,592,AUS,2025,Goleiro
A. Popovic,4,615,AUS,2025,Zagueiro
A. Redmayne,0,570,AUS,2025,Goleiro
A. Rufer,7,588,AUS,2025,Primeiro Volante
A. Šušnjar,4,592,AUS,2025,Zagueiro
A. Taggart,12,675,AUS,2025,Atacante
A. Thurgate,8,677,AUS,2025,Segundo Volante
B. Borrello,12,552,AUS,2025,Atacante
B. Hamill,4,679,AUS,2025,Zagueiro
B. Kaltak,4,594,AUS,2025,Zagueiro
B. Warland,4,589,AUS,2025,Zagueiro
C. Shamoon,1,573,AUS,2025,Lateral
D. Hall,4,592,AUS,2025,Zagueiro
D. Ingham,1,555,AUS,2025,Lateral
D. Peraic-Cullen,0,594,AUS,2025,Goleiro
D. Pierias,1,595,AUS,2025,Lateral
E. Adams,10,576,AUS,2025,Extremo
E. Alagich,7,595,AUS,2025,Primeiro Volante
F. De Vries,1,557,AUS,2025,Lateral
F. Gallegos,8,541,AUS,2025,Segundo Volante
F. Kurto,0,684,AUS,2025,Goleiro
G. Cléùr,1,504,AUS,2025,Lateral
G. May,12,547,AUS,2025,Atacante
H. Ibusuki,12,650,AUS,2025,Atacante
H. Ishige,12,531,AUS,2025,Atacante
H. Steele,8,542,AUS,2025,Segundo Volante
I. Hughes,4,588,AUS,2025,Zagueiro
I. Vujica,1,603,AUS,2025,Lateral
J. Barnett,7,540,AUS,2025,Primeiro Volante
J. Courtney-Perkins,1,574,AUS,2025,Lateral
J. Delianov,0,595,AUS,2025,Goleiro
J. Duncan,0,679,AUS,2025,Goleiro
J. Geria,1,679,AUS,2025,Lateral
J. Oluwayemi,0,588,AUS,2025,Goleiro
J. O'Shea,8,589,AUS,2025,Segundo Volante
J. Valadon,7,669,AUS,2025,Primeiro Volante
K. Adamson,1,650,AUS,2025,Lateral
K. Barbarouses,12,557,AUS,2025,Atacante
K. Bos,1,585,AUS,2025,Lateral
K. Grozos,8,592,AUS,2025,Segundo Volante
K. Jelacic,10,548,AUS,2025,Extremo
K. Nagasawa,8,515,AUS,2025,Segundo Volante
K. Trewin,4,590,AUS,2025,Zagueiro
L. Barr,4,581,AUS,2025,Zagueiro
L. Brattan,8,684,AUS,2025,Segundo Volante
L. Cangá,4,628,AUS,2025,Zagueiro
L. Gillion,10,531,AUS,2025,Extremo
L. Mauragis,1,582,AUS,2025,Lateral
L. Verstraete,8,500,AUS,2025,Segundo Volante
Léo Sena,7,523,AUS,2025,Primeiro Volante
M. Freke,0,589,AUS,2025,Goleiro
M. Jakoliš,10,630,AUS,2025,Extremo
M. Natta,4,575,AUS,2025,Zagueiro
M. Sheridan,4,510,AUS,2025,Zagueiro
M. Sutton,0,677,AUS,2025,Goleiro
Mikael Doka,10,594,AUS,2025,Extremo
N. Atkinson,1,544,AUS,2025,Lateral
N. Pijnaker,4,592,AUS,2025,Zagueiro
P. Beach,0,590,AUS,2025,Goleiro
P. Kikianis,4,575,AUS,2025,Zagueiro
P. Klimala,12,572,AUS,2025,Atacante
R. Danzaki,10,590,AUS,2025,Extremo
R. Grant,1,615,AUS,2025,Lateral
R. Kitto,1,595,AUS,2025,Lateral
R. Scott,0,592,AUS,2025,Goleiro
R. Teague,7,679,AUS,2025,Primeiro Volante
Roderick Miranda,4,546,AUS,2025,Zagueiro
S. Souprayen,4,583,AUS,2025,Zagueiro
S. Ugarković,8,582,AUS,2025,Segundo Volante
S. Wootton,4,588,AUS,2025,Zagueiro
T. Aquilina,10,571,AUS,2025,Extremo
T. Gomulka,8,664,AUS,2025,Segundo Volante
T. Russell,1,646,AUS,2025,Lateral
T. Uskok,4,582,AUS,2025,Zagueiro
T. Waddingham,12,532,AUS,2025,Atacante
V. Germain,12,673,AUS,2025,Atacante
Z. Machach,9,548,AUS,2025,Meia
