Atleta,Código_Posição_Wyscout,Liga,Versão_Temporada,Posição
P. Vegetti,12,BRA1,2023,Atacante
P. Vegetti,12,ARG1,2023,Atacante
A. Abang,12,UAE,2023,Atacante
A. Abdallah,1,FRA2,2023,Lateral
A. Abdellaoui,4,ALG,2023,Zagueiro
A. Abdi,1,FRA2,2023,Lateral
A. Abdijanović,11,AUT,2023,Extremo
A. Abdullaev,7,UZB,2023,Primeiro Volante
A. Abedzadeh,0,SPA2,2023,Goleiro
A. Abeid,1,ROM,2023,Lateral
A. Aberkille,10,MOR,2023,Extremo
A. Aboulfath,4,MOR,2023,Zagueiro
A. Abqar,4,SPA1,2023,Zagueiro
A. Abqar,4,SPA2,2023,Zagueiro
A. Abrahamsson,4,SWE,2023,Zagueiro
A. Abrashi,8,SWZ,2023,Segundo Volante
A. Aceves,1,USA,2023,Lateral
A. Achinioti-Jönsson,7,CAN,2023,Primeiro Volante
A. Adam,12,SAUD,2023,Atacante
A. Adamov,1,RUS,2023,Lateral
A. Adams,12,FRA1,2023,Atacante
A. Adams,12,NOR,2023,Atacante
A. Adelgaard,1,DEN,2023,Lateral
A. Ademi,8,CHN,2023,Segundo Volante
A. Ademi,7,CRO,2023,Primeiro Volante
A. Ademi,10,SWE,2023,Extremo
A. Adeshina,10,SER,2023,Extremo
A. Adli,11,GER1,2023,Extremo
A. Adomah,10,ENG2,2023,Extremo
A. Aganović,9,ROM,2023,Meia
A. Aguilar,0,PAR,2023,Goleiro
Á. Aguilar,4,CRC,2023,Zagueiro
A. Aguirre,4,ARG2,2023,Zagueiro
A. Aguirre,4,ARG2,2023,Zagueiro
A. Ahmed,8,USA,2023,Segundo Volante
A. Ahmedhodžić,4,ENG1,2023,Zagueiro
A. Ahmedhodžić,4,ENG2,2023,Zagueiro
A. Ajdini,12,SWZ,2023,Atacante
A. Ajeti,4,ROM,2023,Zagueiro
A. Akinyemi,12,CZH,2023,Atacante
A. Al Dakhil,4,ENG1,2023,Zagueiro
A. Al Salem,4,SAUD,2023,Zagueiro
