Atleta,Equipe_Janela_Análise,Código_Posição_Wyscout,Minutos,Liga,Versão_Temporada,Posição
A. Abang,Al Bataeh,12,1719,UAE,2024,Atacante
A. Abdallah,Rodez ,1,2740,FRA2,2024,Lateral
A. Abdi,Caen,1,3300,FRA2,2024,Lateral
A. Abdullaev,Khorfakkan,8,1966,UAE,2024,Segundo Volante
A. Abqar,Deportivo Alavés,4,2555,SPA1,2024,Zagueiro
A. Abrashi,Grasshopper,8,3009,SWZ,2024,Segundo Volante
A. Adamov,Orenburg,1,1283,RUS,2024,Lateral
A. Adams,Montpellier,12,2436,FRA1,2024,Atacante
A. Adelgaard,OB,1,1297,DEN,2024,Lateral
A. Ademi,Tianjin Tigers,10,2836,CHN,2024,Extremo
A. Adeshina,Novi Pazar,10,2121,SER,2024,Extremo
A. Adli,Bayer Leverkusen,11,1012,GER1,2024,Extremo
A. Aguerre,Lanús,0,993,ARG1,2024,Goleiro
A. Aguilar,Sportivo Luqueño,0,3602,PAR,2024,Goleiro
A. Ahmed,Vancouver Whitecaps,1,1670,USA,2024,Lateral
A. Ahmedhodžić,Sheffield United,4,3039,ENG1,2024,Zagueiro
A. Ahoussou,Pau,4,1882,FRA2,2024,Zagueiro
A. Ait El Hadj,Genk,11,905,BEL1,2024,Extremo
A. Ajdini,Stade Lausanne-Ouchy,12,2533,SWZ,2024,Atacante
A. Al Dakhil,Burnley,4,1183,ENG1,2024,Zagueiro
A. Alaniz,Racing,12,2325,URU,2024,Atacante
A. Alarcón,Patriotas Boyacá,4,2706,COL,2024,Zagueiro
A. Albarracín,Wanderers,10,1002,URU,2024,Extremo
A. Alcaraz,Guaraní,12,3042,PAR,2024,Atacante
A. Aldrete,Pumas UNAM,1,2357,MEX,2024,Lateral
A. Alfaro,Fénix,1,1726,URU,2024,Lateral
A. Alipour,Gil Vicente,12,912,POR1,2024,Atacante
A. Álvarez,Sportivo Luqueño,12,1213,PAR,2024,Atacante
A. Alvariño,Amazonas,4,2789,BRA2,2024,Zagueiro
A. Amado,Boston River,8,2685,URU,2024,Segundo Volante
A. Amenda,Young Boys,4,2110,SWZ,2024,Zagueiro
A. Anagnostopoulos,Kifissia,0,2260,GRE,2024,Goleiro
A. Andrade,LASK ,4,2934,AUT,2024,Zagueiro
A. Andrade,Necaxa,8,1042,MEX,2024,Segundo Volante
A. Angulo,Tolima,4,2996,COL,2024,Zagueiro
Á. Angulo,Atlético Nacional,1,2775,COL,2024,Lateral
A. Anselmino,Boca Juniors,4,977,ARG1,2024,Zagueiro
A. Antunes,Servette,9,2171,SWZ,2024,Meia
A. Aouchiche,Sunderland,9,1262,ENG2,2024,Meia
A. Appiah,Rotherham United,8,1008,ENG2,2024,Segundo Volante
