Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Participação,Pressão na linha alta,Impacto do passe,Criação de oportunidades,Drible,Efetividade,Ameaça ofensiva,rating,percentil,rank
BEL1,2022,4107.0,Christian Brüls,St.Truiden,2463.0,MC,Meio Campo,Segundo Volante,0.0085121172624713,0.0,0.1523293771728188,-0.1361582668509718,0.0873592878099606,0.1227708424733444,0.1593513404555483,0.512,62.0,41
BEL1,2022,19552.0,Lior Refaelov,Anderlecht,1475.0,MC,Meio Campo,Segundo Volante,-0.1584371895114794,0.0,0.5234467538477244,-0.0095862834128223,-0.1421488814779659,1.1733753731678611,0.3592144431166046,0.785,98.0,3
BEL1,2022,26875.0,Sven Kums,Gent,3458.0,MC,Meio Campo,Segundo Volante,0.0414372001512118,0.0,0.5744690260635076,-0.0821693496817206,-0.0594758367854852,0.1968537556649721,-0.0020731225333911,0.555,75.0,28
BEL1,2022,33085.0,Vadis Odjidja-Ofoe,Gent,1713.0,MC,Meio Campo,Segundo Volante,-0.0598386098426176,0.0,0.6969329140304177,-0.0271718829798273,0.5333437551805735,0.44076256917947,-0.078308415030407,0.724,95.0,6
BEL1,2022,34302.0,Nacer Chadli,Westerlo,1724.0,AMC,Meio Campo,Meia,0.1937897178011069,0.0,-0.11535805227946,-0.027867271740026,-0.1316830891566738,0.7992661850842491,0.0712314493863953,0.55,72.0,31
BEL1,2022,92586.0,Rob Schoofs,KV Mechelen,2460.0,MC,Meio Campo,Segundo Volante,-0.097360705747491,0.0,0.2973508194224745,0.3950838994087411,0.2262341442983868,0.1533779771164652,0.1218279927477983,0.657,88.0,14
BEL1,2022,93657.0,Hannes Van der Bruggen,Cercle Bruges,1362.0,MC,Meio Campo,Segundo Volante,0.0930015224871746,0.0,0.3468483851747526,-0.1361582668509718,0.1985101455026016,-0.1151990696786596,-0.2206304848199206,0.456,56.0,48
BEL1,2022,93937.0,Massimo Bruno,Kortrijk,1305.0,MC,Meio Campo,Segundo Volante,-0.1287056316533224,0.0,0.0412039996112796,0.2930225965312593,0.1907497634142717,-0.0323441910215583,0.1256700297437536,0.554,74.0,29
BEL1,2022,108491.0,Birger Verstraete,Royal Antwerp,1888.0,MC,Meio Campo,Segundo Volante,0.0045697774696661,0.0,-0.1829168922902902,0.0616104572711367,-0.0340145457458703,-0.6985617124034191,-0.2474344404149349,0.245,14.0,92
BEL1,2022,108659.0,Stef Peeters,Eupen,2913.0,MC,Meio Campo,Segundo Volante,-0.0472608739641382,0.0,0.7079561345173305,-0.1361582668509718,0.3010166851769242,-0.0211204612087008,0.167455068273023,0.626,84.0,18
BEL1,2022,113982.0,Dino Hotic,Cercle Bruges,2301.0,AMC,Meio Campo,Meia,-0.0096204459933965,0.0,0.2173890426584625,0.1883852804263346,-0.1275913445499513,0.7278045855508108,0.2276717907805986,0.664,90.0,12
BEL1,2022,115401.0,Casper Nielsen,Club Bruges,2829.0,MC,Meio Campo,Segundo Volante,0.0300186087704813,0.0,0.0979941784881423,0.3257914429400829,-0.2164390903758493,0.8965783263147802,0.2327565028440097,0.683,92.0,9
BEL1,2022,116569.0,Siebe Schrijvers,OH Leuven,1167.0,DMC,Meio Campo,Primeiro Volante,0.0582432448100891,0.0,0.3502338763846787,0.0238191757979318,0.2417030318758703,0.3926891136238473,0.2737670473602607,0.673,91.0,11
BEL1,2022,116690.0,Patrik Hrosovsky,Genk,3839.0,DMC,Meio Campo,Primeiro Volante,-0.0892502178205507,0.0,-0.1025160121571946,-0.0388966489446053,0.1968658476563019,-0.3171148613380945,-0.2455374220886402,0.351,34.0,71
BEL1,2022,118234.0,Andrew Hjulsager,Gent,1451.0,AMC,Meio Campo,Meia,-0.1487897223554028,0.0,0.5330786603822831,0.1211727814898559,-0.3840976916451422,1.0365093941589305,0.578096138322565,0.781,97.0,4
BEL1,2022,136396.0,Julien De Sart,Gent,2183.0,MC,Meio Campo,Segundo Volante,0.3948183554108474,0.0,0.1964533392927672,-0.0506366564197897,0.2554070311831954,-0.4061311654733618,-0.2446034480516913,0.398,43.0,61
